label,text,predicted_label
1, Addressing Climate Change through Fiscal Policies in Indonesia.,1
0, [Music],0
1, [Music],1
1, [Music],1
0, Indonesia is the world's largest island country with more than 13000 Islands.,0
0, Indonesia is the world's largest island country with more than 13000 Islands.,0
0, Covering an area of about 790 million hectares with a total cost line length of 95 thousands 181 kilometers and land territory of about 200 million hectares.,0
0, Covering an area of about 790 million hectares with a total cost line length of 95 thousands 181 kilometers and land territory of about 200 million hectares.,0
0, Covering an area of about 790 million hectares with a total cost line length of 95 thousands 181 kilometers and land territory of about 200 million hectares.,0
2, In conflict in 2010 Indonesia was the first developing country to denounce voluntary commitment to reduce its carbon emissions by 26% by 2020 and up to 41 reduction with international support.,2
1, In conflict in 2010 Indonesia was the first developing country to denounce voluntary commitment to reduce its carbon emissions by 26% by 2020 and up to 41 reduction with international support.,1
1, In conflict in 2010 Indonesia was the first developing country to denounce voluntary commitment to reduce its carbon emissions by 26% by 2020 and up to 41 reduction with international support.,2
1, [Music],0
1, Indonesia has translated his commitment into presidential regulation number 61 2011 on national action plan on greenhouse gases emission reduction ,1
1, Indonesia has translated his commitment into presidential regulation number 61 2011 on national action plan on greenhouse gases emission reduction ,1
1, And now by 2030 through at least an initial commit to reduce carbon emission by 29%.,1
1, And now by 2030 through at least an initial commit to reduce carbon emission by 29%.,1
1, [Music],0
1, Gillan ministries mandatory to reduce carbon emissions our Ministry of Environment and Forests r-e Ministry of Energy and Mineral Resources Ministry of Agriculture Ministry of Industry Ministry of Transportation and Ministry of public work and settlement.,1
1, Gillan ministries mandatory to reduce carbon emissions our Ministry of Environment and Forests r-e Ministry of Energy and Mineral Resources Ministry of Agriculture Ministry of Industry Ministry of Transportation and Ministry of public work and settlement.,1
1, Gillan ministries mandatory to reduce carbon emissions our Ministry of Environment and Forests r-e Ministry of Energy and Mineral Resources Ministry of Agriculture Ministry of Industry Ministry of Transportation and Ministry of public work and settlement.,1
1, Gillan ministries mandatory to reduce carbon emissions our Ministry of Environment and Forests r-e Ministry of Energy and Mineral Resources Ministry of Agriculture Ministry of Industry Ministry of Transportation and Ministry of public work and settlement.,1
1, To implement national action plan reduce greenhouse gases emission financial support a needed food from domestic budget and international financing.,1
1, To implement national action plan reduce greenhouse gases emission financial support a needed food from domestic budget and international financing.,1
1, To implement national action plan reduce greenhouse gases emission financial support a needed food from domestic budget and international financing.,1
1, Most of the source fund to support the activities for reducing greenhouse gases emission come from national budget.,0
1, Most of the source fund to support the activities for reducing greenhouse gases emission come from national budget.,1
0, Averagely 66%.,0
0, Ammunition Ministry of Finance has already developed budget tagging mechanism in propose to mainstream national budget that correlate in tackling climate change impact.,1
1, Ammunition Ministry of Finance has already developed budget tagging mechanism in propose to mainstream national budget that correlate in tackling climate change impact.,1
1, Ammunition Ministry of Finance has already developed budget tagging mechanism in propose to mainstream national budget that correlate in tackling climate change impact.,1
2, But you're tagging is a system that has been the flow based on performance-based budgeting and embedded dimensional budget sister.,0
0, But you're tagging is a system that has been the flow based on performance-based budgeting and embedded dimensional budget sister.,0
0, [Music],0
1, Budget taking benefits is to improving reporting and tracking of funding in national budget strengthen the ability of policymakers to manage and allocate domestic finance resources more effectively.,0
1, Budget taking benefits is to improving reporting and tracking of funding in national budget strengthen the ability of policymakers to manage and allocate domestic finance resources more effectively.,0
1," ""An able decision-maker to direct and prioritize the policy achieving mitigation and adaptation target and make the best way how to allocate financial resources to achieve those commitments above.""",1
1," ""An able decision-maker to direct and prioritize the policy achieving mitigation and adaptation target and make the best way how to allocate financial resources to achieve those commitments above.""",1
1," ""An able decision-maker to direct and prioritize the policy achieving mitigation and adaptation target and make the best way how to allocate financial resources to achieve those commitments above.""",1
1, [Music],0
1, [Music],0
0, [Music],0
