label,text
1, Analysing impacts of air quality policies on health and climate change | Denise Mauzerall
0, [Music]
0, Air pollution levels in China are often dangerously high.
0, Concentrations of fine particulates the most damaging form of air pollution for health are often more than ten times the level recommended by the World Health Organization.
2, Concentrations of fine particulates the most damaging form of air pollution for health are often more than ten times the level recommended by the World Health Organization.
2, Concentrations of fine particulates the most damaging form of air pollution for health are often more than ten times the level recommended by the World Health Organization.
2, Pollution levels like what you see here in China are relatively common in many developing countries.
0, This shows you premature mortality rates due to ambient air pollution around the world.
1, Estimates are that about four million premature deaths occurred in 2012 according to the global burden of disease report most of these deaths over ninety percent incurred in low and middle income countries.
1, Estimates are that about four million premature deaths occurred in 2012 according to the global burden of disease report most of these deaths over ninety percent incurred in low and middle income countries.
1, Estimates are that about four million premature deaths occurred in 2012 according to the global burden of disease report most of these deaths over ninety percent incurred in low and middle income countries.
2, China has among the highest ambient air pollution concentrations in the world.
2, Two months ago I was in Beijing giving a talk at Ching hua University and these three professors insisted we put on face masks before heading out to dinner.
1, China recognizes how health damaging its air pollution is and there is very committed now to finding ways to reduce emissions and improve air quality
1, China recognizes how health damaging its air pollution is and there is very committed now to finding ways to reduce emissions and improve air quality
1, In addition to having terrible air pollution problems China is also the largest emitter of carbon dioxide in the world.
0, Currently more than double u.s. emissions and triple the emissions from the European Union.
1, You can see the emissions from China are beginning to flatten and it looks highly likely that they will meet or exceed their commitment in the Paris agreement to peaking co2 emissions on ER before 2030.
1, You can see the emissions from China are beginning to flatten and it looks highly likely that they will meet or exceed their commitment in the Paris agreement to peaking co2 emissions on ER before 2030.
1, I decided to reorient my research to looking at opportunities for co-benefits and mitigating air pollution and greenhouse gas emissions.
1, Because there's many opportunities to do both things together.
0, But there's also opportunity to do them independently and sometimes there's perverse consequences of that.
1, There's opportunities to increase efficiency of end use processes which therefore reduce emissions of air pollutants and carbon dioxide simultaneously and to electrify.
1, There's opportunities to increase efficiency of end use processes which therefore reduce emissions of air pollutants and carbon dioxide simultaneously and to electrify.
1, particularly if that electrification happens with non fossil fuels you have Co Bennett's for air quality and for climate.
1, Transmission is a really important aspect of renewable generation in use because renewables are inherently intermittent.
1, Transmission is a really important aspect of renewable generation in use because renewables are inherently intermittent.
1, And China is now building long distance transmission lines that take power from western China to the east where the demand is higher the pollution levels are higher the exposure is higher.
2, You see here fine particulate pollution coming from stoves which we use in residences causing very high levels of indoor air pollution.
2, You see here fine particulate pollution coming from stoves which we use in residences causing very high levels of indoor air pollution.
2, Our recent research have shown that not only is an airport at the indoor level problematic but this is contributing about 50% of fine particle pollution in winter in the provinces surrounding Beijing.
2, Our recent research have shown that not only is an airport at the indoor level problematic but this is contributing about 50% of fine particle pollution in winter in the provinces surrounding Beijing.
1, Electrification of those stoves would virtually eliminate that pollution source.
1, The way we do our analysis is we start with the current emissions.
0, And then we look at various interventions and the emission reductions of air pollutants and greenhouse gases that can result.
1, And then we use atmospheric models to simulate the air pollution reductions.
1, And then we estimate the improvements in health and climate that result from those interventions.
1, What we've found is an increasing efficiency of end-use processes in the industrial sector and putting end of pipe controls on a variety of different sources like the power sector and vehicles can reduce premature mortality 'z and co2 emissions in China today.
1, What we've found is an increasing efficiency of end-use processes in the industrial sector and putting end of pipe controls on a variety of different sources like the power sector and vehicles can reduce premature mortality 'z and co2 emissions in China today.
1, Technology is immediately available to do that.
1, However electrifying end use applications like vehicles and those stoves can further reduce air pollution emissions and have large benefits for health.
1, However electrifying end use applications like vehicles and those stoves can further reduce air pollution emissions and have large benefits for health.
0, However if that electrification is done with coal.
2, It has relatively little benefits for climate and for co2 mitigation.
1, If that electrification occurs using renewable energy and that those transmission lines that are being built facilitate the transmission of that renewable energy from west to east.
1, If that electrification occurs using renewable energy and that those transmission lines that are being built facilitate the transmission of that renewable energy from west to east.
1, We find that if 50 percent of the stoves and 50 percent of the vehicles are electrified with 50 percent renewable energy.
1, China would achieve a 10 percent improvement in reduction in premature mortality and a 25 percent reduction in carbon dioxide emissions.
1, China is very committed to increasing its renewable energy generation.
1, It's committed now at 360 billion dollars through the end of 2022 renewable generation for like solar and wind.
1, It's committed now at 360 billion dollars through the end of 2022 renewable generation for like solar and wind.
1, And they estimate that will generate about 13 million jobs in China over that time period.
1, Renewable energy provides huge opportunities not only in China but around the world for reducing co2 emissions and improving air quality
1, There's ample opportunities to provide electricity generation.
1, There's challenges that still remain on storage and transmission.
0, But we're seeing that there's breakthroughs coming down the pike in the next few years.
1, There's opportunities here to turn the skies of of Beijing from from gray to blue and improve the global climate for everyone.
1, Both within China and around the world.
0, Thank you.
