label,text
0, Big data and climate change
0, Big data is the data.
0, Supercomputers is to computing.
0, In the Barcelona super Computing Center we investigate hardware and software for big data.
0, We have high performance machinery and Carry Out research projects that require large quantities of data.
0, We have high performance machinery and Carry Out research projects that require large quantities of data.
1, An example climate change.
1, Weather and climate studies are a clear case of when large amounts of data are required to make a detailed prediction.
0, It is estimated that in 2030 worldwide data used to study climate change will reach 350 petabytes.
0, It is estimated that in 2030 worldwide data used to study climate change will reach 350 petabytes.
1, The mathematical models used to simulate the evolution of the climate have become increasingly complex since the 60s to the present day.
2, Adding more and more variables between the elements to be considered.
1, The Barcelona supercomputing Center forms part of the challenge that drives the World Meteorological organization to study climate change.
1, The Barcelona supercomputing Center forms part of the challenge that drives the World Meteorological organization to study climate change.
1, In this project thousands of years of simulations produced by 30 leading centers worldwide are analyzed.
1, A comparison of the data provided by the different models is made and it is contrasted with historical data and with observations coming from satellites ocean.
1, A comparison of the data provided by the different models is made and it is contrasted with historical data and with observations coming from satellites ocean.
0, Boys and meteorological stations among many other observational sources.
1, Comparisons that give results in the form of more data.
1, Every time a model reproduces the global changes in a single decade.
1, It generates between 135 terabytes and five petabytes of data depending on the model resolution.
1, To run the simulation of 10 years at a standard resolution requires about 150 000 CPU hours.
2, This research could not be done without a network of high performance Computing platforms.
2, This research could not be done without a network of high performance Computing platforms.
0, Repositories distributed across the planet store the data generated by the different centers.
0, And supercomputers spread across the world run the simulations.
1, Big data and super Computing essential allies for research based on large quantities of data.
1, Big data and super Computing essential allies for research based on large quantities of data.
0, [Music]
0, [Music]
0, [Music]
0, [Music]
0, [Music]
