label,text
0, Bitcoin Energy Consumption & Climate Change: Does Bitcoin Use Too Much Energy? [2021]
0, Hello andreas people here in mtl are very obsessed by bitcoin's over consumption of energy in regards of climate change.
1, Would i be wrong to answer them that bitcoin's non-inflationary policy will probably help save the world.
1, Yeah i mean that argument won't get you very far guillaume because here's the thing.
2, People who make this argument have usually a very specific bias or agenda that is very difficult to shift.
2, People who make this argument have usually a very specific bias or agenda that is very difficult to shift.
2, People who make this argument have usually a very specific bias or agenda that is very difficult to shift.
2, First of all they confuse energy production with energy consumption and see the two as equivalent.
2, This would be the same as saying that electric cars harm the environment because they use more energy in total than gasoline cars.
2, This would be the same as saying that electric cars harm the environment because they use more energy in total than gasoline cars.
2, But that's ignoring the side effects of concentrating production of energy and regulating it as well as distributing the consumption in that way.
2, This would be the same as saying that electric cars harm the environment because they use more energy in total than gasoline cars.
1, Obviously the distribution of gas and oil is much more harmful to the environment.
1, And theoretically at least if you're producing the electricity for your teslas with coal-fired power plants.
2, They're more damaging to the environment you don't hear them saying this argument however.
2, They're more damaging to the environment you don't hear them saying this argument however.
1, Because it is much easier to regulate the production of energy in one place at the electricity plant than regulate the emissions of a billion vehicles that are distributed all around the place so if you shift the emissions from the end point to the source.
1, Because it is much easier to regulate the production of energy in one place at the electricity plant than regulate the emissions of a billion vehicles that are distributed all around the place so if you shift the emissions from the end point to the source.
1, You've achieved a great deal of environmental impact.
1, You've achieved a great deal of environmental impact.
0, These are fundamental concepts in understanding that energy consumption is not the same as pollution.
0, Also energy consumption in bitcoin is not related to the number of transactions energy consumption in bitcoin does not grow linearly with the amount of people using it etc etc etc.
0, Also energy consumption in bitcoin is not related to the number of transactions energy consumption in bitcoin does not grow linearly with the amount of people using it etc etc etc.
2, All of these things are incorrect.
2, But if you want to bash bitcoin because you don't see it as useful or you disagree with its political message then no amount of argumentation is going to shift that perspective.
2, Keep doing what you're doing.
1, Keep focusing on what matters the truth of the matter is that because bitcoin mining can happen anywhere and does not require a specific location.
1, Keep focusing on what matters the truth of the matter is that because bitcoin mining can happen anywhere and does not require a specific location.
1, Bitcoin mining is attracted to renewable energy and waste energy energy that either cannot be distributed or cannot be used in a cost-effective manner.
1, Bitcoin mining is attracted to renewable energy and waste energy energy that either cannot be distributed or cannot be used in a cost-effective manner.
2, Bitcoin mining is attracted to renewable energy and waste energy energy that either cannot be distributed or cannot be used in a cost-effective manner.
2, Because it is remote things like off-flaring of gas hydro that exceeds local demand or other.
1, Renewable forms of energy that exceed local demand and do not have distribution mechanisms.
1, In the end bitcoin subsidizes renewable energy.
2, But that argument won't get you very far if the people are not interested in good faith arguments.
2, But are interested simply in finding it's another way to bash bitcoin.
1, Just ignore it just ignore it you don't want pollution and carbon dioxide great regulate energy production.
1, If you're worried about pollution regulate energy production.
1, One of the best ways to do that is in my opinion with carbon credit markets but those are not very popular.
0, Thanks for watching.
0, If you'd like to support me please consider subscribing to my channel and supporting me on patreon.com
