label,text
1, Belize: Women in Fisheries Forum 5: Gender and Climate Change - Understanding the Link
0, [Music]
1, The forum started as a means for a woman engaged in the fisheries sector to be able to have a space for them to come together.
1, The forum started as a means for a woman engaged in the fisheries sector to be able to have a space for them to come together.
1, The forum started as a means for a woman engaged in the fisheries sector to be able to have a space for them to come together.
1, For them to have conversations about the fisheries sector you know what are some of the issues that require some attention i mean.
1, For them to have conversations about the fisheries sector you know what are some of the issues that require some attention i mean.
0, Understanding the rules that they play within the fisheries sector and seeing how we could amplify those within this fishery sector.
0, Understanding the rules that they play within the fisheries sector and seeing how we could amplify those within this fishery sector.
0, [Music] 
2, The problem is that we have been invisible mostly when you hear fisheries you think of the fishermen.
2, And we don't really highlight what women are doing within the value chain.
2, And we don't really highlight what women are doing within the value chain.
0, Pre-harvesting the harvesting and post-harvesting this year's with the team is gender and climate change understanding the link.
0, Pre-harvesting the harvesting and post-harvesting this year's with the team is gender and climate change understanding the link.
0, [Music]
0, The main objective of this fifth whiff forum is to spread the news of the effects of climate change to have women involved in fisheries and coastal zones and to demonstrate to them how they can adapt to climate change.
0, The main objective of this fifth whiff forum is to spread the news of the effects of climate change to have women involved in fisheries and coastal zones and to demonstrate to them how they can adapt to climate change.
1, The main objective of this fifth whiff forum is to spread the news of the effects of climate change to have women involved in fisheries and coastal zones and to demonstrate to them how they can adapt to climate change.
1, The main objective of this fifth whiff forum is to spread the news of the effects of climate change to have women involved in fisheries and coastal zones and to demonstrate to them how they can adapt to climate change.
0, How they can actually contribute as a leader in their community to to share the information and give us information to include in our gender strategy.
0, How they can actually contribute as a leader in their community to to share the information and give us information to include in our gender strategy.
1, To ensure that we're inclusive and to ensure that our programs that are implemented in belize.
1, To ensure that we're inclusive and to ensure that our programs that are implemented in belize.
1, Also benefit women we need to understand what they do how they do it.
0, What are they using where um how and and so this.
0, This initiative is part of that.
0, [Music]
0, [Music]
2, There's a completely different tide when the tide gets low it goes.
2, There's a completely different tide when the tide gets low it goes.
1, And when it gets high it actually eats away the sun along the beach.
1, And when it gets high it actually eats away the sun along the beach.
1, And when it gets high it actually eats away the sun along the beach.
0, [Music]
0, Basically this erosion started i would say over 25 years ago.
0, Basically this erosion started i would say over 25 years ago.
0, Most of what we're seeing happens with what is going on on the watershed.
0, Most of what we're seeing happens with what is going on on the watershed.
0, Most of what we're seeing happens with what is going on on the watershed.
1, The watershed river is the supplier of the materials that maintain the beaches.
1, The watershed river is the supplier of the materials that maintain the beaches.
2, And a lot of the activities happening on the river is impacting and decreasing the functions that a river can do.
2, And a lot of the activities happening on the river is impacting and decreasing the functions that a river can do.
2, Um so diversions of water extraction of sun and gravel loss of riparian zones changing in the in the river streams.
2, Um so diversions of water extraction of sun and gravel loss of riparian zones changing in the in the river streams.
2, You know all of those things leads to last of flow.
2, And lots of materials need to come to the coastline.
0, [Music]
2, We need to learn to fish more sustainably because as we can see as a result of overfishing and different practices that it's affecting our environment dramatically.
2, We need to learn to fish more sustainably because as we can see as a result of overfishing and different practices that it's affecting our environment dramatically.
2, We need to learn to fish more sustainably because as we can see as a result of overfishing and different practices that it's affecting our environment dramatically.
2, It is important that they try to diversify to ensure that we are able to use the blue resources.
2, Not only for the traditional fishing but for other areas such as mariculture getting women involved.
2, You know in sea cucumber in in growing octopus for example and so forth.
1, Over the two days that i've been here at this forum.
1, I've learned that our environment and different and different communities.
1, They're really being affected by climate change in a dramatic way i have learned a lot a lot about erosion.
1, They're really being affected by climate change in a dramatic way i have learned a lot a lot about erosion.
1, And the planting of mangroves how mangroves can help erosion 
1, I have learned about gender equality where women and men should you know work together.
1, We need to do better in the things that we do and the practices
1, And we also need to help one another through difficult times like the situation monkey river is experiencing.
1, The only way we can adapt and mitigate climate change is by having resilient ecosystems and communities.
1, The only way we can adapt and mitigate climate change is by having resilient ecosystems and communities.
1, So we have to have healthy ecosystems so we must ensure that we manage our our ecosystems our rivers our forests or our ocean.
1, So we have to have healthy ecosystems so we must ensure that we manage our our ecosystems our rivers our forests or our ocean.
1, We need to manage those things so that they can be healthy to continue to support us as a community.
1, We know that women are very resilient it is in the nature of women to be able to adapt to the most difficult of circumstances so they're survivors.
1, We know that women are very resilient it is in the nature of women to be able to adapt to the most difficult of circumstances so they're survivors.
1, So they can be teachers they can teach and they can also encourage other women.
1, So that they themselves will be able to as well move forward in terms of meeting the challenges of climate change.
1, It's a great opportunity for us as women.
1, You know it's not only the guys that fish.
1, We ladies can do it as well.
1, If you have the passion for the sea come and join us.
0, [Laughter]
0, 
0, 
