zuo,label,text
0,1, The Crucial Connection: Climate Change and Health | Kaiser Permanente
2,1, We know climate-related changes on our planet cause extreme weather.
2,2, And extreme weather has life-changing effects.
2,2, We see this in the rise of weather-related disasters around the globe.
0,0, But there’s one aspect of this topic we don’t hear much about: How does climate change affect our health?
0,2," Well, as temperatures rise, record-setting heat waves become more frequent."
2,2, They can lead to heat-related illnesses and dangerous cardiovascular issues.
2,2, Rising sea levels and unpredictable weather mean More super storms and flooding.
2,2, Wildfires and droughts.
2,2," Injuries, property damage – even homelessness and loss of loved ones."
2,2, Super storms also expand habitats where insects thrive and multiply.
2,2, Mosquitos and other bugs can spread diseases – like malaria and West Nile virus.
2,2," As the earth’s carbon dioxide levels increase … Air quality declines, causing respiratory issues, like asthma and lung cancer."
2,2, Bouts of Salmonella rise.
2,2, Bacteria in water contaminates seafood and shellfish.
2,2, And we see a surge in gastrointestinal illnesses and bloodstream infections.
2,2," With all of this, we’re looking at serious grief and emotional trauma."
1,1," But … there’s hope. The good news is -- we can make a difference, but we must act now!"
1,1, What can you do? Take action!
1,1, Unplug devices and chargers when not in use to reduce your energy consumption.
1,1," Walk, bike or use other means of active transportation."
1,1, Get your food locally. Buy only the food you require – and give edible leftovers to those in need.
1,1," At the city, state and national levels: Stay informed."
0,1, Let your elected representatives know what you think.
1,1," At Kaiser Permanente, we are developing real-world strategies that address climate change"
1,1, to support your health and the health of our communities.
1,1, Because when it comes to climate change ... 
1,1, It’s about health.
1,1, [Music]
0,0, [Music]
