Label,Subtitle,Answer
1, the crucial connection: climate change and health | kaiser permanente,1
1, we know climate-related changes on our planet cause extreme weather.,1
2, and extreme weather has life-changing effects.,1
2, we see this in the rise of weather-related disasters around the globe.,1
0, but there’s one aspect of this topic we don’t hear much about: how does climate change affect our health?,1
2," well, as temperatures rise, record-setting heat waves become more frequent.",1
2, they can lead to heat-related illnesses and dangerous cardiovascular issues.,1
2, rising sea levels and unpredictable weather mean more super storms and flooding.,1
2, wildfires and droughts.,1
2," injuries, property damage – even homelessness and loss of loved ones.",1
2, super storms also expand habitats where insects thrive and multiply.,1
2, mosquitos and other bugs can spread diseases – like malaria and west nile virus.,1
2," as the earth’s carbon dioxide levels increase … air quality declines, causing respiratory issues, like asthma and lung cancer.",1
2, bouts of salmonella rise.,1
2, bacteria in water contaminates seafood and shellfish.,1
2, and we see a surge in gastrointestinal illnesses and bloodstream infections.,1
2," with all of this, we’re looking at serious grief and emotional trauma.",1
1," but … there’s hope. the good news is -- we can make a difference, but we must act now!",1
1, what can you do? take action!,0
1, unplug devices and chargers when not in use to reduce your energy consumption.,1
1," walk, bike or use other means of active transportation.",0
1, get your food locally. buy only the food you require – and give edible leftovers to those in need.,1
1," at the city, state and national levels: stay informed.",0
1, let your elected representatives know what you think.,0
1," at kaiser permanente, we are developing real-world strategies that address climate change",1
1, to support your health and the health of our communities.,0
1, because when it comes to climate change ... ,0
1, it’s about health.,1
1,NONE,0
0,NONE,0
