label,text
1, Climate change and development
0, [Music]
0, Now today I'm going to tell you about the uh connection between the climate changes and development for many years.
0, Now today I'm going to tell you about the uh connection between the climate changes and development for many years.
0, Now today I'm going to tell you about the uh connection between the climate changes and development for many years.
0, Until about 20 years ago people thought that these two subjects had nothing to do with each other.
0, Until about 20 years ago people thought that these two subjects had nothing to do with each other.
1, But fortunately for the last 20 years thanks to the efforts of the French Agency for development.
1, But fortunately for the last 20 years thanks to the efforts of the French Agency for development.
1, Partly people understood that the two subjects were connected because the main victims of climate changes will be Southern countries.
1, Partly people understood that the two subjects were connected because the main victims of climate changes will be Southern countries.
1, And they their development will not be possible if they don't become aware of their capacity to adjust to climate changes and also reduce their own greenhouse effect gas Emissions.
1, And they their development will not be possible if they don't become aware of their capacity to adjust to climate changes and also reduce their own greenhouse effect gas Emissions.
1, And they their development will not be possible if they don't become aware of their capacity to adjust to climate changes and also reduce their own greenhouse effect gas Emissions.
0, On this picture we see a picture showing Agro forestry in Quito in Ecuador.
0, It's just one example.
1, It's a uh the project where the development is sustainable which means that we have to address the economic social but also climatic issue.
2, It's a uh the project where the development is sustainable which means that we have to address the economic social but also climatic issue.
0, On the second slide come the from him come the world development report in 2010.
2, We see that the countes vulnerable to uh extreme climatic events which will increase because of climate uh deregulation are southern countries.
2, We see that the countes vulnerable to uh extreme climatic events which will increase because of climate uh deregulation are southern countries.
2, We see that the countes vulnerable to uh extreme climatic events which will increase because of climate uh deregulation are southern countries.
2, So it's very unfair really the impact of uh climate changes are going to be distributed in an unfair manner.
2, So it's very unfair really the impact of uh climate changes are going to be distributed in an unfair manner.
0, The victims will be Southern countries and they are facing a maor major problem how to adjust to the climate change.
2, As most countries think that the way their economies and lives adapt to climate change is the priority much more than the reduction of greenhouse effect gas emissions.
2, As most countries think that the way their economies and lives adapt to climate change is the priority much more than the reduction of greenhouse effect gas emissions.
0, Ao why is this problem vital for southern?
2, Countries because thanks to the last ipcc report we know that the the whole planet has embarked on a pathway which is absolutely catastrophic.
2, Countries because thanks to the last ipcc report we know that the the whole planet has embarked on a pathway which is absolutely catastrophic.
2, If we continue business as usual if we continue down the path where we have embarked.
2, We should reach a temperature increase on average over the the Earth of U several degrees by the end of this uh Century.
