label,text
0, Climate Change and Food Supply
0, How does climate change affect food supply and how will this affect us?
1, This is Fred he is enjoying his lunch while watching the news where he hears a lot about the effects of climate change.
1, This is Fred he is enjoying his lunch while watching the news where he hears a lot about the effects of climate change.
1, He likes the idea of the summertime being two degrees hotter but is worried about how climate change will affect his lunch.
2, He likes the idea of the summertime being two degrees hotter but is worried about how climate change will affect his lunch.
1, The bread and vegetables Fred eats are threatened because climate change comes with an increase in both droughts and heavy rain.
2, These changes are both very damaging for all crops.
2, These changes are both very damaging for all crops.
2, Not only do crops need to deal with increased stress from drought and flooding.
2, They also become more vulnerable to pest species sure irrigation could be a solution for droughts but increased evaporation will lead to suffocation of the soil.
2, They also become more vulnerable to pest species sure irrigation could be a solution for droughts but increased evaporation will lead to suffocation of the soil.
2, They also become more vulnerable to pest species sure irrigation could be a solution for droughts but increased evaporation will lead to suffocation of the soil.
0, But what about the rest of Fred's sandwich?
2, The cattle that provides the meat will also suffer from drought and flooding.
2, Fred could always choose to eat fish instead but fish reserves are already at an all-time low due to overfishing and pollution.
2, Not only that climate change will also have a negative effect on the fish stock.
2, Carbon dissolves in ocean water where it creates an acid increasing the acidity of the water.
2, Carbon dissolves in ocean water where it creates an acid increasing the acidity of the water.
2, Calcium binds with this acid reducing calcium availability for micro organisms.
2, These microorganisms form the base of the entire oceanic food web.
2, So if they are having difficulties.
2, So is everything else including Fred's fish lunch.
2, Not only that climate change will increase the sea temperature and this is already leading to coral bleaching and thus coral death.
2, Not only that climate change will increase the sea temperature and this is already leading to coral bleaching and thus coral death.
2, Not only that climate change will increase the sea temperature and this is already leading to coral bleaching and thus coral death.
1, These corals are the place where many baby fish have the opportunity to grow up in safety.
1, These corals are the place where many baby fish have the opportunity to grow up in safety.
2, Without safe childhoods many fish won't grow up at all.
2, So Fred might actually be in trouble maybe not today and maybe not tomorrow.
2, But it already affects many people and it will affect Fred and maybe even more important for Fred.
2, It will impact his children but it doesn't have to be this way.
1, By decreasing carbon emissions right now many of the bad consequences that will hurt Fred and his children can be avoided.
1, By decreasing carbon emissions right now many of the bad consequences that will hurt Fred and his children can be avoided.
1, And everyone can help everyone can make a difference by eating less meat by reducing your own energy consumption by taking the bus or bike instead of the car by supporting your government in taking the right actions by demanding that they meet the goals set by them in reducing their carbon footprint.
1, And everyone can help everyone can make a difference by eating less meat by reducing your own energy consumption by taking the bus or bike instead of the car by supporting your government in taking the right actions by demanding that they meet the goals set by them in reducing their carbon footprint.
1, And everyone can help everyone can make a difference by eating less meat by reducing your own energy consumption by taking the bus or bike instead of the car by supporting your government in taking the right actions by demanding that they meet the goals set by them in reducing their carbon footprint.
1, And everyone can help everyone can make a difference by eating less meat by reducing your own energy consumption by taking the bus or bike instead of the car by supporting your government in taking the right actions by demanding that they meet the goals set by them in reducing their carbon footprint.
1, And everyone can help everyone can make a difference by eating less meat by reducing your own energy consumption by taking the bus or bike instead of the car by supporting your government in taking the right actions by demanding that they meet the goals set by them in reducing their carbon footprint.
1, All changes help all changes will improve the world.
0, We leave for us and our children.
0, We leave for us and our children.
0, [Music]
