label,text
0, Climate Change Global Food Security and the U.S. Food System
0, [Music]
1, Food security exists when all people at all times have physical economic and social access to sufficient safe and nutritious food to lead active and healthy lives.
1, Food security exists when all people at all times have physical economic and social access to sufficient safe and nutritious food to lead active and healthy lives.
1, Food security exists when all people at all times have physical economic and social access to sufficient safe and nutritious food to lead active and healthy lives.
1, You know when we talk about global food security and climate.
1, I'm really proud of the steps that have been taken the last seven years to equip American producers to be able to meet the challenge of a world population that will continue to grow.
1, I'm really proud of the steps that have been taken the last seven years to equip American producers to be able to meet the challenge of a world population that will continue to grow.
1, The need for more food and to do it in a way in which we can deal with the adverse consequences of a changing climate.
1, The greater the changes in climate the greater effects on food security and the greater effects on food systems.
1, The greater the changes in climate the greater effects on food security and the greater effects on food systems.
2, We've have a tendency in the past to only focus on how climate affects the growth of crops.
2, We've have a tendency in the past to only focus on how climate affects the growth of crops.
0, How will climate change affect the yield of a crop?
1, And can we take steps to adapt to those changes.
1, And the story is so much more extensive from the farm where food is produced all the way through how it's stored how its processed how its transported and ultimately how it's made available for us to consume.
1, And the story is so much more extensive from the farm where food is produced all the way through how it's stored how its processed how its transported and ultimately how it's made available for us to consume.
1, And the story is so much more extensive from the farm where food is produced all the way through how it's stored how its processed how its transported and ultimately how it's made available for us to consume.
1, And the story is so much more extensive from the farm where food is produced all the way through how it's stored how its processed how its transported and ultimately how it's made available for us to consume.
1, Climate change will affect global food security in two major ways the first way is a direct impact of climate on agricultural production all around the world which will then reduce the amount of food available increasing prices.
1, Climate change will affect global food security in two major ways the first way is a direct impact of climate on agricultural production all around the world which will then reduce the amount of food available increasing prices.
1, Climate change will affect global food security in two major ways the first way is a direct impact of climate on agricultural production all around the world which will then reduce the amount of food available increasing prices.
1, Climate change will affect global food security in two major ways the first way is a direct impact of climate on agricultural production all around the world which will then reduce the amount of food available increasing prices.
2, The second major ways through the global food system each of those elements may be very vulnerable to climate.
2, So for production changes in temperature changes in precipitation.
2, So for production changes in temperature changes in precipitation.
2, Pests and disease can have a tremendous impact.
2, Sea level rise and storm surge can have a profound effect on port function and grain storage and the ability of container ships to dock in different places both in the United States but on the other end as well where we might be exported.
2, Sea level rise and storm surge can have a profound effect on port function and grain storage and the ability of container ships to dock in different places both in the United States but on the other end as well where we might be exported.
2, Sea level rise and storm surge can have a profound effect on port function and grain storage and the ability of container ships to dock in different places both in the United States but on the other end as well where we might be exported.
2, All of that is a relatively complicated chain that is best examined as a system and when climate changes occur they will affect all of those lakes in the chain.
2, All of that is a relatively complicated chain that is best examined as a system and when climate changes occur they will affect all of those lakes in the chain.
2, All of that is a relatively complicated chain that is best examined as a system and when climate changes occur they will affect all of those lakes in the chain.
1, Adaptation to climate change is changing the way you do things in order to lessen the impacts of climate change.
1, Adaptation to climate change is changing the way you do things in order to lessen the impacts of climate change.
1, Adaptation to climate change is changing the way you do things in order to lessen the impacts of climate change.
0, For example farmers can change the way they manage their crops.
0, For example farmers can change the way they manage their crops.
1, Irrigation is another adaptation measure that can have a positive impact but it depends on the availability of water.
0, But there are also biophysical limits.
2, There are some temperatures that are just too hot for crops to grow.
1, The good news is that there are a lot of adaptation options.
2, The bad news is that adaptation capacity is closely tied to wealth the wealthier a society is the more capacity it has to adapt.
1, The poorer a society is the less capacity it has to invest in adaptation.
1, But it's important to recognize that adaptation potential has limits.
1, But it's important to recognize that adaptation potential has limits.
0, Is climate change inevitable?
1, Is it something that we can in some way influence? Yes and yes
0, For any given level of climate change that we might experience in the future.
0, The impacts of that climate change can be made a lot worse or a lot better depending on the conditions society.
0, The impacts of that climate change can be made a lot worse or a lot better depending on the conditions society.
2, How vast population might grow.
0, How much incomes might rise around the world.
1, How fast technology might develop how the nature of agriculture might change.
1, All of these factors influence food security.
1, And so considering a range of possible alternative futures is the best way we have of planning responses that would make sense however the future unfolds.
1, And so considering a range of possible alternative futures is the best way we have of planning responses that would make sense however the future unfolds.
1, Climate change is likely to be detrimental for global food security.
1, But there's a lot more to it than that.
2, Climate change will affect food security outcomes in ways that matter for the US.
0, They'll matter for us producers and they'll matter for US consumers.
1, Just as they matter for producers and consumers all around the globe.
1, I think the fundamental responsibilities of the u.s. is to lead and then because of our great university systems.
1, We are in a position to do a lot of research to be able to identify ways in which we can really move the dial.
1, We've seen extraordinary productivity increases in the u.s. despite a changing climate.
1, We need to share that information we need to continue to be at the cutting edge of agricultural research.
1, And we need to do it in a sustainable way so a lot of fronts where the US has I think a leadership responsibility and duty.
1, And we need to do it in a sustainable way so a lot of fronts where the US has I think a leadership responsibility and duty.
1, [Music]
0, [Music]
0, [Music]
0, [Music]
0, [Music]
0, [Music]
