label,text
0, Climate Change and our Health (ADB Insight Full Episode)
0, [Music]
0, [Music]
1, Climate change is not just a problem for the health of the planet.
1, It's a problem for the health of humanity.
2, The World Health Organization predicts that between 2030 and 2050 a quarter of a million people will die every year from its Associated effects.
2, The World Health Organization predicts that between 2030 and 2050 a quarter of a million people will die every year from its Associated effects.
2, That impact will be felt the most in places like Asia and the Pacific where weak infrastructure will hamper the ability to prepare and respond.
2, That impact will be felt the most in places like Asia and the Pacific where weak infrastructure will hamper the ability to prepare and respond.
1, To find out more I'm delighted that we're joined Now by Dr somia Swami Nathan Chief scientist at the World Health Organization.
1, To find out more I'm delighted that we're joined Now by Dr somia Swami Nathan Chief scientist at the World Health Organization.
1, Dr swaminathan thanks so much for joining us. thank you Nisha it's a real pleasure to be with you.
2, Many countries in our region face a disproportionate impact from climate change.
0, To what extent has climate change emerged as a critical Health Challenge for Asia and the Pacific?
2, There's no doubt that we have to prepare and in the coming years that climate change is going to impact health and in fact we are framing issues of climate change around mainly impacting people and their health.
2, There's no doubt that we have to prepare and in the coming years that climate change is going to impact health and in fact we are framing issues of climate change around mainly impacting people and their health.
2, There's no doubt that we have to prepare and in the coming years that climate change is going to impact health and in fact we are framing issues of climate change around mainly impacting people and their health.
2, Because whether it's high temperatures whether it's the spread of vector-borne diseases.
2, Because mosquitoes will now be able to live in areas where they could not exist before.
2, Whether it's you know floods and droughts that affect the food security of people.
2, And whether it's air pollution which results from the same behavior as the same fossil fuel using behaviors that are also fueling climate change.
2, And whether it's air pollution which results from the same behavior as the same fossil fuel using behaviors that are also fueling climate change.
2, 95 percent of people living across the world are breathing air which is not in line with the who standards.
2, And this is particularly true for the developing countries where often air quality standards are four five ten times above what they should be.
2, And this is particularly true for the developing countries where often air quality standards are four five ten times above what they should be.
2, This affects not just lungs but it affects the heart it affects the nervous system it affects people women who are pregnant and and impacts the babies who are born to them.
2, This affects not just lungs but it affects the heart it affects the nervous system it affects people women who are pregnant and and impacts the babies who are born to them.
1, And so we are impacting you know future Generations we're having this huge effect on human capital.
2, So clearly a very pressing problem.
0, But what can we realistically do to mitigate the impact?
1, There are solutions the solutions which will mitigate climate change will also help something like air pollution today which is one of the biggest risk factors for health.
1, There are solutions the solutions which will mitigate climate change will also help something like air pollution today which is one of the biggest risk factors for health.
1, The health system itself needs to go green.
1, And so we have this Manifesto for healthy and green recovery where we have several actions that need to be taken.
1, And there are many win-wins that I think the Asia Pacific cities in particular need to be thinking about like for example transport Urban Transport Systems public transport reduce the private vehicles on the road make it easier for pedestrians and cyclists for example.
1, And there are many win-wins that I think the Asia Pacific cities in particular need to be thinking about like for example transport Urban Transport Systems public transport reduce the private vehicles on the road make it easier for pedestrians and cyclists for example.
1, And there are many win-wins that I think the Asia Pacific cities in particular need to be thinking about like for example transport Urban Transport Systems public transport reduce the private vehicles on the road make it easier for pedestrians and cyclists for example.
1, And why is it a win-win it's good for health.
1, You're keeping weight down preventing obesity it's good for the environment green spaces in cities have been shown to be extremely important for mental health.
1, Eating a diverse diet which has enough fruits and vegetables and protein is good for the environment reduce the consumption of meat and increase the consumption of locally available uh fruits and vegetables.
1, Eating a diverse diet which has enough fruits and vegetables and protein is good for the environment reduce the consumption of meat and increase the consumption of locally available uh fruits and vegetables.
1, Eating a diverse diet which has enough fruits and vegetables and protein is good for the environment reduce the consumption of meat and increase the consumption of locally available uh fruits and vegetables.
1, But at the same time it also is very good for health.
1, Diversifying the cereals that we eat not doing monoculture and of course protecting the forests preventing deforestation and and degradation.
2, Because there we are increasing the the chances of animal human conflict as well as wild animals and domestic animals coming into contact.
2, Because there we are increasing the the chances of animal human conflict as well as wild animals and domestic animals coming into contact.
2, And this is where the spillover events are likely to occur in the next virus that causes pandemic is likely to to arise.
2, And this is where the spillover events are likely to occur in the next virus that causes pandemic is likely to to arise.
1, So what specifically should governments in Asia and the Pacific be doing.
