label,text
0, Climate change in the Australian Alps
0, [Music]
0, We're sitting just above the village of Charlotte Pass in Kosciuszko National Park.
0, And this is a place that I've been working doing research and teaching in for about the past 20 years.
0, What's really caught my attention at the moment is thinking about the mountains in the changing climate.
1, And the plants and animals that are found here many of them are not found anywhere else. 
1, And the plants and animals that are found here many of them are not found anywhere else. 
2, They're not found at lower elevations many of them require snow to complete their life cycle. 
1, So one of the things that I think we don't realise is how much the micro environment - the space around a plant - can change over the course of a day or even minutes. 
1, So one of the things that I think we don't realise is how much the micro environment - the space around a plant - can change over the course of a day or even minutes. 
1, The temperature for example of a leaf as the sun rises will go from -2 to 25 degrees.
1, So it goes from really cold and frozen to really quite warm.
1, And then if the sun shines on it it'll get much hotter than the temperature of the air or anything else around it.
1, And to me that's really fascinating.
1, That you've got an organism that can alter its temperature so dramatically over such a short period of time.
1, If you think about us we don't change temperature whereas these things are capable of doing that repeatedly over really quick time scales. 
1, If you think about us we don't change temperature whereas these things are capable of doing that repeatedly over really quick time scales. 
1, So in 2020 there are several things that happened that have caused us to stop re-evaluate and think carefully about what we need to do next.
1, And how we want to go forward.  
1, It began with the bushfires and the bushfires meant that that my team had to really rethink what they were going to do.
2, Because we couldn't get into our field sites for quite a long time.
2, And some of the places that we were working or planning to work were fire affected. 
2, Then there was a hailstorm in Canberra that took out all of our glasshouses.
1, And with it experiments that we'd been working on for three years that were within a few months of completion and all of that was before the pandemic. 
1, And with it experiments that we'd been working on for three years that were within a few months of completion and all of that was before the pandemic. 
0, I think for me 2020 was about really paring things back really thinking about priorities and thinking about what are the important things to keep going and to maintain. 
0, I think for me 2020 was about really paring things back really thinking about priorities and thinking about what are the important things to keep going and to maintain. 
0, I think for me 2020 was about really paring things back really thinking about priorities and thinking about what are the important things to keep going and to maintain. 
0, I was particularly struck by the impact that this event will have on the coming generation and really thinking about how it changes the way.
0, I was particularly struck by the impact that this event will have on the coming generation and really thinking about how it changes the way.
0, We need to train and educate and prepare the next generation for future unexpected events. 
1, I think 2020 has demonstrated to all of us that really extreme things can come out of the blue.
1, And that one of the few things you can predict is that there's going to be a lot of unpredictable stuff happening over the coming years.
1, And so to me it's been about thinking.
0, What is the baseline? 
0, What is the information that we need to be monitoring? 
1, So we can detect change and think about how we're going to manage and respond and try to maintain the values of these spectacular landscapes. 
1, So we can detect change and think about how we're going to manage and respond and try to maintain the values of these spectacular landscapes. 
1, And on the more personal side it's really about thinking about how do we make sure that the next generation has the tools that they need to come up with creative solutions for unpredictable problems.
1, And on the more personal side it's really about thinking about how do we make sure that the next generation has the tools that they need to come up with creative solutions for unpredictable problems.
0, [Music]
0, [Music]
0, [Music]
