label,text
1, Climate Change: It’s About Health | Kaiser Permanente
0, [Music] 
2, The Napa-Sonoma fire not only did it impact people's lives it impacted the entire environment around us.
1, It demonstrated what can happen very quickly to an entire community.
1, And that is an experience that we just don't want to see going on around the country and around the world. 
1, And that is an experience that we just don't want to see going on around the country and around the world. 
1, Climate change is here. It's happening. It's real.
1, All we have to do is look around at the weather phenomenon.
1, We're constantly setting records across the globe for hottest days hottest years hottest average temperatures. 
1, It's impacting all of us.
1, It's hard to imagine a dimension of human health that climate change doesn't touch.
1, It deepens poverty. It threatens our food and water supply.
1, It tears people from their homes. It makes large parts of the world uninhabitable.
1, If you care about climate change you have to care about health. And if you care about health you have to care about climate change.
1, As a pediatrician my job is not only to take care of the children that I'm seeing in my practice but also to advocate for a healthy environment for the children I'm taking care of.
1, As a pediatrician my job is not only to take care of the children that I'm seeing in my practice but also to advocate for a healthy environment for the children I'm taking care of.
1, The health effects of climate change disproportionately affect children people of color people living in poverty the elderly people living with chronic disease.
1, The health effects of climate change disproportionately affect children people of color people living in poverty the elderly people living with chronic disease.
1, The health effects of climate change disproportionately affect children people of color people living in poverty the elderly people living with chronic disease.
1, And as climate change worsens the health outcomes caused by climate change in these populations will worsen as well.
1, There's been a coalition of hospital systems all around the world working to address the environmental footprint especially the climate footprint of health care so that the mission of health care is actually expanding to go beyond treating individual patients to supporting healthier communities and healthier planet.
1, There's been a coalition of hospital systems all around the world working to address the environmental footprint especially the climate footprint of health care so that the mission of health care is actually expanding to go beyond treating individual patients to supporting healthier communities and healthier planet.
1, There's been a coalition of hospital systems all around the world working to address the environmental footprint especially the climate footprint of health care so that the mission of health care is actually expanding to go beyond treating individual patients to supporting healthier communities and healthier planet.
1, There's been a coalition of hospital systems all around the world working to address the environmental footprint especially the climate footprint of health care so that the mission of health care is actually expanding to go beyond treating individual patients to supporting healthier communities and healthier planet.
1, I think this is where we have a real opportunity of creating public private partnerships and it’s that synergy that I think will help us to really get at this problem and work on it together towards resolution.
1, I think this is where we have a real opportunity of creating public private partnerships and it’s that synergy that I think will help us to really get at this problem and work on it together towards resolution.
1, I think this is where we have a real opportunity of creating public private partnerships and it’s that synergy that I think will help us to really get at this problem and work on it together towards resolution.
2, I truly believe that if our policymakers and the public were able to understand better that climate change is an urgent human health issue.
2, I truly believe that if our policymakers and the public were able to understand better that climate change is an urgent human health issue.
1, We'd be able to get to where we need to be to act on climate as a society.
1, We need to take steps because this is impacting all of our health.  Not everybody cares about energy.
1, Not everybody cares about climate change. But everybody cares about health - it's personal.
2, Climate change is fundamentally a global health issue.
1, It's about health. It's all about health. It's about health. 
1, And we have the power to change the dynamic to advocate for health on behalf of all people. 
0, [Music]
0, [Music]
