label,text
0, Climate Change Impacts for Canadian Directors
0, [Music]
0, In this segment we address the potential impacts of climate change for Canada and for Canadian businesses.
2, Extreme weather events around the globe are raising our awareness of the anticipated ongoing effects of climate change.
2, Extreme weather events around the globe are raising our awareness of the anticipated ongoing effects of climate change.
2, Climate change is contributing to increased extreme weather events like flooding heat waves and droughts.
2, It is also accelerating the melting of sea ice and glaciers leading to global sea level rise. 
2, It is also accelerating the melting of sea ice and glaciers leading to global sea level rise. 
2, As a result we are seeing a growing number of climate-related social crises.
2, And the health of the ecosystems upon which humans and all other species depend is deteriorating rapidly.
2, And the health of the ecosystems upon which humans and all other species depend is deteriorating rapidly.
2, Seasons are shifting in many regions with impacts on the vectors that spread disease.
2, Today 1% of our planet is too hot to support human life.
2, But within the next 50 years almost 20% of the planet could suffer that fate leading to mass migration.
2, By 2050 it is estimated that there will be over 200 million climate refugees.
2, These climate impacts threaten the wellbeing and prosperity of people in countries worldwide including Canada.
2, These climate impacts threaten the wellbeing and prosperity of people in countries worldwide including Canada.
2, Canada’s current economy is carbon intensive. 
2, Oil natural gas and coal make up almost 85% of Canada’s primary energy production at a time when many countries are transitioning to net zero economies.
2, Climate impacts in Canada are already estimated to cost billions of dollars each year and will keep rising as climate change accelerates in the years to come.
2, Climate impacts in Canada are already estimated to cost billions of dollars each year and will keep rising as climate change accelerates in the years to come.
2, Canada is also particularly vulnerable.
2, Our climate is warming at double the global rate. 
2, In Canada’s north average temperatures have already increased by more than two degrees since 1950.
2, In Canada’s north average temperatures have already increased by more than two degrees since 1950.
2, Climate impacts in Canada include: increased rainfall flooding and water shortages decreased snow and ice cover and more severe heatwaves drought and forest fires.
2, Climate impacts in Canada include: increased rainfall flooding and water shortages decreased snow and ice cover and more severe heatwaves drought and forest fires.
2, But Canadians have differing levels of exposure to these impacts.
2, Indigenous peoples Black and People of Colour communities Northern and remote communities younger generations and low-income earners can all be more vulnerable because of historically entrenched inequity.
2, Indigenous peoples Black and People of Colour communities Northern and remote communities younger generations and low-income earners can all be more vulnerable because of historically entrenched inequity.
2, Climate change is a crisis with disproportionate impacts on Canada and Canadian businesses.
2, Climate change is a crisis with disproportionate impacts on Canada and Canadian businesses.
1, It’s time for Canadian companies to do their part to help transition our economy.
