label,text
0,Climate change is simple: David Roberts at TEDxTheEvergreenStateCollege
0, (Applause)
0, Hi this talk started out of a Twitter conversation.
0, I haven't decided whether to be embarrassed about that or not.
0, I haven't decided whether to be embarrassed about that or not.
0, But I was on Twitter one day and a relatively prominent left of centre pundit piped up and said
2, You know climate change seems like a really big deal why are so few people talking about it?
0, Why have so few thought leaders made it their signature issue?
0, And another reasonably prominent left of centre pundit piped up and said Well for my part the reason I don't talk about.
2, It is it seems really complicated.
0, I don't feel like I have a good grasp on all the science and so I just don't feel qualified to go out and assert things publicly about it.
0, I don't feel like I have a good grasp on all the science and so I just don't feel qualified to go out and assert things publicly about it.
1, You know anybody who has ever so much as mentioned climate change on television or on the internet will understand why this person thinks the way they do.
1, You know anybody who has ever so much as mentioned climate change on television or on the internet will understand why this person thinks the way they do.
2, Any time you mention it the hordes descend bearing complicated stories about the medieval ice age or sunspots or water vapour.
2, Any time you mention it the hordes descend bearing complicated stories about the medieval ice age or sunspots or water vapour.
2, And you know there is a lot of myths about climate change borne by these climate sceptics.
2, And you know there is a lot of myths about climate change borne by these climate sceptics.
0, But to debunk those myths you have to know you know.
0, You have to go online and research and read and be able to respond to them in detail and a lot of people just find that prospect dreary.
2, And so they don't bother. And this of course drives me crazy.
1, So I piped up on Twitter and said You know climate change is not actually that complicated.
0, What you need to know to be able to speak out publicly about it just about the basic structure of the problem.
0, What you need to know to be able to speak out publicly about it just about the basic structure of the problem.
1, It is really not that complicated I could explain it to you in 15 minutes.
0, So let this be a lesson to you.
0, Don't go talk smack on Twitter Unless you are willing to back it up. 
0, So one thing led to another and here I am With 15 minutes to explain climate change to you. So let's get started.
0, Why is the Earth not a cold dead rock floating in space?
0, The reason is that it is enveloped by this tiny tiny thin layer of gases and chemicals.
0, The reason is that it is enveloped by this tiny tiny thin layer of gases and chemicals.
0, That we call our atmosphere. So the Sun's energy rather than just coming down and bouncing right back off.
0, It comes down and is held close to the surface of the Earth for a while.
0, And then bounces off.
1, And then this simple process is why we have evaporation and precipitation and photosynthesis and life on our planet.
1, And then this simple process is why we have evaporation and precipitation and photosynthesis and life on our planet.
1, So scientists discovered well over a hundred years ago that the atmosphere and the systems on Earth are in this dynamic relationship.
1, And you can change the chemical composition of the atmosphere and hold more of the Sun's energy for longer.
1, And you can change the chemical composition of the atmosphere and hold more of the Sun's energy for longer.
0, The energy still has to escape of course but in the meantime it will cause changes in these biophysical systems of the Earth.
0, And you know you often hear people say The Earth has always changed.
2, the climate has always changed and that's true it has.
0, This relationship between the atmosphere and the systems they go through cycles.
0, but these cycles have typically taken hundreds of thousand of years millions of years.
0, The key thing to know first is that for the last 10000 years on Earth.
1, The climate has been relatively stable unusually stable.
1, And by stable I mean temperature has varied.
1, It's gone up and down but it's stayed on a fairly narrow band of about plus or minus 1 degree Celsius.
1, And all of advanced human civilisation has taken place during these 10000 years.
1, And all of advanced human civilisation has taken place during these 10000 years.
0, The development of agriculture the written word the wheel the iPhone.
1, Everything we know everything we have built we have done in this period of relative climate stability. 
1, Everything we know everything we have built we have done in this period of relative climate stability. 
2, So what we have been doing for the last couple of hundred years is digging up carbon out of the earth and throwing it up into the atmosphere and changing the chemical composition of the atmosphere like has happened in the past except for extremely faster.
2, So what we have been doing for the last couple of hundred years is digging up carbon out of the earth and throwing it up into the atmosphere and changing the chemical composition of the atmosphere like has happened in the past except for extremely faster.
0, In geological time the blink of an eye.
1, we are substantially changing the chemical composition of the atmosphere and all of climate science has been about.
0, What's going to happen? What is the Earth going to do in response to this?
0, And so we've already seen that the process is underway.
2, We have measured we have witnessed observed with our eyes and our thermometers about a 0.8ºC rise in global average temperature.
2, We have measured we have witnessed observed with our eyes and our thermometers about a 0.8ºC rise in global average temperature.
0, Since before the industrial age since before we started digging all this carbon up.
1, And this may not seem like a lot -- less than 1ºC --
0, But the thing to know about it is these greenhouse gases we throw up stay in the atmosphere for a very long time.
2, There are very long time lags involved here.
2, So this 0.8º temperature rise is a response to what we were doing 50-100 years ago.
0, And what we see in the first half of this century will be a response to what we've done in the last 50 years.
0, And what we see in the first half of this century will be a response to what we've done in the last 50 years.
0, And what we'll see in the latter half of this century will be a response to decisions we make today.
0, So the question is Temperature's rising how high does it have to rise before we need to worry before we're in danger before bad things start happening?
0, So the question is Temperature's rising how high does it have to rise before we need to worry before we're in danger before bad things start happening?
0, The typical answer to this question has been 2ºC.
0, Anyone who has followed climate change discussions knows that this 2º number has taken on a kind of iconic quality.
0, Anyone who has followed climate change discussions knows that this 2º number has taken on a kind of iconic quality.
0, Typically climate scientists who model impacts of what's going to happen model 2ºC rise
2, Typically economists who try to model what it would cost to do something about climate change or what it's worth or what various policies would cost model 2º centigrade.
2, Typically economists who try to model what it would cost to do something about climate change or what it's worth or what various policies would cost model 2º centigrade.
2, So obviously what counts as not dangerous vs dangerous is not a hard scientific question.
0, It's a political question.
0, And this was a political decision to take this 2C number.
0, Mainly made by European climate negotiators well over 10 years ago
1, And it's just sort of stuck since then. 
1, All the countries involved in climate negotiations have basically signed on saying Yes this is what we want to avoid 2ºC temperature rise.
2, The bad news on this 2C number is twofold.
1, First of all all the latest science done in the last 10-15 years has pointed to the conclusion that those impacts we thought were going to happen around 2ºC are in fact going to happen much earlier than that the climate is more sensitive to these added greenhouse gases than we thought.
1, First of all all the latest science done in the last 10-15 years has pointed to the conclusion that those impacts we thought were going to happen around 2ºC are in fact going to happen much earlier than that the climate is more sensitive to these added greenhouse gases than we thought.
1, First of all all the latest science done in the last 10-15 years has pointed to the conclusion that those impacts we thought were going to happen around 2ºC are in fact going to happen much earlier than that the climate is more sensitive to these added greenhouse gases than we thought.
1, First of all all the latest science done in the last 10-15 years has pointed to the conclusion that those impacts we thought were going to happen around 2ºC are in fact going to happen much earlier than that the climate is more sensitive to these added greenhouse gases than we thought.
1, First of all all the latest science done in the last 10-15 years has pointed to the conclusion that those impacts we thought were going to happen around 2ºC are in fact going to happen much earlier than that the climate is more sensitive to these added greenhouse gases than we thought.
2, So if those were the impacts we were worried about.
1, Then the real threshold of safety ought to be something like 1.5ºC.
0, James Hansen is the climate scientist most famously known for raising these warnings.
2, But it's a growing scientific consensus that 2º is in fact dangerously high which is bad because we are almost certainly going to blow past 2ºC.
2, But it's a growing scientific consensus that 2º is in fact dangerously high which is bad because we are almost certainly going to blow past 2ºC.
2, But it's a growing scientific consensus that 2º is in fact dangerously high which is bad because we are almost certainly going to blow past 2ºC.
0, There's some reason to believe a recent study said that even if we stopped our carbon emissions tomorrow.
2, We're still going to get more than 3º this century just from momentum from the previous emissions.
2, We're still going to get more than 3º this century just from momentum from the previous emissions.
0, But stopping at 2º now would take a level of global coordination and ambition that is nowhere in evidence.
0, But stopping at 2º now would take a level of global coordination and ambition that is nowhere in evidence.
2, So a lot of climate scientists don't really want to tell you this because they don't want to depress you.
2, But I am just a blogger so I am happy to depress you.
0, 2ºC is probably off the table. 
0, So then the question becomes Well what would it look like if temperature goes higher than that? What would say 4ºC look like?
2, Oddly there hadn't really been a lot of concerted scientific attention to that question because climate scientists honestly thought we wouldn't do that to ourselves but we are doing it to ourselves.
2, Oddly there hadn't really been a lot of concerted scientific attention to that question because climate scientists honestly thought we wouldn't do that to ourselves but we are doing it to ourselves.
2, Oddly there hadn't really been a lot of concerted scientific attention to that question because climate scientists honestly thought we wouldn't do that to ourselves but we are doing it to ourselves.
1, So in 2009 several climate change research groups in England drew together a group of scientists commissioned some papers and had them really take a hard look for the first time.
1, So in 2009 several climate change research groups in England drew together a group of scientists commissioned some papers and had them really take a hard look for the first time.
0, What would 4ºC look like?
1, There are a lot of papers a lot of equations a lot of talk and complexity I have hopefully paraphrased here for you to make it easier to grasp.
1, There are a lot of papers a lot of equations a lot of talk and complexity I have hopefully paraphrased here for you to make it easier to grasp.
2, 4ºC temperature rise would look ugly.
2, Among other things that would be the hottest the Earth has been in 30 million years.
2, Among other things that would be the hottest the Earth has been in 30 million years.
2, Sea-levels would rise at least 3-6 feet.
2, And this excludes some really tail end possibilities but 3-6 feet at least.
2, And persistent drought would cover about 40% of the currently occupied land on Earth which would wreak havoc on agriculture in East Asia Africa South America Western US.
2, And persistent drought would cover about 40% of the currently occupied land on Earth which would wreak havoc on agriculture in East Asia Africa South America Western US.
2, And persistent drought would cover about 40% of the currently occupied land on Earth which would wreak havoc on agriculture in East Asia Africa South America Western US.
2, Well this combined will produce hundreds of millions of people who have been driven from their homes either by their cities being swamped by sea-level rise or by hunger or by all the attended ills that come along with those things.
2, Well this combined will produce hundreds of millions of people who have been driven from their homes either by their cities being swamped by sea-level rise or by hunger or by all the attended ills that come along with those things.
2, Well this combined will produce hundreds of millions of people who have been driven from their homes either by their cities being swamped by sea-level rise or by hunger or by all the attended ills that come along with those things.
2, And to boot probably somewhere around half of the known species on Earth would go extinct.
2, And to boot probably somewhere around half of the known species on Earth would go extinct.
2, This question of pinning down the exact number of species is very difficult.
0, This is very much an approximation but some substantial chunk of life on Earth would be wiped out.
0, This is very much an approximation but some substantial chunk of life on Earth would be wiped out.
2, The final bit of bad news... that's not true there's more bad news to come.
2, A middle bit of bad news is that according to a recent paper by the International Energy Agency.
2, A middle bit of bad news is that according to a recent paper by the International Energy Agency.
1, We are currently on track -- if we keep doing what we are now doing.
2, If we go on with business as usual as it's called -- we are now on track for 6ºC temperature rise this century.
0, Something 5-7 these are obviously estimations.
2, So if 4º is hell on Earth.
0, I'll let your imaginations filling the blanks on 6º.
2, But one danger that comes up when we contemplate going this high with our temperature.
2, But one danger that comes up when we contemplate going this high with our temperature.
2, Is the possibility that climate change will become irreversable.
0, I think when people typically think about climate change they think Oh temperature is going to rise X amount.
2, Circumstances will change some places will get warmer.
2, Some places will get wetter we'll adjust we'll move our farms around.
0, People will migrate from one city to another we'll get resettled and we'll go on with life.
2, The really dangerous possibility is that what are called -- the Earth has several of what are called positive feedback systems.
2, The really dangerous possibility is that what are called -- the Earth has several of what are called positive feedback systems.
0, So for instance in Siberia there is this permanent ice the permafrost and it contains a bunch of methane in it.
2, As it melts it releases that methane the methane causes more warming which melts more ice which releases more methane
2, It's a self-sustaining process.
2, Or sea ice melts ice is white it reflects energy when it melts becomes dark blue and absorbs more energy which heats the oceans which melts more ice which creates more dark surfaces.
2, Or sea ice melts ice is white it reflects energy when it melts becomes dark blue and absorbs more energy which heats the oceans which melts more ice which creates more dark surfaces.
2, You see there's a number of these systems.
2, That are self-perpetuating and the danger the great danger of climate change.
2, That towers above all these other more specific dangers.
2, Is that these positive feedback systems will take on a momentum of their own that becomes unstoppable.
2, And human beings will lose any ability to control it at all even if we'd stop all our climate emissions on a dime.
2, And human beings will lose any ability to control it at all even if we'd stop all our climate emissions on a dime.
0, Will that happen at 2º? 
0, Probably not though there is a real chance of it and there is a lot of debate about that; will it happen at 4º?
0, Well it looks a lot more likely at 4º. Will it happen at 6º?
0, Almost certainly. 
0, So if we continue on our present course climate change will probably take on a life of its own spiral out of control.
2, And according to a recent paper by 2300 we could see temperature rise of up to 12ºC.
2, And according to a recent paper by 2300 we could see temperature rise of up to 12ºC.
2, And according to a recent paper by 2300 we could see temperature rise of up to 12ºC.
0, Now if that happened.
2, Something like half the Earth's currently inhabited land would become too hot to survive on.
2, Something like half the Earth's currently inhabited land would become too hot to survive on.
2, And when I say too hot to survive on I don't mean it's difficult to grow beans or air conditioning bills are inconveniently high.
2, I mean if you go outside you die of hotness.
2, I mean places that were an average of 80ºF would be now an average of 170-180ºF.
2, I mean places that were an average of 80ºF would be now an average of 170-180ºF.
2, Literally too hot for human beings to go outside and survive.
0, So will there still be human civilization under those circumstances?
0, Who knows I mean maybe we'll live in underground climate controlled caves.
2, Maybe we'll grow food in test tubes but that wouldn't look anything like Earth as we now know it.
0, It would look a lot more like Newt Gingrich's moon colony assuming any human beings or at least enough to make a civilization survived in those circumstances.
0, It would look a lot more like Newt Gingrich's moon colony assuming any human beings or at least enough to make a civilization survived in those circumstances.
0, It would look a lot more like Newt Gingrich's moon colony assuming any human beings or at least enough to make a civilization survived in those circumstances.
0, So when I say Climate change is simple. -- I know this has been bugging you.
0, You are not used to thinking in Celsius.
2, Those strange European metric temperatures so here is good American Fahrenheit it's just as ugly.
1, So this is what I mean by climate change being simple.
2, There are many complicated and fascinating discussions to be had about what to do about it.
1, Or about what effect our actions might have on the climate.
1, And when or which policies are best based on cost benefit analyses.
2, There is complexity plenty of complexity for those of you who like complexity.
2, But we now know to a fair degree of certainty that if we keep doing what we are now doing we will face unthinkable catastrophe.
2, But we now know to a fair degree of certainty that if we keep doing what we are now doing we will face unthinkable catastrophe.
2, That's the bumper sticker that's the take home message.
2, And that you know saying I don't want to talk about that because I don't know the ins and outs is like saying I don't want to raise alarms about Hitler's army being a hundred miles out.
0, Because I don't know the thread count of their uniforms or I don't know the average calorie intake of a German soldier.
0, Because I don't know the thread count of their uniforms or I don't know the average calorie intake of a German soldier.
0, You don't need to know those things to be scared that the army's on the march and to raise alarms about it.
2, Similarly if we keep doing what we are now doing we are screwed this we know now.
2, Similarly if we keep doing what we are now doing we are screwed this we know now.
1, To stabilize temperature and I don't mean stabilize temperature at 2º or 4º or 6º.
1, I mean to ever have a hope of ever again having a stable temperature of any kind.
2, Global climate change emissions need to peak stop growing peak and start falling rapidly in the next 5-10 years.
2, Global climate change emissions need to peak stop growing peak and start falling rapidly in the next 5-10 years.
0, Every year we do not get started on this.
2, We add according to the International Energy Agency.
2, An extra 500 billion with a B dollars to the price tag of what it is going to cost us to do this eventually every year we wait.
2, An extra 500 billion with a B dollars to the price tag of what it is going to cost us to do this eventually every year we wait.
2, That's $500 billion down the drain.
0, Now you and I look around at current politics.
1, Particularly US politics.
2, And massive coordinated intelligent ambitious action does not strike us as particularly plausible.
2, In fact it might strike us as impossible.
2, But that is where we are stuck between the impossible and the unthinkable.
2, But that is where we are stuck between the impossible and the unthinkable.
1, So your job anyone who hears this for the rest of your life your job is to make the impossible possible.
1, So your job anyone who hears this for the rest of your life your job is to make the impossible possible.
0, Thank you! (Applause)
