label,text
0, Climate Change: Mitigate or Adapt
1, Welcome to this australian earth science education video.
1, We are going to look at ways that people can mitigate or adapt to the changing climate and its flow-on effects.
1, Mitigation is any action that limits the rate of global warming and its effects.
1, These strategies or features address the problem and are ways that we can fight climate change.
1, Adaptation is learning to live with a warming climate and its effects.
2, Even if we stop any further warming we have to deal with some of the effects we are already experiencing such as increased storms fires and heat.
2, Even if we stop any further warming we have to deal with some of the effects we are already experiencing such as increased storms fires and heat.
0, We are going on a neighborhood scavenger hunt to see how many features we can find that help to address climate change.
1, There are some features that are implemented by the local government or community and others that can be put in place by individual households.
0, We will start with the community services and features.
1, This suburb has good bus service that connects with train stations.
1, Efficient public transport keeps cars off the road and reduces greenhouse gases this counts as mitigation.
1, We have ticked off the bus stops on our list and have followed the buses to the local train station.
1, Trains are a very efficient way of moving large numbers of people.
1, Electric trains like these in sydney can be run using renewable power this is an excellent mitigation measure.
1, Parks and green spaces help to cool urban areas as plants transpire.
1, Cooling urban areas is a way of adapting to climate change.
1, But trees are also a good mitigation strategy because they absorb carbon dioxide from the air and lock it up in wood.
1, Public areas that encourage walking are another climate mitigation strategy.
0, This pedestrian area is surrounded by shops.
1, And right next to the train and bus stations people drive less if they can find what they need in one spot and can get there by public transportation.
0, I didn't find a bicycle path in my area.
0, So can't take off that item in the hunt does your community have any other features that combat climate change?
1, Solar panels are a household climate mitigation feature that is easy to spot.
1, By generating their own solar electricity households are mitigating the effects of climate change.
1, Solar panels may be paired with batteries but batteries are hard to spot from the street.
0, When looking at rooftops you may also see solar water heaters.
1, These come in a variety of designs and are another helpful mitigation strategy that is relatively low cost to adopt.
1, Houses with large deciduous trees outside like this big liquid amber are using an effective adaptation strategy.
1, Houses with large deciduous trees outside like this big liquid amber are using an effective adaptation strategy.
1, Deciduous trees shade the house in summer and allow more sunlight through in winter.
1, It is easiest to spot these trees in the winter when they have dropped their leaves.
1, You may be able to see water tanks in your house water tanks are an adaptation to the more unpredictable rainfall that comes with climate change.
1, Households can collect their own water to help reduce the strain on municipal water supplies.
1, I didn't spot any houses with fireproof shutters in my neighborhood.
2, But these are an adaptation to the increased bushfire risk that comes with climate change.
1, I found some skylights and roof ventilation in my neighborhood.
1, Skylights reduce electricity demand so are mitigation.
1, Roof ventilation lets out excess heat in summer do you think this is adaptation or mitigation.
0, What other features in your local area are response to the effects of changing climate?
2, Consider strategies to combat floods landslides fire and extreme weather.
0, What features are adaptation and which are mitigation?
0, Can a feature be both? we hope you've enjoyed this video about climate change mitigation and adaptation.
0, For more videos blogs and activities visit our website at ausearthed.com dot a u
0, 
