zuo,label,text
0,0, Climate Change for South African Directors
0,0, 
2,1," Climate change will have significant impacts on economies, the stability of global financial markets, and the companies that operate within them."
2,1," Climate change will have significant impacts on economies, the stability of global financial markets, and the companies that operate within them."
2,1, There is global scientific consensus on the risks and the severity of climate change.
0,1," Climate change is real, it is global."
2,1," the consequences are severe and intensifying, and humans are driving force of this impending crisis."
2,1," Central banks, investors, lenders, and insurance underwriters are calling the climate crisis a systemic risk to our financial system."
2,1," Central banks, investors, lenders, and insurance underwriters are calling the climate crisis a systemic risk to our financial system."
2,2," No business, regardless of the sector, is immune."
2,2,"And companies that fail to address the climate crisis and the business risks it creates do so at their own peril."
2,2,"And companies that fail to address the climate crisis and the business risks it creates do so at their own peril."
1,1," For business leaders, a new duty of care is emerging."
1,1," Corporate directors must be proactive in understanding the science behind the climate crisis, and possible future climate scenarios, to fully grasp the implications for society and the business that they lead and govern."
1,1," Corporate directors must be proactive in understanding the science behind the climate crisis, and possible future climate scenarios, to fully grasp the implications for society and the business that they lead and govern."
2,1," Climate change is a complex challenge with significant business risks."
1,1," To manage these risks, corporate directors must consider intersecting scientific, macroeconomic, and policy-related uncertainty over timeframes much longer than conventional strategic planning cycles."
1,1," To manage these risks, corporate directors must consider intersecting scientific, macroeconomic, and policy-related uncertainty over timeframes much longer than conventional strategic planning cycles."
1,1," To manage these risks, corporate directors must consider intersecting scientific, macroeconomic, and policy-related uncertainty over timeframes much longer than conventional strategic planning cycles."
0,0, Let’s start with what we know about climate science.
2,2," Human activities -- including the burning of fossil fuels, deforestation, and land use change -- release carbon dioxide, nitrous oxide, methane, and other greenhouse gases."
2,2," Human activities -- including the burning of fossil fuels, deforestation, and land use change -- release carbon dioxide, nitrous oxide, methane, and other greenhouse gases."
2,2," Over the last century, the concentration of these greenhouse gases in the atmosphere has steadily increased, reaching levels significantly higher than anything on record in the last eight hundred thousand years."
2,2," Over the last century, the concentration of these greenhouse gases in the atmosphere has steadily increased, reaching levels significantly higher than anything on record in the last eight hundred thousand years."
2,2," Over the last century, the concentration of these greenhouse gases in the atmosphere has steadily increased, reaching levels significantly higher than anything on record in the last eight hundred thousand years."
0,2," Of all industrial carbon dioxide emitted since the beginning of the Industrial Revolution in the 18th century."
2,1," more than half has been released since 1988."
1,1," — the same year the Intergovernmental Panel on Climate Change began its work."
2,2," As greenhouse gases accumulate in the atmosphere, they trap heat."
2,2," This is causing a long-term increase in global average temperatures – a phenomenon called global warming."
1,1," Earth’s systems regulate the climate through carbon sinks that absorb carbon dioxide from the atmosphere. "
2,1," The most critical carbon sinks are oceans, soil, and plant life."
2,2, Oceans are the largest carbon sink on the planet.
1,1," They currently absorb thirty percent of the carbon we emit and ninety percent of the excess heat generated by increased greenhouse gas emissions."
1,1," They currently absorb thirty percent of the carbon we emit and ninety percent of the excess heat generated by increased greenhouse gas emissions."
2,2, But the oceans cannot continue to absorb heat and carbon emissions without consequences.
2,2," As oceans absorb carbon dioxide, the acidity of the water increases."
2,2, Ocean acidification poses a serious threat to ocean coral and other sea life. Vast amounts of carbon dioxide and methane are also stored in frozen deposits in the ocean floor called gas hydrates.
2,2, Ocean acidification poses a serious threat to ocean coral and other sea life. Vast amounts of carbon dioxide and methane are also stored in frozen deposits in the ocean floor called gas hydrates.
2,2, Ocean acidification poses a serious threat to ocean coral and other sea life. Vast amounts of carbon dioxide and methane are also stored in frozen deposits in the ocean floor called gas hydrates.
0,2," The gases in these hydrates are precariously close to being released because of rising ocean temperatures."
2,2," If so, instead of acting as a carbon sink, oceans will become carbon emitters, with grave consequences for climate change."
2,2," If so, instead of acting as a carbon sink, oceans will become carbon emitters, with grave consequences for climate change."
0,1," Forests and soil are also carbon sinks, storing one quarter of global carbon emissions."
2,2, But deforestation is rampant.
2,2," Globally, we are losing an area of tree cover equivalent to the size of the United Kingdom every year."
2,2," By damaging these vital carbon sinks, we are eroding the very foundations of our economies, livelihoods, food security, health, and quality of life."
2,2," By damaging these vital carbon sinks, we are eroding the very foundations of our economies, livelihoods, food security, health, and quality of life."
2,1," While there might be potential to develop artificial carbon sinks, including carbon capture and storage, no technology can match the scale and efficiency of the Earth’s natural systems."
2,1," While there might be potential to develop artificial carbon sinks, including carbon capture and storage, no technology can match the scale and efficiency of the Earth’s natural systems."
2,1, Greenhouse gas emissions from human activities are changing the climate so quickly that ecosystems and human society are struggling to adapt."
2,1, Greenhouse gas emissions from human activities are changing the climate so quickly that ecosystems and human society are struggling to adapt." 
2,1," The changing climate is already impacting people worldwide."
2,1," Climate impacts disproportionately threaten Black, Indigenous, and People of Colour communities and countries in the global South, even though they have historically contributed the least to the climate crisis. "
2,1," Climate impacts disproportionately threaten Black, Indigenous, and People of Colour communities and countries in the global South, even though they have historically contributed the least to the climate crisis. "
2,1," Climate impacts disproportionately threaten Black, Indigenous, and People of Colour communities and countries in the global South, even though they have historically contributed the least to the climate crisis. "
2,2, The climate risks for businesses and society will continue to worsen unless we transition rapidly to a low-carbon economy."
2,2, The climate risks for businesses and society will continue to worsen unless we transition rapidly to a low-carbon economy."
0,0, [Music]
