zuo,label,text
0,0, Climate Change or Social Change: The Role of Blockchain
0,0, [Music]
0,0, Few days ago I was a diplomat.
0,0, I used to work for the UN.
2,0, For the last seven years until I get to know how hard it is to change the system from within so now.
2,0, For the last seven years until I get to know how hard it is to change the system from within so now.
1,1, I'm here with you guys in order to change it together right.
0,0, And I wanted to share with you some of my some of my learnings my thoughts my feelings from all this experience.
0,1, Especially regarding climate change right.
1,1, And I would like to work with you in order to get a solution that actually really transforms what is happening now with the climate action which is just a symptom of something more deepen which is our production and consumption system.
1,1, And I would like to work with you in order to get a solution that actually really transforms what is happening now with the climate action which is just a symptom of something more deepen which is our production and consumption system.
1,1, And I would like to work with you in order to get a solution that actually really transforms what is happening now with the climate action which is just a symptom of something more deepen which is our production and consumption system.
1,1, And I would like to work with you in order to get a solution that actually really transforms what is happening now with the climate action which is just a symptom of something more deepen which is our production and consumption system.
1,1, So I I really wish the blockchain ecosystem does not fall into the repeating the same but with a nicer technology or a cooler technology.
1,1, So I I really wish the blockchain ecosystem does not fall into the repeating the same but with a nicer technology or a cooler technology.
1,1, So I I really wish the blockchain ecosystem does not fall into the repeating the same but with a nicer technology or a cooler technology.
0,0, Well here is our friendly dinosaur coming from 66 Millions ago giving out advice.
1,0, And the the cool thing of this is that this was a campaign issue by a UN agency.
1,0, And the the cool thing of this is that this was a campaign issue by a UN agency.
0,0, You think about you and you think of a most conservative or maybe Century 20 organization.
0,0, You think about you and you think of a most conservative or maybe Century 20 organization.
1,1, But the guys were encouraged in because of the whole science.
1,1, We are reading the whole day to launch this sort of campaigns right.
2,1, And this is related to the potential Extinction we're about to face due to climate change.
0,1, You are probably have heard about the Paris agreement.
1,1, And you we need to understand that the Paris agreement was built over the biggest consensus scientifically and politically in the history of humankind.
1,1, And you we need to understand that the Paris agreement was built over the biggest consensus scientifically and politically in the history of humankind.
1,1, And you we need to understand that the Paris agreement was built over the biggest consensus scientifically and politically in the history of humankind.
1,1, This is this is strong right.
0,1, So we when we when we hear about the 1.5 degrees we we shouldn't surpass in the next years.
0,0, What is that?
2,2, Because I think it's very difficult to embody it right.
2,1, So or having like a tangible data in this term you can read the latest War material logical organization together with the U.N disaster risk management office saying that the forecast for 2030 is one point disasters a day.
2,1, So or having like a tangible data in this term you can read the latest War material logical organization together with the U.N disaster risk management office saying that the forecast for 2030 is one point disasters a day.
2,1, So or having like a tangible data in this term you can read the latest War material logical organization together with the U.N disaster risk management office saying that the forecast for 2030 is one point disasters a day.
0,0, This is the latest report.
2,0, So 1.5 degrees more is 1.5 disasters a day in this world.
2,0, So 1.5 degrees more is 1.5 disasters a day in this world.
2,2, So that's earthquakes tsunamis floods heat waves.
0,1, Everything that affects obviously people lives but also infrastructure electricity infrastructure and so the internet and so this blockchain.
0,1, Everything that affects obviously people lives but also infrastructure electricity infrastructure and so the internet and so this blockchain.
0,1, Everything that affects obviously people lives but also infrastructure electricity infrastructure and so the internet and so this blockchain.
2,1, So we we really need to be specifically concerned on this.
1,1, I really recommend you to see this augmentary is very it's very new.
0,1, Because it actually appeals to how we create negation mechanisms when we hear all this information.
0,0, And it happened to me even at the U.N reading all the reports and being part of the report.
0,0, And it happened to me even at the U.N reading all the reports and being part of the report.
0,0, So what what what are you going to do once you know but what are you going to do once you feel it once you get to know where get you feel what you know you have to believe what you know.
0,0, So what what what are you going to do once you know but what are you going to do once you feel it once you get to know where get you feel what you know you have to believe what you know.
1,1, So this kind of paralyze you or move to action real action.
1,1, So this kind of paralyze you or move to action real action.
0,1, So going into my diagnosis of why we are here in this situation.
2,1, I think there's a clear misleading the approach.
0,0, That is the old the Olin sdgs.
1,1, You know sdgs Cadbury incredible targets of poverty zero hunger zero clean energy for everyone etc etc right sustainable consumption production.
1,1, You know sdgs Cadbury incredible targets of poverty zero hunger zero clean energy for everyone etc etc right sustainable consumption production.
1,1, You know sdgs Cadbury incredible targets of poverty zero hunger zero clean energy for everyone etc etc right sustainable consumption production.
1,1, But we have this sdg which is number eight and promotes indefinite economic growth.
0,1, So going into a very precise example.
1,1, Everyone wants to go renewable right.
1,1, Renewable energy.
1,1, But what if tomorrow today we all decide to go 100 Renewables.
0,1, Well we need minerals for that.
0,1, We need extraction according to the World Bank.
0,1, We need in order to be aligned with a 1.5 degrees of the police agreement.
0,1, We need three billion tons of minerals lithium Cobalt graphite which is under the Amazon down the Amazon.
2,1, so and that will imply a lot of trade-offs in other sectors in other sdgs
2,1, so and that will imply a lot of trade-offs in other sectors in other sdgs
2,1, I know obviously a massive amount of burn oil of burnt oil.
2,1, Because we are just moving the the mission of git to other sectors transport extractives and the industry.
2,1, Because we are just moving the the mission of git to other sectors transport extractives and the industry.
0,1, So I was willing to enter the here.
0,1, Dancing one song of The Rolling Stones but due to copyright stuff we had another one.
0,0, But the the Rolling Stones said it in a very nice Way You Can't Always Get What You Want.
0,0, But the the Rolling Stones said it in a very nice Way You Can't Always Get What You Want.
0,1, And that's my part of the song like all in sdg but if you try some time you just might find you get what you need.
0,1, And that's my part of the song like all in sdg but if you try some time you just might find you get what you need.
0,1, So let's see a concrete example of the misleader I'm telling you about.
1,1, 25 years of the voluntary carbon Market.
1,1, This is a few to few approach while emissions Rising as you already know.
0,1, So in the demand side the reach offsetters the buyers.
2,2, Coca-Cola Airways car Hill whoever principally from the food and energy sectors which are the most polluting ones the principal generators of climate change.
2,2, Coca-Cola Airways car Hill whoever principally from the food and energy sectors which are the most polluting ones the principal generators of climate change.
2,2, Coca-Cola Airways car Hill whoever principally from the food and energy sectors which are the most polluting ones the principal generators of climate change.
0,1, Look at this data from from Oxfam.
0,1, During the pandemic when the economy was shrinking 453 new billionaires in this sector that is supposed to offset in order to get below the 1.5.
0,1, During the pandemic when the economy was shrinking 453 new billionaires in this sector that is supposed to offset in order to get below the 1.5.
0,1, During the pandemic when the economy was shrinking 453 new billionaires in this sector that is supposed to offset in order to get below the 1.5.
0,1, Rich middlemen in 2021 1 billion dollars for the current market.
0,0, Few Traders made in 2021.
2,1, And in the this is the worst part of the of the story because these are the guys in the supply side the guys that are protecting the ecosystems we need to thrive.
2,1, And in the this is the worst part of the of the story because these are the guys in the supply side the guys that are protecting the ecosystems we need to thrive.
2,1, And in the this is the worst part of the of the story because these are the guys in the supply side the guys that are protecting the ecosystems we need to thrive.
0,0, Look at this at this notice from from our community in in India.
2,0, Sorry in Kenya these projects are sending people out.
2,2, And they can even not afford to put into the market their their own Supply their projects because they are made for the rich in order to credit and be able to sell a credit to presenter projects you need.
2,2, And they can even not afford to put into the market their their own Supply their projects because they are made for the rich in order to credit and be able to sell a credit to presenter projects you need.
2,2, And they can even not afford to put into the market their their own Supply their projects because they are made for the rich in order to credit and be able to sell a credit to presenter projects you need.
2,2, The transaction costs are huge.
0,1, So that's why you have big landowners with with trees with forests claiming reductions from I don't know a hundred thousand hectares Baseline and next year I will do 70 000 you can pay me that.
0,1, So that's why you have big landowners with with trees with forests claiming reductions from I don't know a hundred thousand hectares Baseline and next year I will do 70 000 you can pay me that.
0,1, So that's why you have big landowners with with trees with forests claiming reductions from I don't know a hundred thousand hectares Baseline and next year I will do 70 000 you can pay me that.
0,0, Is that the sdgs?
0,0, Are them supposed to do that?
0,0, So getting into blockchain.
0,0, What is happening right now?
0,1, You probably heard also about the hype of the Eco tokens of tokenizing this voluntary carbon Market credits into the blockchain.
0,1, And it's very interesting you read this research published by Thomson Reuters also like one month ago from a scandal that's what that was raised in Brazil due to a a person that was living in the community where the project was being held that died.
0,1, And it's very interesting you read this research published by Thomson Reuters also like one month ago from a scandal that's what that was raised in Brazil due to a a person that was living in the community where the project was being held that died.
0,2, And it's very interesting you read this research published by Thomson Reuters also like one month ago from a scandal that's what that was raised in Brazil due to a a person that was living in the community where the project was being held that died.
0,2, And it's very interesting you read this research published by Thomson Reuters also like one month ago from a scandal that's what that was raised in Brazil due to a a person that was living in the community where the project was being held that died.
2,2, He died in the project.
2,1, And due to his death everyone paid attention to it and the scam was off what was leaked.
2,1, So just look at this this crypto company in Brazil has been accused of packed more than 2 million carbon credits and turned them into crypto tokens at times selling the grades for eight times more.
2,1, So just look at this this crypto company in Brazil has been accused of packed more than 2 million carbon credits and turned them into crypto tokens at times selling the grades for eight times more.
2,1, So just look at this this crypto company in Brazil has been accused of packed more than 2 million carbon credits and turned them into crypto tokens at times selling the grades for eight times more.
2,2, So they mixed in those 2 million they mix very low quality credits with Middle grades and they packed them.
2,2, So they mixed in those 2 million they mix very low quality credits with Middle grades and they packed them.
2,2, I mean you know a low quality credit is the one that has no environmental robust asset behind the token right.
0,1, That's a so the editor who this was a WhatsApp message leaked.
2,1, The editor who initially approved the project a decade ago found that deforestation may have been displaced to land nearby.
2,1, The editor who initially approved the project a decade ago found that deforestation may have been displaced to land nearby.
2,1, And that is a violation of one of the main principles of the carbon Market or the voluntary current markets which is permanence.
2,1, And that is a violation of one of the main principles of the carbon Market or the voluntary current markets which is permanence.
2,2, But it's very difficult how can we ensure we measure our project it's perfect.
0,0, How can we ensure that the deforestation going on there does not go to the other land?
2,2, Or maybe another country is a global problem.
1,1, And they didn't even trust they created 150 green job.
1,1, 150 green jobs for 2 million carbon credits.
0,1, It's a huge or almost nothing so.
0,1, We need to know that although this and we we need to remind I think.
0,0, What blockchain has been built for the the the core principles of blockchain right?
0,0, How how those could be applied into this?
1,1, You know Upstream we need to replace those few offsets for those big polluters making new billionaires in the most polluting sectors.
1,1, You know Upstream we need to replace those few offsets for those big polluters making new billionaires in the most polluting sectors.
1,1, We need to replace one offset from that those ones from like a participation in that one from all of us savers.
1,1, We need to replace one offset from that those ones from like a participation in that one from all of us savers.
0,1, Then we as vitalik said we need to automatize the center that's blockchain about and downstream allowing those humans those real populations but probably there's a gap because they cannot reach internet in many cases.
0,1, Then we as vitalik said we need to automatize the center that's blockchain about and downstream allowing those humans those real populations but probably there's a gap because they cannot reach internet in many cases.
0,1, Then we as vitalik said we need to automatize the center that's blockchain about and downstream allowing those humans those real populations but probably there's a gap because they cannot reach internet in many cases.
1,1, But anyway they are the ones that really have a ignorant willingness to defend ecosystems and the forest because they live in the forest.
1,1, But anyway they are the ones that really have a ignorant willingness to defend ecosystems and the forest because they live in the forest.
1,1, That's that's inner and transparency right.
0,1, and that's what blockchain I think in my humble opinion should be about.
0,0, so but what about the agenda right?
0,1, I think we need to consider and I would like I've been talking in these days about this because I I I’m not an expert in Dallas nor blockchain as well.
0,1, I think we need to consider and I would like I've been talking in these days about this because I I I’m not an expert in Dallas nor blockchain as well.
1,0, But these guys are 500 Scholars and former Ministers of environment that presented a letter in the last U.N disaster risk management um conference asking the U.N to replace the sdgs for a more sincere agenda.
1,1, But these guys are 500 Scholars and former Ministers of environment that presented a letter in the last U.N disaster risk management um conference asking the U.N to replace the sdgs for a more sincere agenda.
1,1, But these guys are 500 Scholars and former Ministers of environment that presented a letter in the last U.N disaster risk management um conference asking the U.N to replace the sdgs for a more sincere agenda.
1,1, But these guys are 500 Scholars and former Ministers of environment that presented a letter in the last U.N disaster risk management um conference asking the U.N to replace the sdgs for a more sincere agenda.
1,1, But these guys are 500 Scholars and former Ministers of environment that presented a letter in the last U.N disaster risk management um conference asking the U.N to replace the sdgs for a more sincere agenda.
1,1, An agenda that is really aligned with science.
1,1, That is focus on locally LED adaptation climate adaptation that’s not mitigation to reduce but adaptation how to create resilience for this for infrastructure loads loss we we’ve seen before.
1,1, That is focus on locally LED adaptation climate adaptation that’s not mitigation to reduce but adaptation how to create resilience for this for infrastructure loads loss we we’ve seen before.
1,1, And also this disaster risk management which is very very important not to lose among other staff the blockchain.
1,1, And also this disaster risk management which is very very important not to lose among other staff the blockchain.
1,1, And also this disaster risk management which is very very important not to lose among other staff the blockchain.
0,1, So are we willing to put ourselves in a position to help these guys to put because they probably don’t know what blockchain is they probably haven’t even think of this.
0,1, So are we willing to put ourselves in a position to help these guys to put because they probably don’t know what blockchain is they probably haven’t even think of this.
0,1, So are we willing to put ourselves in a position to help these guys to put because they probably don’t know what blockchain is they probably haven’t even think of this.
0,1, So what if we put what if a ethereum foundation or whoever here wants to collaborate in this
1,1, We Make some noise and help these guys or through the blockchain governance tools we have create a capacity building and create a pilot a pilot project to really change the world.
1,1, We Make some noise and help these guys or through the blockchain governance tools we have create a capacity building and create a pilot a pilot project to really change the world.
1,1, We Make some noise and help these guys or through the blockchain governance tools we have create a capacity building and create a pilot a pilot project to really change the world.
0,1, So going back to the many-to-many approach I told in the in the carbon Market or the Eco tokens.
2,2, This pilot is is not has not been already executed.
0,1, But it’s very interesting how it has been designed
1,1, Because it was really designed from many to many although it was it was it could not be so ambitious at the beginning.
0,1, It was really what I’m trying to say in an example.
0,0, You can see those investors in the middle with the project try to gather from the application of a bank where almost everybody in Argentina.
0,0, You can see those investors in the middle with the project try to gather from the application of a bank where almost everybody in Argentina.
0,1, This is for El Taco Argentina in the North um where everyone received their salary.
0,1, So they give the now with this project.
0,1, They should give the option instead of saving with something else.
1,1, You can buy an Eco token.
0,1, And in the supply side this is a very interesting interesting part and Diego I think before me.
0,1, He spoke something of interesting things about this.
0,0, But how the jurisdictional authorities?
0,0, How can we somehow we need them in our part?
1,1, They have the infrastructure to reach those territories we don’t have it yet.
1,1, So the government the governor of Chaco committed at least verbally.
0,1, So this is just an idea remember that.
1,1, But he publicly confirmed that he wanted to do this.
0,1, And he wanted to reach the territories of those ecosystem sorry Echo tokens Revenue to reach directly their populations living in the forests through smart contracts.
0,1, And he wanted to reach the territories of those ecosystem sorry Echo tokens Revenue to reach directly their populations living in the forests through smart contracts.
1,1, And he committed himself to sign a bill in order to sort of delegate his mandate in in that regard.
1,1, And he committed himself to sign a bill in order to sort of delegate his mandate in in that regard.
1,1, And he committed himself to sign a bill in order to sort of delegate his mandate in in that regard.
0,1, Not not the jurisdiction because that’s a legal problem but to delegate.
1,1, And I think that’s a very important role for this for uh for the estate for the government for the old Paradigm to become helper of these two to to actually be Unleashed right.
1,1, And I think that’s a very important role for this for uh for the estate for the government for the old Paradigm to become helper of these two to to actually be Unleashed right.
1,1, And I think that’s a very important role for this for uh for the estate for the government for the old Paradigm to become helper of these two to to actually be Unleashed right.
1,1, And another example I wanted to share with you which is also very very brand new they’re working already.
0,1, And they they are from Colombia
1,1, They’re from here Echo registry because we need to know what what to do about the transition.
0,1, Because we we have those Coca-Cola Delta Airlines car Hill buyer whatever willing to.
1,1, And and the demand for carbon credits has grown exponentially in the last years.
1,1, And and the demand for carbon credits has grown exponentially in the last years.
2,1, Not the supply because of what I I told you there’s no money to create projects but yes they demand.
2,1, There’s a there was a 2 billion annual demand for credits in 2021.
1,1, I think we should harness on but how.
0,1, This is a very interesting model here in Colombia that is spreading into other countries.
0,1, So they are not going to.
2,1, They don’t just tokenize a carbon credit whichever the current credit asset quality is.
1,1, But they migrate into blockchain every part of the process of our of the life cycle of our carbon credit from their project design formulation validation verification the issuance the Bison cells that could be before retirement that is when the company the corporation claims the emission reduction.
1,1, But they migrate into blockchain every part of the process of our of the life cycle of our carbon credit from their project design formulation validation verification the issuance the Bison cells that could be before retirement that is when the company the corporation claims the emission reduction.
1,1, But they migrate into blockchain every part of the process of our of the life cycle of our carbon credit from their project design formulation validation verification the issuance the Bison cells that could be before retirement that is when the company the corporation claims the emission reduction.
1,1, But they migrate into blockchain every part of the process of our of the life cycle of our carbon credit from their project design formulation validation verification the issuance the Bison cells that could be before retirement that is when the company the corporation claims the emission reduction.
1,1, But they migrate into blockchain every part of the process of our of the life cycle of our carbon credit from their project design formulation validation verification the issuance the Bison cells that could be before retirement that is when the company the corporation claims the emission reduction.
1,1, And they are making this very transparent and very efficient to the point that the average in the market of reaching money to the developers is like 25 percent roughly.
1,1, And they are making this very transparent and very efficient to the point that the average in the market of reaching money to the developers is like 25 percent roughly.
1,1, And they are making this very transparent and very efficient to the point that the average in the market of reaching money to the developers is like 25 percent roughly.
0,1, These guys are reaching now 50 percent.
1,1, And they have a short-term plan of reaching 70 percent so that could be a smart transition.
