zuo,label,text
1,1, Climate change unlikely to increase malaria burden in West Africa
0,0, [music]
2,2, Many of the predicted impacts of climate change on the planet are bad if not catastrophic.
2,2, Melting glaciers. Rising sea levels. More extreme weather.
0,0, But what about the effect on diseases spread by mosquitoes?
0,0, Will malaria become more common too? Scientific efforts to find out have thus far been over-simplified and the results mixed.
0,0, Now using a sophisticated model incorporating hydrology researchers say that while malaria may increase in some parts of the world it probably won't in West Africa.
0,0, Now using a sophisticated model incorporating hydrology researchers say that while malaria may increase in some parts of the world it probably won't in West Africa.
1,0, Their models predict that the number of malaria cases there will largely remain the same and in some places even decrease.
2,2, Because malaria is a disease of temperature-sensitive parasites spread by climate-sensitive mosquitoes.
0,2, Environmental change can potentially shift the malaria burden up or down.
0,2, For example the malaria-transmitting mosquitoes in Africa prefer temperatures in the 60s to mid-80s.
0,0, They’ll die if it drops below 50 or goes above 95.
2,2, Temperatures also influence the incubation period of the Plasmodium parasite.
0,2, Plus because mosquitoes reproduce in standing pools of water rainfall can also have a huge impact.
2,2, But the link between rainfall and malaria is more complicated than a simple one-to-one relationship.
2,2, But the link between rainfall and malaria is more complicated than a simple one-to-one relationship.
2,2, In West Africa where more people are infected with and die from the disease than anywhere else in the world.
0,0, The number and size of rainwater pools depends on rainfall patterns as well as local soil vegetation and topography.
0,0, Scientists spent several years doing fieldwork in two villages in Niger to collect information about soil moisture water temperature pool location and depth and how mosquitoes interact with these pools. 
0,0, Scientists spent several years doing fieldwork in two villages in Niger to collect information about soil moisture water temperature pool location and depth and how mosquitoes interact with these pools. 
1,1, This allowed the researchers to develop and then test a new realistic model of malaria transmission incorporating these factors.
1,1, This allowed the researchers to develop and then test a new realistic model of malaria transmission incorporating these factors.
0,0, The model simulates the life cycle of mosquitoes from biting humans and transmitting the malaria parasite to seeking standing water and laying eggs.
0,0, The model also tracks human immunity to malaria which builds up as people are bitten by infected insects.
0,0, The model also tracks human immunity to malaria which builds up as people are bitten by infected insects.
0,0, Importantly the new model includes individual mosquitoes and their relationship with standing water Updating the status of the mosquitoes human disease and water every hour to create a virtual representation of malaria transmission.
2,0, Importantly the new model includes individual mosquitoes and their relationship with standing water Updating the status of the mosquitoes human disease and water every hour to create a virtual representation of malaria transmission.
0,0, The scientists then used this model to predict whether malaria outbreaks will become more common or more severe in the future.
2,0, The scientists then used this model to predict whether malaria outbreaks will become more common or more severe in the future.
2,2, With climate change the western part of West Africa is expected to get drier.
2,2, In the east it will likely get wetter. In all places the temperatures will rise significantly.
0,0, So what does the model say? In northern West Africa it’s hot and dry.
0,2, Although the region will see more rain it won’t be enough to allow mosquitoes to prosper.
1,1, So climate change is unlikely to impact the number of malaria cases there.
0,2, Similarly in the south temperatures will rise -- but not so much that they put a damper on mosquitoes.
2,2, Malaria is rampant there now and will continue to be. 
2,1, Far western Africa however will see less rainfall and increased temperature according.
1,2, Both changes work to hinder the spread of the disease. And because the region is usually near the threshold for a malaria outbreak.
1,2, Residents of these villages can expect fewer and less serious outbreaks. 
2,2, Finally eastern areas are expected to have more rainfall augmenting breeding. 
1,1, At the same time higher temperatures will likely kill more mosquitoes. 
0,0, Here the two effects cancel out suggesting that the current rate of malaria will remain the same despite changes to the environment. 
2,2, The results highlight the importance of building models with additional details based on careful fieldwork and indicate that while many West Africans will undoubtedly suffer from higher temperatures in the coming years.
2,2, The results highlight the importance of building models with additional details based on careful fieldwork and indicate that while many West Africans will undoubtedly suffer from higher temperatures in the coming years.
1,1, More malaria won’t be one of their problems. 
0,0,  
0,0, [Music]
