label,text
0, COP28: Nuclear Science and Technology for Climate Change Adaptation
0, [Music]
1, The realities of a warming planet are all around us
1, With nuclear science and technology we can mitigate greenhouse gas emissions monitor changes to the environment and adapt with techniques such as climate smart agriculture.
1, With nuclear science and technology we can mitigate greenhouse gas emissions monitor changes to the environment and adapt with techniques such as climate smart agriculture.
1, These are just some of the many uses of nuclear technology that make up the iaea's multifaceted approach to climate change.
1, These are just some of the many uses of nuclear technology that make up the iaea's multifaceted approach to climate change.
1, The environmental challenge of our time is here.
1, With the power of the atom we have the tools to help tackle it.
0, [Music]
1, In zimbabwe nuclear techniques are helping a village to adapt to climate change which has made droughts more frequent.
1, In zimbabwe nuclear techniques are helping a village to adapt to climate change which has made droughts more frequent.
1, When there is drought actually there is very little to feed the families.
2, And the parents have pressure to look for food leaving children with no basic things like education.
2, And the parents have pressure to look for food leaving children with no basic things like education.
2, Chronic drought also meant families had no crops to sell.
2, Without that income many couldn't afford school fees.
2, We had low law attendance in schools it was due to economic hardships.
1, But now this village is starting to thrive isotopic techniques determined the exact amount of water and fertilizer needed for crops.
1, But now this village is starting to thrive isotopic techniques determined the exact amount of water and fertilizer needed for crops.
1, Using that data a drip irrigation system was set up.
1, It uses half as much water as before but produces far more crop per drop.
1, It uses half as much water as before but produces far more crop per drop.
0, We get six tons of tomato yield per half hectare in my tomatoes 18 tons.
0, We get six tons of tomato yield per half hectare in my tomatoes 18 tons.
1, With bigger harvests families can start selling crops again.
1, And they can afford to send their kids back to school.
1, Last year we had 895 lenders in the school but for this year we now have 960 due to the introduction of the drip irrigation.
1, Last year we had 895 lenders in the school but for this year we now have 960 due to the introduction of the drip irrigation.
1, Really i would like to say it was a blessing to this school.
0, [Music]
1, Innovations in plant breeding are speeding up the rate that better crop varieties can be developed to reduce global hunger.
1, Innovations in plant breeding are speeding up the rate that better crop varieties can be developed to reduce global hunger.
1, For nearly 100 years gamma rays have been used to safely induce mutations and enhance the genetic diversity of crops like barley or quinoa.
1, For nearly 100 years gamma rays have been used to safely induce mutations and enhance the genetic diversity of crops like barley or quinoa.
1, Mutation breeding has already developed thousands of improved crop varieties with valuable traits for farmers such as resistance to disease or tolerance to drought.
1, Mutation breeding has already developed thousands of improved crop varieties with valuable traits for farmers such as resistance to disease or tolerance to drought.
1, Nuclear scientists are now taking a new approach using genetic markers to find the chosen mutant trait.
1, Nuclear scientists are now taking a new approach using genetic markers to find the chosen mutant trait.
1, So that breeders don't have to grow several generations to find out if a plant has the desired mutation.
1, So it's something that can accelerate and enhance the impact of mutation breathing.
1, The goal is to be able to quickly identify a positive trait in a mutant plant and then introduce that trait in other varieties.
1, The goal is to be able to quickly identify a positive trait in a mutant plant and then introduce that trait in other varieties.
1, What we hope to say to the member states in the future is first of all that we'll have a toolkit that allows to introduce traits that are interested into their locally adapted varieties.
1, What we hope to say to the member states in the future is first of all that we'll have a toolkit that allows to introduce traits that are interested into their locally adapted varieties.
1, And then equally important i think that we can provide the training on how to do it themselves in the future.
0, [Music]
1, A global project to track the journeys of specific raindrops is harnessing the power of big data to monitor water supplies for our thirsty planet.
1, A global project to track the journeys of specific raindrops is harnessing the power of big data to monitor water supplies for our thirsty planet.
1, A global project to track the journeys of specific raindrops is harnessing the power of big data to monitor water supplies for our thirsty planet.
1, Every month for over 50 years researchers have gathered rainwater from stations like this in vienna and hundreds of other sites around the world.
1, Every month for over 50 years researchers have gathered rainwater from stations like this in vienna and hundreds of other sites around the world.
1, The unique isotopic signatures or fingerprints of each rain sample are recorded.
0, And this information is entered into a large online database where it's compared to similar data from surface water to see which raindrops end up in which rivers.
0, And this information is entered into a large online database where it's compared to similar data from surface water to see which raindrops end up in which rivers.
0, And this information is entered into a large online database where it's compared to similar data from surface water to see which raindrops end up in which rivers.
1, This large amount of data allows researchers to better understand the water cycle.
0, For example how when and where water is recharged [Music]
1, This information is key for managing water resources especially in the light of climate change.
1, The data sets and maps are available to download for free and can be used in many ways for example in costa rica where they're helping the government identify key locations to protect groundwater so they can target conservation measures and avoid drought.
1, The data sets and maps are available to download for free and can be used in many ways for example in costa rica where they're helping the government identify key locations to protect groundwater so they can target conservation measures and avoid drought.
1, The data sets and maps are available to download for free and can be used in many ways for example in costa rica where they're helping the government identify key locations to protect groundwater so they can target conservation measures and avoid drought.
1, The data sets and maps are available to download for free and can be used in many ways for example in costa rica where they're helping the government identify key locations to protect groundwater so they can target conservation measures and avoid drought.
1, We now know which areas need special attention we know how to protect them to ensure water supply for now and the common decades.
0, [Music]
0, 
