label,text
1, Diet and Climate Change: Cooking Up a Storm
0, One of the most prestigious medical journals in the world editorialized that climate change represents the biggest global health threat of the 21st century.
2, One of the most prestigious medical journals in the world editorialized that climate change represents the biggest global health threat of the 21st century.
2, And currently chronic diseases are by far the leading cause of death.
0, Might there be a way to combat both at the same time?
1, For example riding our bikes instead of driving is a win-win-win for people planet and pocketbook.
1, Good for us the environment and cheaper too.
0, Are there similar win-win situations when it comes to diet? 
2, Well the same foods that create the most greenhouse gases appear to be the same foods that are contributing to many of our chronic diseases.
2, Well the same foods that create the most greenhouse gases appear to be the same foods that are contributing to many of our chronic diseases.
2, Well the same foods that create the most greenhouse gases appear to be the same foods that are contributing to many of our chronic diseases.
1, Meat fish eggs and dairy were found to have the greatest environmental impact whereas grains beans fruits and vegetables had the least impact.
1, Meat fish eggs and dairy were found to have the greatest environmental impact whereas grains beans fruits and vegetables had the least impact.
1, And not only did the foods with the heaviest environmental impact tend to have lower nutritional quality but also a higher price per pound thereby scoring that win-win-win scenario.
1, And not only did the foods with the heaviest environmental impact tend to have lower nutritional quality but also a higher price per pound thereby scoring that win-win-win scenario.
1, The European Commission the governing body of the European Union commissioned a study on what individuals can do to help the climate.
1, The European Commission the governing body of the European Union commissioned a study on what individuals can do to help the climate.
1, In terms of transport if Europeans started driving electric cars.
1, It could prevent as much as 174 million tons of carbon from getting released.
1, We could also turn down the thermostat a bit maybe put on a sweater.
1, But the most powerful thing people could do: shift to a meat-free diet.
1, What we eat may have more of an impact on global warming than what we drive.
1, Even just cutting out animal protein intake one day of the week could have a powerful effect.
1, Even just cutting out animal protein intake one day of the week could have a powerful effect.
1, So even just like  Meatless Mondays may beat out working from home all week and not commuting.
1, And a strictly plant-based diet may be better still responsible for only about half the greenhouse gas emissions.
1, And a strictly plant-based diet may be better still responsible for only about half the greenhouse gas emissions.
2, Overall studies have suggested that moderate dietary changes are not enough to reduce impacts from food consumption drastically.
2, Overall studies have suggested that moderate dietary changes are not enough to reduce impacts from food consumption drastically.
1, Changes to healthier diets without significant meat and dairy intake reductions may only result in rather minor reductions of environmental impacts.
1, Changes to healthier diets without significant meat and dairy intake reductions may only result in rather minor reductions of environmental impacts.
0, This is because the average fossil energy input for animal protein production systems is like 25 calories of fossil energy input for every one calorie produced.
0, This is because the average fossil energy input for animal protein production systems is like 25 calories of fossil energy input for every one calorie produced.
0, More than 11 times greater than that for grain protein production for example which is down around two to one.
0, More than 11 times greater than that for grain protein production for example which is down around two to one.
0, More than 11 times greater than that for grain protein production for example which is down around two to one.
1, Researchers in Italy compared seven different diets to see which one was environmentally friendliest.
1, Researchers in Italy compared seven different diets to see which one was environmentally friendliest.
0, They compared a conventional omnivorous diet adhering to dietary guidelines to an organic omnivorous diet conventional vegetarian organic vegetarian conventional vegan and organic vegan to what the average person actually eats.
0, They compared a conventional omnivorous diet adhering to dietary guidelines to an organic omnivorous diet conventional vegetarian organic vegetarian conventional vegan and organic vegan to what the average person actually eats.
0, They compared a conventional omnivorous diet adhering to dietary guidelines to an organic omnivorous diet conventional vegetarian organic vegetarian conventional vegan and organic vegan to what the average person actually eats.
2, For each dietary pattern they looked at carcinogens air pollution climate change effects on the ozone layer the ecosystem acid rain and land mineral and fossil fuel use.
2, For each dietary pattern they looked at carcinogens air pollution climate change effects on the ozone layer the ecosystem acid rain and land mineral and fossil fuel use.
2, For each dietary pattern they looked at carcinogens air pollution climate change effects on the ozone layer the ecosystem acid rain and land mineral and fossil fuel use.
1, And this is what they came up with.
1, This is how many resources it took to feed people on their current diets. 
2, And this is the negative effects the diet is having on the ecosystem and the adverse effects on human health. 
1, If they were eating a healthier diet conforming to the dietary recommendations the environmental impact would be significantly less.
0, An organic omnivorous diet would be better similar to a vegetarian diet of conventional foods beaten out by an organic vegetarian diet conventional vegan and organic vegan diet.
0, An organic omnivorous diet would be better similar to a vegetarian diet of conventional foods beaten out by an organic vegetarian diet conventional vegan and organic vegan diet.
0, An organic omnivorous diet would be better similar to a vegetarian diet of conventional foods beaten out by an organic vegetarian diet conventional vegan and organic vegan diet.
2, The Commission report described the barriers to animal product reduction are largely lack of knowledge ingrained habits and culinary cultures.
2, The Commission report described the barriers to animal product reduction are largely lack of knowledge ingrained habits and culinary cultures.
1, Proposed policy measures include meat or animal protein taxes educational campaigns and putting the greenhouse gas emissions info right on food labels.
1, Proposed policy measures include meat or animal protein taxes educational campaigns and putting the greenhouse gas emissions info right on food labels.
1, Proposed policy measures include meat or animal protein taxes educational campaigns and putting the greenhouse gas emissions info right on food labels.
2, Climate change mitigation is expensive.
1, A global transition to even just a low-meat diet as recommended for health reasons could reduce these mitigation costs.
1, A healthier low-meat diet would cut the cost of mitigating climate change from about 1% of GDP by more than half a no-meat diet could cut 2/3's of the cost.
1, A healthier low-meat diet would cut the cost of mitigating climate change from about 1% of GDP by more than half a no-meat diet could cut 2/3's of the cost.
1, And a no animal product diet could cut the cost 80%.
1, But many aren't aware of the cow in the room.
1, It seems that very few people are aware that the livestock sector is one of the largest contributors to greenhouse gas emissions.
1, It seems that very few people are aware that the livestock sector is one of the largest contributors to greenhouse gas emissions.
0, But that's changing. 
1, The UK's National Health Service is taking a leading role in reducing carbon emissions. 
1, Patients visitors and staff can look forward to healthy low carbon menus with much less meat dairy and eggs for evidence shows that as far as the climate is concerned meat is heat.
1, Patients visitors and staff can look forward to healthy low carbon menus with much less meat dairy and eggs for evidence shows that as far as the climate is concerned meat is heat.
0, The Swedish Government recently amended their dietary recommendations to encourage citizens to eat less meat.
0, The Swedish Government recently amended their dietary recommendations to encourage citizens to eat less meat.
1, Even if we seek only to achieve the conservative objective of avoiding further long-term increases in greenhouse gas emissions from livestock.
1, Even if we seek only to achieve the conservative objective of avoiding further long-term increases in greenhouse gas emissions from livestock.
1, We are still led to rather radical recommendations such as cutting current consumption levels in half in affluent countries—an unlikely outcome if there were no direct rewards to citizens for doing so.
1, We are still led to rather radical recommendations such as cutting current consumption levels in half in affluent countries—an unlikely outcome if there were no direct rewards to citizens for doing so.
1, We are still led to rather radical recommendations such as cutting current consumption levels in half in affluent countries—an unlikely outcome if there were no direct rewards to citizens for doing so.
1, Fortunately there are such rewards: important health benefits.
1, By helping the planet we can help ourselves.
