label,text
2, Deforestation and Climate Change
0, [Music]
0, [Music]
1, If you were to go invent a carbon capture machine
1, You couldn't invent a better machine than a tree in terms of mitigation of climate change.
1, David cleaves as climate change adviser for the US Forestry Service.
1, He says trees provide at least part of the solution to climate change.
1, First of all clean trees captured carbon from the atmosphere capture carbon dioxide convert it to carbon in the tree and store it there.
1, First of all clean trees captured carbon from the atmosphere capture carbon dioxide convert it to carbon in the tree and store it there.
1, For hundreds of years and even if a tree is turned into a wood product that carbon remains stored there for many many years many decades even hundreds of years more.
1, For hundreds of years and even if a tree is turned into a wood product that carbon remains stored there for many many years many decades even hundreds of years more.
1, For hundreds of years and even if a tree is turned into a wood product that carbon remains stored there for many many years many decades even hundreds of years more.
2, Cleaves admits his bias toward trees but he's not alone.
1, Five years ago the United Nations initiated a program at the Climate Change Conference for reducing emissions from deforestation and forest degradation.
1, Now called red plus one of the solutions being discussed is a pay-for-performance mechanism.
0, The forestry services Cherie Yaffe explains.
1, Where countries will be paid for their efforts to reduce greenhouse gas emissions from their forest lands.
0, And that's in the process of being negotiated.
0, And that's really focused on developing countries.
2, South America and Africa have had the highest rate of deforestation losing more than 7 million hectares of forests annually between 2000 and 2010.
2, South America and Africa have had the highest rate of deforestation losing more than 7 million hectares of forests annually between 2000 and 2010.
1, Such deforestation says John Watkins of Conservation International as ramifications well beyond its borders.
1, The Congo Basin is responsible for the rainfall that results in Lake Victoria receiving 70% of its water directly from rain onto it.
0, Lake Victoria Smith thunderous area in the world.
2, And it's one of the sources of denial now if the deforestation is extrapolated for the Congo Basin throughout DRC and the other countries.
2, And it's one of the sources of denial now if the deforestation is extrapolated for the Congo Basin throughout DRC and the other countries.
1, We will see a reduction in rainfall on to Lake Victoria which will result in a in rainfall on to the lake and the flow of the Nile out.
0, That's going to have significant ramifications for all the countries north up into towards Mediterranean.
0, That's going to have significant ramifications for all the countries north up into towards Mediterranean.
2, According to conservation international almost 60% of the world's forests are in developing countries.
1, But 13 million hectares of forest are cleared each year for agriculture ranching logging and mining.
1, Efforts like Africa's green belt movement have helped improve to four station rates with an emphasis on tree planting and sustainable farming.
1, Efforts like Africa's green belt movement have helped improve to four station rates with an emphasis on tree planting and sustainable farming.
1, Other programs like the US Forestry Service seek to put a value on trees.
1, Natsu Edwardson is the Africa program coordinator with the US Forestry Service.
1, In Central Africa for example we're working very closely in Gabon with the Gabonese government to basically help them inventory their national forests and really understand what they have.
1, In Central Africa for example we're working very closely in Gabon with the Gabonese government to basically help them inventory their national forests and really understand what they have.
1, And that is the fundamental behind allowing for those countries to enter into these carbon market schemes which are being developed.
1, And that is the fundamental behind allowing for those countries to enter into these carbon market schemes which are being developed.
1, Because you have to know what you have before you can actually go forward and sell it.
1, Edwardson says the US Forestry Service is working hard to adapt its forest management to a changing climate domestically as well as abroad.
1, Edwardson says the US Forestry Service is working hard to adapt its forest management to a changing climate domestically as well as abroad.
1, And that's what we're you know also trying to help individuals understand in Africa is you know given you know the increase in temperature in certain areas of you know the Albertine rift area of you know Rwanda Uganda etc.
1, And that's what we're you know also trying to help individuals understand in Africa is you know given you know the increase in temperature in certain areas of you know the Albertine rift area of you know Rwanda Uganda etc.
0, What what's gonna happen to agricultural production systems will maize grow at a certain you know level.
0, What what's gonna happen to agricultural production systems will maize grow at a certain you know level.
0, And if it will not grow there you know where are people going to move and how do you adapt the management of a protected area to understand those likely local movements of people.
0, And if it will not grow there you know where are people going to move and how do you adapt the management of a protected area to understand those likely local movements of people.
1, So helping policy and decision makers better understand that.
1, So while the forestation effects climate change.
1, A warmer climate or a colder climate for that matter affects the forests.
1, We know that the force themselves the ones that are here are evolving and moving basically northward and up the slopes.
2, Because the the warmer temperatures and everything goes with it chasing them.
0, Our fires have going up to what double the rate.
1, The insect and disease problems because of that the droughts induce stress and the susceptibility to insect disease damage has gone up by an order of three just in the last 15 years.
2, So we have many more acres that have been disturbed that need to be rapidly regenerated.
2, So we have many more acres that have been disturbed that need to be rapidly regenerated.
1, Because of replanting efforts the net loss of trees has slowed.
1, Asia has actually increased its forest cover by more than two million hectares annually for the past ten years.
2, Nigeria has one of the worst afforestation rates in the world.
2, But the UN Food and Agriculture Organization says it is Brazil that loses the most horse land each year more than two and a half million hectares annually.
2, 
0, Rebecca ward VOA news.
0, [Music]
