label,text
1, This Is How Denmark Protects Its Cities Against Climate Change
1, Many cities are placed in in coastal areas they are placed near water.
2, And they were not thought out to deal with a time where water levels are rising where there are more flooding and there are more heavy rainfalls.
2, So to get Danish cities ready for this new climate we asked them to do three things.
0, Number one is that in my time as Minister we actually gave these cities maps to work with digital atlases over their city.
0, Number one is that in my time as Minister we actually gave these cities maps to work with digital atlases over their city.
2, So they could actually map where would the water come if we have a heavy rainfall.
2, Where will the water go which areas are most vulnerable and which areas do we have to protect to in order to handle like real emergency.
0, Number two we asked all municipalities to have emergency plans.
0, Number two we asked all municipalities to have emergency plans.
0, So what will we do if we see a water a storm coming?
1, And actually now we have weather data so we can actually prepare for storms coming.
1, And it could be simple things like we need to run to this area and throw sandbags in order to guide the water somewhere else than to the hospital or to the most commercial areas with the highest value.
1, And it could be simple things like we need to run to this area and throw sandbags in order to guide the water somewhere else than to the hospital or to the most commercial areas with the highest value.
0, I mean where do you direct the water?
1, Where does it do the least damage have emergency plans ready.
1, Number three we ask everyone to help us handle this new scenario where we have to deal with much much more water at the same time in the systems.
1, So what we need to do is think of ways to store water in ways where it's not a problem in itself.
1, So what we need to do is think of ways to store water in ways where it's not a problem in itself.
0, So instead of spending a lot of money on just building a system and using concrete and taking away space in the city for instance.
0, So instead of spending a lot of money on just building a system and using concrete and taking away space in the city for instance.
0, You could maybe use this same money for building a skateboard ramp where you could actually store as much water as 25 swimming pools when it rains heavily.
0, You could maybe use this same money for building a skateboard ramp where you could actually store as much water as 25 swimming pools when it rains heavily.
1, So you would then create a whole area that had a multifunctional system.
1, So my advice would be to take a three step approach get your maps ready.
1, So you know where the water will hit and which areas are vulnerable to make sure that you have emergency plans.
1, And three try to think of new ways of storing water where you solve several problems at the same time.
1, It's much cheaper it's a much better way of handling this extra water instead of paying for cleaning it up afterwards.
1, It's much cheaper it's a much better way of handling this extra water instead of paying for cleaning it up afterwards.
