label,text
1, Developing tools for equality in climate change planning in Tanzania
0, [Music]
2, [Music]
0, [Music]
1, [Music]
1, [Music]
0, [Music]
1, It is challenging for the youth to take part in the decision making process.
2, There are few representatives in decision-making bodies not only at the national level but even to the local levels.
2, This makes their voice not be heard and makes them marginalised.
1, Being a pastoralist community is very good and at the same time it is very hard for the women as well as youth.
2, Because they don't have a say in any decision making space.
2, All decisions concerning the resources at home are left with the men.
1, The project is so-called 'Strengthening women and youth voices for climate action in Tanzania'.
1, But that project resulted to create an amazing toolkit so called the Pamoja Voices toolkit.
1, The toolkit is so amazing and impressive.  
1, Why? Because firstly from the grassroots level dig deep and dives into the voices of people.
1, The aim of the Pamoja Voices toolkit essentially was to support rural communities and local cooperatives become more inclusive ensuring the voices of women and youth in particular were heard and contribute equally to decision making.
1, The aim of the Pamoja Voices toolkit essentially was to support rural communities and local cooperatives become more inclusive ensuring the voices of women and youth in particular were heard and contribute equally to decision making.
1, The aim of the Pamoja Voices toolkit essentially was to support rural communities and local cooperatives become more inclusive ensuring the voices of women and youth in particular were heard and contribute equally to decision making.
1, There is a significant amount of complexity even at the most local level needed to survive climate risks.
1, There is a significant amount of complexity even at the most local level needed to survive climate risks.
1, What the tools do is lead to an action plan that a community or a local government can then actively consider and put into place that will ensure that responses to climate hazards do benefit people in a way that suits their situations and priorities.
1, What the tools do is lead to an action plan that a community or a local government can then actively consider and put into place that will ensure that responses to climate hazards do benefit people in a way that suits their situations and priorities.
1, What the tools do is lead to an action plan that a community or a local government can then actively consider and put into place that will ensure that responses to climate hazards do benefit people in a way that suits their situations and priorities.
1, We invited our grassroots partners to present the Pamoja Voices toolkit at the community-based adaptation conference.
1, It had a really good response.
1, All the cooperatives that use this toolkit have committed to implementing actions produced as a result of their action plan.
1, All the cooperatives that use this toolkit have committed to implementing actions produced as a result of their action plan.
1, After using the Pamoja Voice toolkit seaweed farming cooperatives took practical steps to become more accessible to older women and young women
1, After using the Pamoja Voice toolkit seaweed farming cooperatives took practical steps to become more accessible to older women and young women
1, Some organisations or some cooperatives have changed their leadership structure.
1, Because you can find that in some cooperatives there was not even a single young person in the leadership structures.
1, Because you can find that in some cooperatives there was not even a single young person in the leadership structures.
0, But now there are men there are women there are young men there are young women as well.
1, So this shows that the toolkit has positively impacted to these cooperatives.
1, The government of Zanzibar the Department for Cooperatives has expressed an interest in integrating this toolkit directly into their guidance for all new forming cooperatives which would be a fantastic achievement.
1, The government of Zanzibar the Department for Cooperatives has expressed an interest in integrating this toolkit directly into their guidance for all new forming cooperatives which would be a fantastic achievement.
1, The government of Zanzibar the Department for Cooperatives has expressed an interest in integrating this toolkit directly into their guidance for all new forming cooperatives which would be a fantastic achievement.
1, At the global level we've also been engaged with a number of organisations to help promote the tool and encourage its uptake.
1, At the global level we've also been engaged with a number of organisations to help promote the tool and encourage its uptake.
1, Having an opportunity to use the tool with different community members.
1, It will give us a clear picture of what the community really needs concerning women and youth empowerment.
1, The toolkit I think will somehow cure this notion behind that.
1, Only men can make the decision; it will be a community that is led by both men and women and youth.
1, They are part and parcel of making the community moving forward.
1, They are part and parcel of making the community moving forward.
1, They are part and parcel of making the community moving forward.
1, It will be a community that is led by both men and women and youth.
1, It will be a community that is led by both men and women and youth.
0, 
