label,text
2, Ecosystems at risk from Climate Change
2, Climate change isn't something that's going to happen in the future it's happening now.
2, Right now 3% of the species are in some danger.
2, Only to climate change not to all the other risk factors like habitat change.
2, As you increase the temperature we see an increase in those Extinction risks.
2, And so there's there's quite a substantial risk if we continue on our current works.
2, The Arctic is warm and faster than any other place in the world.
2, So if you want to understand the effects of climate change on ecosystems.
1, The first place we're going to see those is in the Arctic.
0, And so we go there to understand these effects we're doing this through the lens of the Arctic railing which is a fish that's related to Trout salmon.
0, And they're they're key species because they link the streams and leges together.
1, We have these implanted transmitters which allows us very fine scale differentiation of where they are across the landscape.
1, We have these implanted transmitters which allows us very fine scale differentiation of where they are across the landscape.
1, So we get this understanding of movement at lots of different scales which isn't possible for a lot of other species.
0, So we're really interested in the degree to which the these different populations are locally adapted.
0, And how those local adaptations might affect their ability to survive in the face of of climate change.
1, What I'm trying to do is I'm trying to put more biology into our predictions for how species respond to climate change.
1, What I'm trying to do is I'm trying to put more biology into our predictions for how species respond to climate change.
0, Most of our predictions today have been relatively simple statistical models.
1, The future will be to understand the genomes of this Arctic fish and how that maps on to their traits into their environment.
1, That can hopefully provide insights to what happens when more complicated systems start to respond to to changes in temperature and precipitation.
1, That can hopefully provide insights to what happens when more complicated systems start to respond to to changes in temperature and precipitation.
1, As scientists we're going to be able to show what can happen with climate change and predict those effects into the future.
1, But we also need to be able to inform policy makers about the consequences of their decisions.
1, But we also need to be able to inform policy makers about the consequences of their decisions.
2, When you alter the entire Earth's temperature there are a lot of effects.
2, We have a choice right now are we going to let the earth warm to 1° or 2° or 5° Cel.
1, And that decision has profound implications for our world and so.
1, And that decision has profound implications for our world and so.
1, We're trying to give those policy makers some input into what their decisions actually mean.
1, Scientists can provide those guidelines for understanding where are the greatest risks.
1, And I think that's where a lot of my research is moving is trying to not just observe these changes in the environment but to be able to predict them.
1, And I think that's where a lot of my research is moving is trying to not just observe these changes in the environment but to be able to predict them.
1, [Music]
