label,text
0,How Climate Change Affects the Ecosystem
1,goal 13 of the sustainable development goals climate action 
0,discussed changes in the ecosystem due to climate change 
2,climate change affects the entire planet 
2,although there are many discussions about how humans are affected we often forget that plants animals and their habitats are also victims of this phenomenon
2,changes in temperature and climate can impact plant growth stages migration patterns water quality and many other factors these plants and wildlife need to survive
2,changes in temperature and climate can impact plant growth stages migration patterns water quality and many other factors these plants and wildlife need to survive
2,changes in temperature and climate can impact plant growth stages migration patterns water quality and many other factors these plants and wildlife need to survive
2,the warm waters trigger a chain reaction of events that affects all levels of the ecosystem 
2,due to the sea level rising saltwater invading a freshwater system can cause a species to move or simply die off
2,this removes an animal from the food chain which is sometimes crucial for the existence of another species
2,this removes an animal from the food chain which is sometimes crucial for the existence of another species
2,plants also face the problem from the change in temperature
0,certain plants can only grow in specific temperatures 
2,when it gets hotter or colder these plants can no longer grow and eventually die out
2,natural disasters are also influenced by global warming and affect plants and animals
2,strong hurricanes can blow away animals and level entire ecosystems while wildfires can completely destroy them
1,there are ways to cut back on the damage that climate change is doing to the ecosystem 
2,there are plenty of manmade factors that contribute to global warming including our factories and cars
2,but since we are the cause of most of the troubles these ecosystems face
1,it's up to us to restore balance and make things right
1,not only should we look to prevent climate change from further damaging our ecosystems
1,but we need to start restoring the ones that have already been affected
1,living healthier and more energy-efficient lives is the first step in doing this
2,the creation of processed food is one of the leading causes of greenhouse gases in the world
1,by cutting meat and dairy out of your diet the levels of carbon dioxide being put into the air will begin to decrease
1,our planets ecosystems have been here longer than us
2,these plants and animals may not be able to protect themselves against the effects of climate change but we can
1,it's up to us to preserve these natural wonders and maintain the balance on earth
1,it's up to us to preserve these natural wonders and maintain the balance on earth
0, 
