label,text
0,"Human Health, Vector-Borne Diseases, and Climate Change"
0,[music]
1,our team works on the intersection of weather climate and human health 
1,I think that medical anthropology traditionally focuses on human health but from a biological or linguistic or cultural or social perspective 
1,I think that medical anthropology traditionally focuses on human health but from a biological or linguistic or cultural or social perspective 
1,and what we've done here is brought the climate and the weather component into the study of medical anthropology 
1,and what we've done here is brought the climate and the weather component into the study of medical anthropology 
1,so I think we're augmenting that field of study by the type of work we do 
1,and I can say from the perspective of a meteorologist that it's really been eye-opening to have an inter-district disciplinary collaboration like we do   
0,in particular I think as meteorologists we tend to see problems from our perspective 
0,and in terms of human health issues you rapidly realize particularly through fieldwork that there are really a lot of different drivers that can determine a given human health outcome of which weather and climate are only one 
0,and in terms of human health issues you rapidly realize particularly through fieldwork that there are really a lot of different drivers that can determine a given human health outcome of which weather and climate are only one 
2,and in terms of human health issues you rapidly realize particularly through fieldwork that there are really a lot of different drivers that can determine a given human health outcome of which weather and climate are only one 
1,our group typically addressed this maybe through what could be broadly characterized as three types of questions 
0,our group typically addressed this maybe through what could be broadly characterized as three types of questions 
1,some of the questions are trying to gain a basic understanding of how climate sensitive disease systems work
1,other questions we address are really linked at developing decision support tools that can help made stakeholders such as mosquito control personnel or Public Health decision makers and in making their decisions
1,other questions we address are really linked at developing decision support tools that can help made stakeholders such as mosquito control personnel or Public Health decision makers and in making their decisions
1,other questions we address are really linked at developing decision support tools that can help made stakeholders such as mosquito control personnel or Public Health decision makers and in making their decisions
0,and the third type of questions we address are linked with how climate change may impact human health outcomes in the future
0,and the third type of questions we address are linked with how climate change may impact human health outcomes in the future
0,we often work on dengue fever which is a mosquito-borne disease 
0,and so when we go out into the field we're really collecting data on the mosquitoes but also on the humans they bite as well as the different types of ecological settings in which we find both the humans and the mosquitoes 
0,and so when we go out into the field we're really collecting data on the mosquitoes but also on the humans they bite as well as the different types of ecological settings in which we find both the humans and the mosquitoes 
2,so we collect immature mosquitoes which is no easy task let me tell you
0,when you have a little pipette and you're going from container to container whether it's a tire or a bucket 
2,and you're trying to take out larvae and pupae 
2,it's very time consuming but we also collect adult mosquito 
1,and we like to talk to humans in the field because we're interested in what they're doing to protect themselves from mosquito-borne diseases
0,so for example do they have windows and doors that are screened
0,do they wear repellent at the times of day when the mosquitos biting 
0,do they empty the standing water in which the mosquitoes lay their eggs that type of thing
0,one of the questions we often receive is will climate change make have adverse effects on human health 
2,and I think for many of the problems that Mary and I study the answer is that climate change has the potential to exacerbate human health issues or to create more suitable conditions for disease transmission 
2,and I think for many of the problems that Mary and I study the answer is that climate change has the potential to exacerbate human health issues or to create more suitable conditions for disease transmission 
2,and I think for many of the problems that Mary and I study the answer is that climate change has the potential to exacerbate human health issues or to create more suitable conditions for disease transmission 
2,so if it's warmer it can go through more generations and you can get more mosquitoes 
0,it also affects how long the adult mosquitoes live 
