label,text
0,How are scientists helping whale-watchers adapt to climate change?
0,[music]
0,so my name is olaf meynecke and we have been working with well Bush operators in Australia on the gold coast
1,and we were hoping to get the web operators involved in process to basically determine some strategies to respond to climate change that may impact the industry
1,and we were hoping to get the web operators involved in process to basically determine some strategies to respond to climate change that may impact the industry
1,and we were hoping to get the web operators involved in process to basically determine some strategies to respond to climate change that may impact the industry
0,so one of the things that we identified is of course be more flexible
1,because at the end of the day what we are expecting was the changes as in terms of weather and changes of the migration is that there is you know a need of faster response to do such changes
1,because at the end of the day what we are expecting was the changes as in terms of weather and changes of the migration is that there is you know a need of faster response to do such changes
1,because at the end of the day what we are expecting was the changes as in terms of weather and changes of the migration is that there is you know a need of faster response to do such changes
0,so today is a good day tomorrow it's raining at windy so I can't go out
1,so I need to be flexible and I need to provide flexible solutions in terms of for instance give three trips on a sunny nice day
1,so I need to be flexible and I need to provide flexible solutions in terms of for instance give three trips on a sunny nice day
0,and when it's a bad day with bad whether we offer an alternative trip but maybe only one to see dolphins instead of whales
0,and when it's a bad day with bad whether we offer an alternative trip but maybe only one to see dolphins instead of whales
0,so in that sense trying to increase flexibility and allow the customers different different selections of the trip
0,so in that sense trying to increase flexibility and allow the customers different different selections of the trip
0,	
