label,text
0,INCAS: Monitoring for Climate Change
2,[music]
2,we have seen it all more and more extreme weather events endangered species fighting for their existence people losing their traditional way of life and our forests and peat lands disappearing
2,we have seen it all more and more extreme weather events endangered species fighting for their existence people losing their tra ditional way of life and our forests and peat lands disappearing
2,we have seen it all more and more extreme weather events endangered species fighting for their existence people losing their traditional way of life and our forests and peat lands disappearing
2,the UN estimates that since 1990 forests globally have decreased by 300 million hectares
2,the UN estimates that since 1990 forests globally have decreased by 300 million hectares
2,and this destruction has led to a major calamity 
2,the release of huge amounts of greenhouse gas emissions that contribute to climate change
2,with the third largest forested area in the world Indonesia's forests and agriculture are believed to account for the majority of its greenhouse gas emissions
2,with the third largest forested area in the world Indonesia's forests and agriculture are believed to account for the majority of its greenhouse gas emissions
2,managing economic development while preserving the environment presents a major challenge in a country where millions of people rely on the land for their livelihood
2,managing economic development while preserving the environment presents a major challenge in a country where millions of people rely on the land for their livelihood
1,despite this Indonesia has pledged to cut emissions by 29 percent below business-as-usual levels by 2030
1,despite this Indonesia has pledged to cut emissions by 29 percent below business-as-usual levels by 2030
0,and if international assistance is provided by up to 41 percent
2,However greenhouse gas emissions have traditionally been difficult to quantify especially those released from agriculture forestry and other land uses in a country as large and diverse as Indonesia
2,However greenhouse gas emissions have traditionally been difficult to quantify especially those released from agriculture forestry and other land uses in a country as large and diverse as Indonesia
2,However greenhouse gas emissions have traditionally been difficult to quantify especially those released from agriculture forestry and other land uses in a country as large and diverse as Indonesia
1,so developing new technologies to measure emissions is going to be vital in the fight against climate change
1,so developing new technologies to measure emissions is going to be vital in the fight against climate change
0,the incus is a big data platform for monitoring net greenhouse gas emissions in the land sector
0,it uses a combination of the best available satellite and ground-based forestry data taken from across the entire country 
0,it uses a combination of the best available satellite and ground-based forestry data taken from across the entire country 
0,the data is analyzed by an emissions modeling team to determine annual changes in carbon stocks in the landscape 
0,the data is analyzed by an emissions modeling team to determine annual changes in carbon stocks in the landscape 
0,from these changes greenhouse gas emissions released into the atmosphere and carbon removed from the atmosphere due to new forest growth are measured
0,from these changes greenhouse gas emissions released into the atmosphere and carbon removed from the atmosphere due to new forest growth are measured
0,the difference between the two shows the total amount of greenhouse gas emitted by the land-based sectors in Indonesia 
0,these results are then sent to emissions reporting authorities 
1,the information can then be used to meet international reporting requirements and support informed decision making on how best to reduce greenhouse gas emissions and more sustainably manage Indonesia's landscapes
1,the information can then be used to meet international reporting requirements and support informed decision making on how best to reduce greenhouse gas emissions and more sustainably manage Indonesia's landscapes
1,the information can then be used to meet international reporting requirements and support informed decision making on how best to reduce greenhouse gas emissions and more sustainably manage Indonesia's landscapes
0,managed by the Ministry of the Environment and forestry the development phase is being led by the research development and innovation agency 
0,managed by the Ministry of the Environment and forestry the development phase is being led by the research development and innovation agency 
0,the incas also uses satellite data from Indonesia's National Institute for Aeronautics and Space
1,the Center for International forestry research c4 which is based in Indonesia is supporting the development phase of the incas in partnership with the Australian government
1,the Center for International forestry research c4 which is based in Indonesia is supporting the development phase of the incas in partnership with the Australian government
0, the first national results produced by the incus in 2015 include an estimate of greenhouse gas emissions and removals from red plus activities on all of Indonesia's forests and peatlands annually
0, the first national results produced by the incus in 2015 include an estimate of greenhouse gas emissions and removals from red plus activities on all of Indonesia's forests and peatlands annually
0, the first national results produced by the incus in 2015 include an estimate of greenhouse gas emissions and removals from red plus activities on all of Indonesia's forests and peatlands annually
1,and as incus develops and grows so of a vital greenhouse gas data needed by Indonesia to implement policies that will preserve its forests and meet its goals to reduce house gas emissions
1,and as incus develops and grows so of a vital greenhouse gas data needed by Indonesia to implement policies that will preserve its forests and meet its goals to reduce house gas emissions
1,and as incus develops and grows so of a vital greenhouse gas data needed by Indonesia to implement policies that will preserve its forests and meet its goals to reduce house gas emissions
0, 
