label,text
0,Migration and Climate Change in the Global Compact for Migration
2,the urgency is behind us
2,In other words each year because of climate change there are around three times more people forced to leave their homes than people forced to leave their homes dur to conflicts
2,In other words each year because of climate change there are around three times more people forced to leave their homes than people forced to leave their homes dur to conflicts
2,In other words each year because of climate change there are around three times more people forced to leave their homes than people forced to leave their homes dur to conflicts
1,migraiton is inevitable is necessary and is even desirable if we manage it well and respect human rights including helping people to prepare for the impact of climate change on their lives
1,migraiton is inevitable is necessary and is even desirable if we manage it well and respect human rights including helping people to prepare for the impact of climate change on their lives
1,migraiton is inevitable is necessary and is even desirable if we manage it well and respect human rights including helping people to prepare for the impact of climate change on their lives
1,migraiton is inevitable is necessary and is even desirable if we manage it well and respect human rights including helping people to prepare for the impact of climate change on their lives
2,climate chage is already happening and as first consequence it forces men women and children to leave their territory temporarily but sometimes even permanently
2,climate chage is already happening and as first consequence it forces men women and children to leave their territory temporarily but sometimes even permanently
1,therefore the responsibility of the international community is to acknowledge this phenomenon that is already unfolding and to tackle it and confront it rigorously intelligently and by using all the necessary means
1,therefore the responsibility of the international community is to acknowledge this phenomenon that is already unfolding and to tackle it and confront it rigorously intelligently and by using all the necessary means
1,in the field of migration we stand before an historical opportunity 
1,in the field of migration we stand before an historical opportunity 
1,first of all to negotiate a global compact on migration first time this is ever occurred
1,but we also have the opportunity to integrate climate change concerns as a driver of forced migration into the global compact 
0,we've been working on climate change for 20 years publications and so forth but we have not reached wide enough audience and we think this is the opportunity to do it
0,we've been working on climate change for 20 years publications and so forth but we have not reached wide enough audience and we think this is the opportunity to do it
0,we've been working on climate change for 20 years publications and so forth but we have not reached wide enough audience and we think this is the opportunity to do it
1,the issue that you are addressing today is a major issue in light of which we have no other alternative but to fultil our duty of humanity
1,the issue that you are addressing today is a major issue in light of which we have no other alternative but to fultil our duty of humanity
2,the issue that you are addressing today is a major issue in light of which we have no other alternative but to fultil our duty of humanity
2,it is very clear that when they are displaced the existing vulnerabilities become exacerbated ated and that when you move people from and we know this very well in the Pacific when you move people from the coast line where they're used to being fishing people onto higher ground where they suddenly expected to be farming people that this already creates great disruption for their way of life and the way of life of the entire community
2,it is very clear that when they are displaced the existing vulnerabilities become exacerbated ated and that when you move people from and we know this very well in the Pacific when you move people from the coast line where they're used to being fishing people onto higher ground where they suddenly expected to be farming people that this already creates great disruption for their way of life and the way of life of the entire community
2,it is very clear that when they are displaced the existing vulnerabilities become exacerbated ated and that when you move people from and we know this very well in the Pacific when you move people from the coast line where they're used to being fishing people onto higher ground where they suddenly expected to be farming people that this already creates great disruption for their way of life and the way of life of the entire community
2,it is very clear that when they are displaced the existing vulnerabilities become exacerbated ated and that when you move people from and we know this very well in the Pacific when you move people from the coast line where they're used to being fishing people onto higher ground where they suddenly expected to be farming people that this already creates great disruption for their way of life and the way of life of the entire community
2,it is very clear that when they are displaced the existing vulnerabilities become exacerbated ated and that when you move people from and we know this very well in the Pacific when you move people from the coast line where they're used to being fishing people onto higher ground where they suddenly expected to be farming people that this already creates great disruption for their way of life and the way of life of the entire community
2,it is very clear that when they are displaced the existing vulnerabilities become exacerbated ated and that when you move people from and we know this very well in the Pacific when you move people from the coast line where they're used to being fishing people onto higher ground where they suddenly expected to be farming people that this already creates great disruption for their way of life and the way of life of the entire community
2,it is very clear that when they are displaced the existing vulnerabilities become exacerbated ated and that when you move people from and we know this very well in the Pacific when you move people from the coast line where they're used to being fishing people onto higher ground where they suddenly expected to be farming people that this already creates great disruption for their way of life and the way of life of the entire community
1,we would like to see a recognition of displacement as a result of climate change in the compact and we would like to see a human rights approach to any such migration
2,we would like to see a recognition of displacement as a result of climate change in the compact and we would like to see a human rights approach to any such migration
1,I think it's very important that any solution anything that results from such migration be based on human rights and dignity
1,I think it's very important that any solution anything that results from such migration be based on human rights and dignity
2,the platform on disaster displacement is working very closely together with IOM to get the issue of environmental migration and displacement in the context of adverse effects of climate change into the global compact for migration 
2,the platform on disaster displacement is working very closely together with IOM to get the issue of environmental migration and displacement in the context of adverse effects of climate change into the global compact for migration 
1,the platform on disaster displacement is working very closely together with IOM to get the issue of environmental migration and displacement in the context of adverse effects of climate change into the global compact for migration 
1,the platform on disaster displacement is working very closely together with IOM to get the issue of environmental migration and displacement in the context of adverse effects of climate change into the global compact for migration 
2,peopl who have to flee across borders are not refugees they are not protected by international law 
1,however many states have developed good practices they grant temporary protection they grant humanitarian visa and the Global Compact on migration provides a unique opportunity to bring these practices together to help States to harmonize them to make progress particularly at regional and sub-regional levels 
1,however many states have developed good practices they grant temporary protection they grant humanitarian visa and the Global Compact on migration provides a unique opportunity to bring these practices together to help States to harmonize them to make progress particularly at regional and sub-regional levels 
1,however many states have developed good practices they grant temporary protection they grant humanitarian visa and the Global Compact on migration provides a unique opportunity to bring these practices together to help States to harmonize them to make progress particularly at regional and sub-regional levels 
1,however many states have developed good practices they grant temporary protection they grant humanitarian visa and the Global Compact on migration provides a unique opportunity to bring these practices together to help States to harmonize them to make progress particularly at regional and sub-regional levels 
1,it is important for for the civil society to be involved included in all the process together with local people migrants and potential migrants 
1,it is important for for the civil society to be involved included in all the process together with local people migrants and potential migrants 
1,it is important for for the civil society to be involved included in all the process together with local people migrants and potential migrants 
1,it is our role and it is our responsibility to make sure that people can share the feeling of urgency
1,it is our role and it is our responsibility to make sure that people can share the feeling of urgency
1,the majority of the movements are happening either at the national level or at the regional level so the most important thing I would say is to build the resilience of national governments and national communities but also at the regional level build the resilience of regions 
1,the majority of the movements are happening either at the national level or at the regional level so the most important thing I would say is to build the resilience of national governments and national communities but also at the regional level build the resilience of regions 
1,the majority of the movements are happening either at the national level or at the regional level so the most important thing I would say is to build the resilience of national governments and national communities but also at the regional level build the resilience of regions 
1,the majority of the movements are happening either at the national level or at the regional level so the most important thing I would say is to build the resilience of national governments and national communities but also at the regional level build the resilience of regions 
1,cooperation between regions is going to be part of the response
1,we cannot continue looking at the consequences we have to attack the causes and certainly building the resilience of the climate change level is extremely important 
1,we cannot continue looking at the consequences we have to attack the causes and certainly building the resilience of the climate change level is extremely important 
1,we cannot continue looking at the consequences we have to attack the causes and certainly building the resilience of the climate change level is extremely important 
1,that is why we have been supporting very much and trying to bring to the attention of the international community the issue of human mobility related to climate
1,that is why we have been supporting very much and trying to bring to the attention of the international community the issue of human mobility related to climate
1,so addressing climate change is one of the ways of addressing certainly the mobility that comes from it 
1,we don't have time to lose we need to act now
0, 
0, 
