zuo,label,text
0,0,Science Action: What's the unique role of methane in climate change?
0,2, 
0,0,what do the Siberian tundra a Hill in the deep ocean and cow farts have in common?
0,0,what do the Siberian tundra a Hill in the deep ocean and cow farts have in common?
2,1,well you might not be an expert on all of these things but you're probably aware of climate change
2,2,when someone says global warming you might think of images like these 
2,2,factories and vehicles that emit pollution and carbon dioxide but actually that's not the whole picture
2,2,what about cows livestock emissions may even contribute more to climate change than car emissions 
2,2,they're powerful because they are not composed of carbon dioxide but of a different greenhouse gas methane 
2,2,they're powerful because they are not composed of carbon dioxide but of a different greenhouse gas methane 
0,0,so how do these greenhouse gases work?
0,1,well when sunlight hits the earth part of it is absorbed and re-emitted as invisible infrared light into space 
1,2,greenhouse gases like co2 molecules in the Earth's atmosphere absorbs some of the energy and then re-emitted keeping the earth at a comfortable temperature for life as we know it
1,2,greenhouse gases like co2 molecules in the Earth's atmosphere absorbs some of the energy and then re-emitted keeping the earth at a comfortable temperature for life as we know it
0,2,with more co2 in the atmosphere more energy is absorbed and held back on earth
0,2,however co2 can only absorb some frequencies of energy and so each new co2 molecule has less of an additional effect
0,2,however co2 can only absorb some frequencies of energy and so each new co2 molecule has less of an additional effect
1,1,there's just so much energy of that range that's already been captured 
0,0,on the other hand methane absorbs different frequencies than co2 
0,1,adding just a little bit of methane to the atmosphere suddenly has a great effect because it can catch some range of energy that was missed by the thick layers of co2 already in the atmosphere
0,1,adding just a little bit of methane to the atmosphere suddenly has a great effect because it can catch some range of energy that was missed by the thick layers of co2 already in the atmosphere 
0,0,so where does all this methane come from?
2,2,under high pressures in cold temperatures water molecules trap these methane molecules and create a sort of chemical cage around them call the clathrate
2,2,under high pressures in cold temperatures water molecules trap these methane molecules and create a sort of chemical cage around them call the clathrate
0,2,as temperatures rise these clathrate cages become unstable and break into water and methane gas 
0,2,these clathrates are found in the deep ocean where there is high water pressure 
0,2,however as climate changes these solid methane deposits expand into gash forming bulges in the ocean ground 
0,2,these hills grow and burst releasing methane bubbles through the ocean and into the atmosphere 
0,2,just one cubric meter of clathrates can release 164 cubic meters of free gas
0,2,now that's a lot of methane
0,2,furthermore large deposits of frozen organic material are located under the Siberian tundra 
0,2,this organic material contains methane who like a clathrate
2,2,with rising temperatures the permafrost will melt releasing methane gas along with carbon dioxide into the atmosphere
2,2,but why worry about methane 
0,2,what about forest loss rising ocean levels energy needs and what about the apocalypse 
0,0,well hopefully that's not anytime soon 
2,2,but as you might have figured out by now these problems all are interrelated
2,2,carbon dioxide emissions increase warming which melts ice and releases methane into the air while causing oceans to rise 
2,2,that methane causes more warming which melts more ice and releases even more methane
0,2,it's a cycle and it's not even that simple 
0,2,methane acts on every scale from the atomic to the geological 
0,2,and what's more the full extent of its effects are still not entirely understood
1,2,but both carbon dioxide and methane are big problems and methane might be the easier one to solve 
1,1,so this is where we need you scientists and engineers are hard at work on ideas such as generating clean energy from excess methane in factories and land fields oceans and farms
1,1,so this is where we need you scientists and engineers are hard at work on ideas such as generating clean energy from excess methane in factories and land fields oceans and farms
1,1,we need many more bright minds working on solving this problem 
1,1,we need writers activists and members of our earth community to raise awareness of these concerns 
0,0,will you take action?
0,0, 
2,2, 
0,0, 
0,0, 
0,0, 
