label,text
1,Preserve the Wonder - Climate change action
0,well I've been in love with the reef for probably most of my life 
0,I first saw the reef in 1969 as a 10 year old 
0,while the men were walking on the moon I was glued to the reef
1,it's got habitat that supports thousands upon thousands of species
1,all of which work together to make this a wonderful place 
2,the Great Barrier Reef is still great but it's facing some challenges that we need to deal with
2,we've got climate change now that's that's really the number one threat 
1,some of the work we've done on Heron Island has really started to look at recreating the future and exploring what ecosystems will look like if you change the co2 and change the temperature 
1,some of the work we've done on Heron Island has really started to look at recreating the future and exploring what ecosystems will look like if you change the co2 and change the temperature 
0,we've grown these little miniature replicas of the reefs 
2,you take water from the reef crest it flows through a special chamber which adds co2 and temperature 
0,and you can then replicate what happens in a world in which we don't deal with co2
0,and what you see is really interesting 
0,reef one you have much of what you got today
2,but if you don't take action on climate change you get to reef two 
2,and that's where the corals are disappeared all the invertebrates all these little creatures that live around those reefs are disappeared and the reef is collapsed
2,and that's where the corals are disappeared all the invertebrates all these little creatures that live around those reefs are disappeared and the reef is collapsed
0,reef number three is the most interesting 
1,if you do something you can get to a condition where actually you do preserve a lot of coral 
1,the experiments do have a message of hope we take action on climate change we'll still have a reef that functions like a reef 
2,and that that's really important because once this is gone and it will be if we don't deal with the emissions of co2 then we will have lost something that can never be brought back
2,and that that's really important because once this is gone and it will be if we don't deal with the emissions of co2 then we will have lost something that can never be brought back
0,the solutions here involve the entire community 
1,we can solve the challenge of climate change and we can preserve a large part of the reef but we've got to start today
1,we can solve the challenge of climate change and we can preserve a large part of the reef but we've got to start today
