label,text
1,Removing atmospheric greenhouse gases to prevent dangerous climate change
2,when we talk about stopping human-induced climate change we talk about the need to stop burning fossil fuels and we absolutely have to do that 
1,but that's not enough anymore so we also need to be looking at the new technologies that we can use to start to pull those greenhouse gases back out of the atmosphere as well 
1,but that's not enough anymore so we also need to be looking at the new technologies that we can use to start to pull those greenhouse gases back out of the atmosphere as well 
1,there's a whole range of technologies which can be used to remove greenhouse gases from the atmosphere 
0,these range from the nano scale to the very large scale land-use change options and everything in between 
0,those are things which are relatively well documented as possibilities 
0,and there's about two dozen of those 
0,but what I'm really interested in is where ANU can add to that list by bringing together our expertise across discipline so that we can actually start to have additional things to that list which other people haven't thought of before 
0,but what I'm really interested in is where ANU can add to that list by bringing together our expertise across discipline so that we can actually start to have additional things to that list which other people haven't thought of before 
0,and in particular the work across this from the very start from a technological perspective through to the governance perspectives and right through to implementation
0,and in particular the work across this from the very start from a technological perspective through to the governance perspectives and right through to implementation
1,so we can actually have solutions in relation to removing greenhouse gases
2,so this issue doesn't exist in isolation 
2,when we're dealing with large-scale issues about emission removal we're dealing with billions of tons of carbon dioxide 
0,it has to be massive scaled and that means it's going to impact on other issues impact on land use impact on water impact on innovation 
1,so we really need to take a very comprehensive we need to go to the approach  
1,and I think that's one of the strengths of amu where we can actually bring together a seriously interdisciplinary approach 
0,for me the grand challenge associated with this whole enterprise is coming up with governance solutions that overcome political and social apathy towards the problem
0,for me the grand challenge associated with this whole enterprise is coming up with governance solutions that overcome political and social apathy towards the problem
0,for me the grand challenge associated with this whole enterprise is coming up with governance solutions that overcome political and social apathy towards the problem
2,and as we all know in this case the magnitude of the problem is almost inconceivable
0,but we're going to continue to struggle with the fact that society and politicians aren't overly invested in this problem 
1,so we've got to come up with some sort of governance solution which overcomes the empathy and ensures that we have the incentives that we need to support these technologies and deal with the trade-off
1,so we've got to come up with some sort of governance solution which overcomes the empathy and ensures that we have the incentives that we need to support these technologies and deal with the trade-off
1,so we've got to come up with some sort of governance solution which overcomes the empathy and ensures that we have the incentives that we need to support these technologies and deal with the trade-off
1,particular interests in this research contact us get in touch with the climate change Institute so that we can actually put people together so we can form some teams to work on this issue 
1,particular interests in this research contact us get in touch with the climate change Institute so that we can actually put people together so we can form some teams to work on this issue 
1,I'm particularly interested in cross-disciplinary approaches where we can bring people together so that we can provide integrated solutions 
1,I'm particularly interested in cross-disciplinary approaches where we can bring people together so that we can provide integrated solutions 
2,this is a human problem we talk about climate change and we know that humans have caused it 
1,we also need humans to be part of the solution and I'm optimistic that we can do that and we have to do that for our future generation 
1,ANU is in a unique position to contribute to public policy formulation and influence public debate on the key issues that face our nation and indeed the world 
1,ANU is in a unique position to contribute to public policy formulation and influence public debate on the key issues that face our nation and indeed the world 
1,drawing on our tremendous research strengths I am confident that the interdisciplinary research of the climate change institute will provide clarity and a way forward on this global challenge
1,drawing on our tremendous research strengths I am confident that the interdisciplinary research of the climate change institute will provide clarity and a way forward on this global challenge
1,drawing on our tremendous research strengths I am confident that the interdisciplinary research of the climate change institute will provide clarity and a way forward on this global challenge
