label,text
1,Reframing climate change science to include indigenous and local knowledge - Dr Tero Mustonen
0,[music]
0,[music]
0,very often the scientists will say you need to publish a peer-reviewed paper in order for us to be able to use that within the IPCC system 
0,very often the scientists will say you need to publish a peer-reviewed paper in order for us to be able to use that within the IPCC system 
0,very often the scientists will say you need to publish a peer-reviewed paper in order for us to be able to use that within the IPCC system 
0,and that's an ongoing a bit of a colonial structure in the sense that the knowledge systems
0,which very often manifest as oral histories or I heard I learned a new word today optic histories of indigenous peoples referring to visual way of looking at things
0,which very often manifest as oral histories or I heard I learned a new word today optic histories of indigenous peoples referring to visual way of looking at things
0,which very often manifest as oral histories or I heard I learned a new word today optic histories of indigenous peoples referring to visual way of looking at things
2,don't get their share in the way we try to understand about climate change 
1,and that's why that's the urgency that we still have rooted indigenous communities on the land with subsistence practices that would have a lot to contribute
1,and that's why that's the urgency that we still have rooted indigenous communities on the land with subsistence practices that would have a lot to contribute
2,but they don't get their voices directly heard
0,that's a very big issue and obviously then within the larger premise of IPCC and the UN FCC you have the question of how Aboriginal rights are being recognized within that system 
0,that's a very big issue and obviously then within the larger premise of IPCC and the UN FCC you have the question of how Aboriginal rights are being recognized within that system 
0,that's a very big issue and obviously then within the larger premise of IPCC and the UN FCC you have the question of how Aboriginal rights are being recognized within that system 
1,the very starting point of what we would need is the knowledge of indigenous peoples of what weather is and what what they call climate or air is and how to have good relations with that
1,the very starting point of what we would need is the knowledge of indigenous peoples of what weather is and what what they call climate or air is and how to have good relations with that
0,and that's missing from all of these debates
1,and that in itself would be the starting point to have a respectful and proper way of communicating what Aboriginal peoples around the world know about the weather
1,and that in itself would be the starting point to have a respectful and proper way of communicating what Aboriginal peoples around the world know about the weather
1,and that in itself would be the starting point to have a respectful and proper way of communicating what Aboriginal peoples around the world know about the weather
0,and its various ways of manifestation and how to be with the weather
0,because if we get those messages inside the IPCC we will start to get also the moral and the ethic views which are inherent in many of the rural histories and cosmologies of different Aboriginal peoples
0,because if we get those messages inside the IPCC we will start to get also the moral and the ethic views which are inherent in many of the rural histories and cosmologies of different Aboriginal peoples
0,because if we get those messages inside the IPCC we will start to get also the moral and the ethic views which are inherent in many of the rural histories and cosmologies of different Aboriginal peoples
0,now how to do that is a vast question and it depends on the way we could start to incorporate these things into the IPCC process
0,now how to do that is a vast question and it depends on the way we could start to incorporate these things into the IPCC process
0,but I think a start would be a respectful and well guided dialogue where you would have perhaps a selection of elders from a vast range of Aboriginal nations around the world having the kind of things that they want to submit to the ipcc being recognized
0,but I think a start would be a respectful and well guided dialogue where you would have perhaps a selection of elders from a vast range of Aboriginal nations around the world having the kind of things that they want to submit to the ipcc being recognized
0,but I think a start would be a respectful and well guided dialogue where you would have perhaps a selection of elders from a vast range of Aboriginal nations around the world having the kind of things that they want to submit to the ipcc being recognized
0,but I think a start would be a respectful and well guided dialogue where you would have perhaps a selection of elders from a vast range of Aboriginal nations around the world having the kind of things that they want to submit to the ipcc being recognized 
0,and obviously we have a lot of organizations that could facilitate that process 
0,so I don't think the problem would be to get the messages 
1,the problem is currently that we just need to reframe the way we understand climate change and science in a way that would include and welcome the Aboriginal peoples views and and cosmologies
1,the problem is currently that we just need to reframe the way we understand climate change and science in a way that would include and welcome the Aboriginal peoples views and and cosmologies
1,the problem is currently that we just need to reframe the way we understand climate change and science in a way that would include and welcome the Aboriginal peoples views and and cosmologies
0, 
