label,text
0,Richard H Thaler on climate change
0,[Music]
0,so also it takes me to my other policy area though because it's also the debate i think on climate which is to what extent can you nudge large-scale corporations and governments and individuals to behave differently to make a meaningful impact on climate change 
0,so also it takes me to my other policy area though because it's also the debate i think on climate which is to what extent can you nudge large-scale corporations and governments and individuals to behave differently to make a meaningful impact on climate change 
0,so also it takes me to my other policy area though because it's also the debate i think on climate which is to what extent can you nudge large-scale corporations and governments and individuals to behave differently to make a meaningful impact on climate change 
0,or is it more like your sort of final third in the vaccination story where you think we need to move more swiftly or more effectively to a particular kind of mandate or compulsion 
0,or is it more like your sort of final third in the vaccination story where you think we need to move more swiftly or more effectively to a particular kind of mandate or compulsion 
0,so what's the balance between nudging and compelling when it comes to meaningful action on climate change
0,so what's the balance between nudging and compelling when it comes to meaningful action on climate change
0,so i think there are two points and one of the
0,we had many motivations for rewriting i mean what was a pretty successful book i mean
0,we had many motivations for rewriting i mean what was a pretty successful book i mean
0,our publisher thinks that we're nuts 
0,they cannot think of any example where any author or authors were stupid enough to have done this
0,they cannot think of any example where any author or authors were stupid enough to have done this
0,so but you know we understand about opportunity costs 
2,and there wasn't that much to do back in april 2020
2,so but climate change was one of the motivations because a point we wanted to make in this book is nudge can help any problem but it's not the solution to every problem
2,so but climate change was one of the motivations because a point we wanted to make in this book is nudge can help any problem but it's not the solution to every problem
2,so but climate change was one of the motivations because a point we wanted to make in this book is nudge can help any problem but it's not the solution to every problem
2,and maybe not the solution to any problem 
1,so we believe that the first step for climate change has to be to get the prices right
1,so we believe that the first step for climate change has to be to get the prices right
0,so on that we agree with every economist
0,people think that economists don't agree about anything
0,this is one thing university of chicago does a poll every couple weeks of about 50 economists of various persuasions
0,this is one thing university of chicago does a poll every couple weeks of about 50 economists of various persuasions
1,and 100 percent say we should either have a carbon tax or cap and trade
0,and notice this maintains choice
0,it's not like you can opt out of the tax 
2,but you can decide all right it's gonna now cost me three times more to drive my car or to heat and cool my home
2,but you can decide all right it's gonna now cost me three times more to drive my car or to heat and cool my home
0,how am i going to react to that same with firms
1,and the key to climate change i think is largely going to be at the organizational level 
1,individuals matter
0,but how we generate power whether we build roads versus transit what kind of cars we build how we build them these are all firm level decisions 
0,but how we generate power whether we build roads versus transit what kind of cars we build how we build them these are all firm level decisions 
0,but how we generate power whether we build roads versus transit what kind of cars we build how we build them these are all firm level decisions 
2,firms maximize profits first we can get them to think about other things
1,but if you set the prices right then they're going to react 
0,and elon musk will have a lot of competition if the price of gasoline goes up by a factor of three 
0,and elon musk will have a lot of competition if the price of gasoline goes up by a factor of three 
1,so now there is still room for nudging 
1,you can make it easier
0,my mantra you know on homeowners with smart thermostats 
0,but they have to be smart so many so-called smart thermostats have the same iq as the old vhs video recorder which most professors i know couldn't master 
0,but they have to be smart so many so-called smart thermostats have the same iq as the old vhs video recorder which most professors i know couldn't master 
0,but they have to be smart so many so-called smart thermostats have the same iq as the old vhs video recorder which most professors i know couldn't master 
0,but they have to be smart so many so-called smart thermostats have the same iq as the old vhs video recorder which most professors i know couldn't master 
0,so the smart thermostats we've had uh are baffling to me
1,"but really smart thermostats that know when you come and go, and know your habits and know the price"
1,"but really smart thermostats that know when you come and go, and know your habits and know the price"
1,so if we have time fluctuating utilities and they adjust
1,we can make life a lot simpler
0,when i'm out in california if there's a fire risk we get a text message 
2,and and by the way we may turn your power off 
0,so as one of my friends tweeted she was preparing for that by eating all the ice cream
0,so as one of my friends tweeted she was preparing for that by eating all the ice cream
0,uh that's that's one way 
1,so i think we need to get the prices right but then we can use all the behavioral science
0,now one objection sometimes people make is that these are small 
0,now one objection sometimes people make is that these are small 
2,so telling people how much energy they use compared to their neighbors reduce usage by two three percent which is not huge that's not going to solve the problem 
2,so telling people how much energy they use compared to their neighbors reduce usage by two three percent which is not huge that's not going to solve the problem 
2,so telling people how much energy they use compared to their neighbors reduce usage by two three percent which is not huge that's not going to solve the problem 
1,but every bit helps president obama used to like to say better is good
1,so reducing energy by two or three percent that's better that's good
1,so let's take every little bit that we can through automatization and other means like firms
1,so let's take every little bit that we can through automatization and other means like firms
1,we advocate making public emissions by every firm 
1,that in some other environmental issues has proven to be quite successful and
1,that in some other environmental issues has proven to be quite successful and
0,firms will they don't like being shamed 
1,and i think there's a lot we can do 
0,but uh i sound like a university of chicago economist sometimes when i talk about this because we got to get the price right
0,but uh i sound like a university of chicago economist sometimes when i talk about this because we got to get the price right
0,[Music]
