label,text
1,Rare plant - Snakeshead Fritillary - defies climate change
0,[music]
2,97% of Britain's meadows have been lost in the last 100 years 
1,I work at the open University with a floodplain meadows partnership to help encourage their restoration 
0,I coordinate the annual volunteer counting of plants 
2,these are the findings for the very rare snake’s head fritillary if you can see last year's count fell dramatically to almost zero 
0,we've been counting at North Meadow in Wilshire one of Britain's best protected floodplanes
2,but it was flooded for an unprecedented 10 months from May 2012 to April 2013
1,and the effect on the snake’s head fritillary population was staggering 
2,"in 2012 we recorded 1,800 individual plants in 2013 we recorded only 5"
0,so I'm off to North Meadow to find out what the population looks like this year 
0,we don't know whether dorcy is possible or whether the fritillary will have disappeared
0,floodplanes are part of our natural habitat
0,and species-rich floodplane Meadows were once common across most of the UK's lowland river systems
1,traditionally a rich source of hay and offering excellent grazing land 
1,they are today home to an abundance of beautiful and rare plants 
0,but how are these plants coping with some of the biggest floods Britain has seen for many decades 
1,so what we're doing counting these fritillary is really valuable in terms of understanding their ecology understanding how they function in a changing climate
1,so what we're doing counting these fritillary is really valuable in terms of understanding their ecology understanding how they function in a changing climate
1,this count is very scientific because we measure exactly the same points using highly accurate GPS technology every year 
1,this count is very scientific because we measure exactly the same points using highly accurate GPS technology every year 
1,13 cm and it's good news early indications are that the snake’s head fritillary have returned here
1,this shows just how resilient nature can be and builds our understanding of this special plant's physiology 
1,improved understanding means we can provide better advice on how to manage these sites in increasingly uncertain climatic conditions 
1,improved understanding means we can provide better advice on how to manage these sites in increasingly uncertain climatic conditions 
1,today's results are really good news for the whole ecosystem here
0,the main pollinator of the snake’s head fritillary is the queen bumblebee 
0,we are starting to look at the relationship between fritillary and bumblebees and are carrying out volunteer surveys here 
1,so our research will continue to investigate how to protect these special places
0, 
