label,text
0,Scientists drill deep in Antarctic ice for clues to climate change
0,One of the things I love about working on ice is it's actually just visually very beautiful.
0,The antarctic is a beautiful and exceptional place to work. 
1,Much of what I do is to try to understand changes in climate over the last hundreds to thousands to even hundreds of thousands of years.
1,Much of what I do is to try to understand changes in climate over the last hundreds to thousands to even hundreds of thousands of years.
1,Much of what I do is to try to understand changes in climate over the last hundreds to thousands to even hundreds of thousands of years.
0,An ice core is a continuous section of ice drilled into a glacier or an ice sheet.  
0,We're sending this instrument down which is just a cutting tool and the thing goes down a meter at a time.
0,You bring it up and now you have these long tubes of ice.  
0,Drilling an ice core is kind of like a time machine. 
0,You can go back and find out what was the atmosphere like 50000 years ago.
2,It's snow that has fallen and then it's compressed trapping the atmosphere.
0,You can count the layers in ice cores like you can count tree rings
0,and that means that you can actually determine when certain events in climate happened within a few years.
2,A major thing we've learned from ice cores is that CO2 is higher now than it's been for nearly a million years.
2,A major thing we've learned from ice cores is that CO2 is higher now than it's been for nearly a million years.
0,Eric is my PhD advisor.
0,"So there were seven of us who went down to Hercules Dome in Antarctica this past winter, driving radar around looking for a place to drill an ice core."
0,There's a lot of teamwork and camaraderie and excitement about each successful piece of ice that you bring up because it's a huge amount of engineering and just work to get to that.
0,There's a lot of teamwork and camaraderie and excitement about each successful piece of ice that you bring up because it's a huge amount of engineering and just work to get to that.
0,There's a lot of teamwork and camaraderie and excitement about each successful piece of ice that you bring up because it's a huge amount of engineering and just work to get to that.
0,I think good group dynamics is also very important because as you can infer it's very harsh conditions to live in.
0,Since we put so much time and so much money just to get there there's a lot of pressure to make sure that it is successful and that we have data to show for it.
0,Since we put so much time and so much money just to get there there's a lot of pressure to make sure that it is successful and that we have data to show for it.
0,We have really practical questions to ask- how quickly is the antarctic ice sheet going to add water to the sea level and raise the sea level?
0,We have really practical questions to ask- how quickly is the antarctic ice sheet going to add water to the sea level and raise the sea level?
1,It's exciting to be involved in research that has direct practical relevance that will actually change how we act and what we do.
1,It's exciting to be involved in research that has direct practical relevance that will actually change how we act and what we do.
1,I think it's exciting to be a part of such a large question that hasn't been answered yet that could affect so many people's lives.
1,I think it's exciting to be a part of such a large question that hasn't been answered yet that could affect so many people's lives.
0, 
0, 
