label,text
1,Stanford Students Tackle Climate Change
0,right behind me there are 26 teams of students 
1,what they're doing is working together to create recommendations for what a strategy for addressing global energy issues might be over the next century 
1,our goal is to prevent a temperature rise of more than two degrees over 100 years
0,so each of the teams is sitting with a simulator calls Enrooms
1,and what it allows you to do is really really fast see with the long-term implications of various strategies 
1,they're working at laptops plugging in different parameters different variables to see which would be the approach that would be the best in the long term
1,they're working at laptops plugging in different parameters different variables to see which would be the approach that would be the best in the long term
1,that cheaper cost also includes you know building an entire new power plant 
0,what if we have a breakthrough of renewable energy what if we have energy efficiency whatever you have a carbon price 
2,so there's some things that we thought might have a huge impact on the energy mix or you know ultimately emissions carbon emissions that are really not having much of an impact at all
2,so there's some things that we thought might have a huge impact on the energy mix or you know ultimately emissions carbon emissions that are really not having much of an impact at all
2,you know just dramatically increasing solar usage doesn't solve the problem dramatically decreasing cold doesn't solve the problem
0,and I say over the next 20 years which will cover the lifetime of all the coal burning power plant yep
0,its decline to this but yeah I like that
0,and each of the groups is going to deucing a set of recommendations that they'll then present to their peers and then to a set of Stanford faculty to see which is the best approach
0,and each of the groups is going to deucing a set of recommendations that they'll then present to their peers and then to a set of Stanford faculty to see which is the best approach
0,we really liked all of them and so I I will say that the winner is how do you like these curves
0,we really liked all of them and so I I will say that the winner is how do you like these curves
1,i feel great it was very unexpected I mean we put a lot of thought into this but we're very excited 
2,I was surprised by how difficult it was to lower the temperature 
2,so I think it was kind of a wake-up call that you know we have to start working on this because the longer we wait the more unrealistic solutions will have to be so they can add in a sense of urgency
2,so I think it was kind of a wake-up call that you know we have to start working on this because the longer we wait the more unrealistic solutions will have to be so they can add in a sense of urgency
2,so I think it was kind of a wake-up call that you know we have to start working on this because the longer we wait the more unrealistic solutions will have to be so they can add in a sense of urgency
