label,text
0,The connections between climate change and mental health
0,A lot of things are changing because of what's happening with our environment 
0,and all that plays a factor in how people's mental wellness is in the day to day and over time
2,and I think it's something we're not really measuring well yet when we talk about what is happening in terms of health impacts of climate change.
1,Here in Cowichan this river I'm standing next to here The Cowichan Stó:lō the Cowichan River you know it touches the lives of everyone who lives in this valley 
1,Here in Cowichan this river I'm standing next to here The Cowichan Stó:lō the Cowichan River you know it touches the lives of everyone who lives in this valley 
0,and in the summer especially this past summer we had for the first time ever 
2,the river get to such a low level that we were pumping water out of Cowichan Lake to the river to keep it flowing so that it was a feasible environment for salmon to survive
2,the river get to such a low level that we were pumping water out of Cowichan Lake to the river to keep it flowing so that it was a feasible environment for salmon to survive
2,the river get to such a low level that we were pumping water out of Cowichan Lake to the river to keep it flowing so that it was a feasible environment for salmon to survive
0,and that affects so much economically spiritually recreationally for so many people in this valley
2,and so it's definitely showing some mental health effects.
1,"While we're having conversations about what we need in terms of new hospital beds or certain mental health, programs we really need to think about how we can also have programs and supported ways for people to get out into the environment to get that connection to the land to the water."
1,"While we're having conversations about what we need in terms of new hospital beds or certain mental health, programs we really need to think about how we can also have programs and supported ways for people to get out into the environment to get that connection to the land to the water."
1,"While we're having conversations about what we need in terms of new hospital beds or certain mental health, programs we really need to think about how we can also have programs and supported ways for people to get out into the environment to get that connection to the land to the water."
1,"While we're having conversations about what we need in terms of new hospital beds or certain mental health, programs we really need to think about how we can also have programs and supported ways for people to get out into the environment to get that connection to the land to the water."
0,What I know from being a public health physician is that the lab work I work with is our population level data
2,and to really look at some of these impacts of climate change that we're seeing now which I think is mainly some of the mental health impacts  
2,and to really look at some of these impacts of climate change that we're seeing now which I think is mainly some of the mental health impacts  
1,we need to start measuring them asking about them and finding ways that we can help support them
0, 
0,  
