label,text
1,Transforming our Economy to Combat Climate Change
0,our economy exists to serve our society 
2,but today it drives climate change and biodiversity loss that threaten humanity's future
1,we need to refocus our economy to serve and planet rather than pursue endless growth
2,this means dramatically reducing demand for energy and resources
0,especially in transport and construction 
2,right now around one-third of total global emissions come from goods and services traded internationally 
2,yet so far international trade lies outside the paris agreement governments are still asking the wrong questions
1,the tools knowledge and technologies for a thriving zero carbon society are more available than ever 
2,but large investments made in transport infrastructure now are locking in future emissions that increase energy demand 
2,but large investments made in transport infrastructure now are locking in future emissions that increase energy demand 
2,this makes it harder for renewable energy to displace fossil fuels 
0,we need a climate emergency economy to address these environmental and social challenges 
1,we can achieve this by investing in people jobs homes health education and quality of life not new infrastructure and goods
1,this will ensure our transition to a well-being economy
1,how do we get there international efforts must be strengthened
1,climate targets should include shipping and aviation and enforcement must be central to global climate agreements 
1,countries must take responsibility for the carbon emissions embodied in the goods they consume
1,fairness is key all countries must take part in the global effort especially those who have already used more than their fair share of the total carbon budget
1,fairness is key all countries must take part in the global effort especially those who have already used more than their fair share of the total carbon budget
1,what can you do first inform yourself about the root causes of challenges like climate change
1,learn more about the enablers and blockers of a carbon-free future 
0,secondly follow the money keep an eye on the investments that determine how society changes
1,third pay attention to trade make your voice heard on matters that shape our global economies by joining protests and political movements 
1,third pay attention to trade make your voice heard on matters that shape our global economies by joining protests and political movements 
1,and lastly endorse the fossil fuel non-proliferation treaty a global initiative to phase out fossil fuels and support a just transition 
1,and lastly endorse the fossil fuel non-proliferation treaty a global initiative to phase out fossil fuels and support a just transition 
1,together we can build an economy that works for people and the planet
