label,text
0,Things in Your Home that are Linked to Climate Change
1,goal 13 of the sustainable development goals climate action 
0,things in your home that are linked to climate change 
0,meet the Johnson family like many other families in the world they are linked to climate change
0,this is because typical household items and activities directly influence climate change
2,throwing away junk mail creates more greenhouse gases than New York City produces
2,plastic bags produce carbon dioxide from the oil burn to make them and must end up in landfills
2,plastic bags produce carbon dioxide from the oil burn to make them and must end up in landfills
2,crops being used to make coffee and chocolate are affected by climate change due to the rising temperatures in the areas they grow
2,one in six animal species around the world can become extinct over the next century due to the effects of climate change
2,one in six animal species around the world can become extinct over the next century due to the effects of climate change
1,just like the Johnson family most of our homes and activities are contributing to climate change
1,just like the Johnson family most of our homes and activities are contributing to climate change
1,people are making household changes to help reduce climate change 
1,reducing the number of plastic bags used at home is just one way to limit negative effects of climate change
1,the crops creating coffee and chocolate can be changed by adding vegetation around the areas they grow
1,scientists are supercharging some plants by reengineering enzymes to produce organisms that help turn carbon dioxide into energy more efficiently rather than getting all of their carbon dioxide from the air
1,scientists are supercharging some plants by reengineering enzymes to produce organisms that help turn carbon dioxide into energy more efficiently rather than getting all of their carbon dioxide from the air
1,scientists are supercharging some plants by reengineering enzymes to produce organisms that help turn carbon dioxide into energy more efficiently rather than getting all of their carbon dioxide from the air
0,certain fungi can attach to crops and pull an extra nutrients from the soil
1,remember to keep your home in mind when it comes to reducing climate change
0,[music]
