label,text
1,The technology fighting climate change
1,Australia has said it aims to cut its carbon emissions to net zero by 2050.
1,"And it joins other countries around the world in promising to make the nation carbon-neutral by then."
0,The real issue is how. And our answer is technology.
1,Technology will have the answers to a decarbonised economy.
0,But what kind of technology? I don’t think there is one silver bullet.
1,Professor Thomas Maschmeyer was awarded the Prime Minister’s Prize for Science in 2020 for his work on renewable energy and plastic-waste recycling.
1,Professor Thomas Maschmeyer was awarded the Prime Minister’s Prize for Science in 2020 for his work on renewable energy and plastic-waste recycling.
1,"He says while there’s been plenty of talk about things such as carbon capture, the biggest game-changer has been the rapidly falling price of solar energy."
1,"He says while there’s been plenty of talk about things such as carbon capture, the biggest game-changer has been the rapidly falling price of solar energy."
1,What other thing has decreased in price by 95 per cent over a period of 10 years?
1,"That is enabling, as input, a whole lot of other technologies."
1,"That includes energy storage, such as his own battery creation, Gelion, which thanks to its zinc-bromide composition, can work in tough environments, such as agricultural or remote communities"
1,"That includes energy storage, such as his own battery creation, Gelion, which thanks to its zinc-bromide composition, can work in tough environments, such as agricultural or remote communities"
1,"That includes energy storage, such as his own battery creation, Gelion, which thanks to its zinc-bromide composition, can work in tough environments, such as agricultural or remote communities"
1,"But Gelion can also support the deployment of another emerging technology, green hydrogen."
1,"Our batteries are a natural partner for solar battery electrolyser to generate the green hydrogen."
1,"Most of the buzz around green hydrogen has centred on electric cars and trucks but it can also be used to replace coal in steel refineries."
1,"Most of the buzz around green hydrogen has centred on electric cars and trucks but it can also be used to replace coal in steel refineries."
0,Swapping out coal to make steel is something Professor Veena Sahajwalla is already doing at UNSW.
1,Our green steel technologies are all about showing that we can actually use materials like waste tyres in the process of making steel.
1,Our green steel technologies are all about showing that we can actually use materials like waste tyres in the process of making steel.
1,Our green steel technologies are all about showing that we can actually use materials like waste tyres in the process of making steel.
1,"Her Polymer Injection Technology, which extracts hydrogen and solid carbon from old tyres has been used in the production of more than 30 million tonnes of steel around the world."
1,"Her Polymer Injection Technology, which extracts hydrogen and solid carbon from old tyres has been used in the production of more than 30 million tonnes of steel around the world."
1,"Her Polymer Injection Technology, which extracts hydrogen and solid carbon from old tyres has been used in the production of more than 30 million tonnes of steel around the world."
1,Professor Sahajwalla is now even experimenting with using waste coffee as a source of carbon. 
1,"Traditionally of course, the world always thinks that you need coal and coke to produce these metals and what we are doing is completely shifting the mindset and saying that the production of green materials is absolutely possible, in a way that it not only enables us to recycle our materials, but also enables us to bring green manufacturing to life anywhere in the world, using Australian science."
1,"Traditionally of course, the world always thinks that you need coal and coke to produce these metals and what we are doing is completely shifting the mindset and saying that the production of green materials is absolutely possible, in a way that it not only enables us to recycle our materials, but also enables us to bring green manufacturing to life anywhere in the world, using Australian science."
1,"Traditionally of course, the world always thinks that you need coal and coke to produce these metals and what we are doing is completely shifting the mindset and saying that the production of green materials is absolutely possible, in a way that it not only enables us to recycle our materials, but also enables us to bring green manufacturing to life anywhere in the world, using Australian science."
1,"Traditionally of course, the world always thinks that you need coal and coke to produce these metals and what we are doing is completely shifting the mindset and saying that the production of green materials is absolutely possible, in a way that it not only enables us to recycle our materials, but also enables us to bring green manufacturing to life anywhere in the world, using Australian science."
1,"Traditionally of course, the world always thinks that you need coal and coke to produce these metals and what we are doing is completely shifting the mindset and saying that the production of green materials is absolutely possible, in a way that it not only enables us to recycle our materials, but also enables us to bring green manufacturing to life anywhere in the world, using Australian science."
1,"Traditionally of course, the world always thinks that you need coal and coke to produce these metals and what we are doing is completely shifting the mindset and saying that the production of green materials is absolutely possible, in a way that it not only enables us to recycle our materials, but also enables us to bring green manufacturing to life anywhere in the world, using Australian science."
1,"Traditionally of course, the world always thinks that you need coal and coke to produce these metals and what we are doing is completely shifting the mindset and saying that the production of green materials is absolutely possible, in a way that it not only enables us to recycle our materials, but also enables us to bring green manufacturing to life anywhere in the world, using Australian science."
2,But Professor Maschmeyer cautions that science takes time.
1,You have the idea. You’ve got to patent the idea in some form. You’ve got to build the team. 
1,You’ve got to validate and verify whatever your mousetrap is. 
2,It also takes money.
2,And Australia currently spends less on research and development as a proportion of GDP than the OECD average.
1,There needs to be an investment and a political framework.
0,The settings of that framework will help to accelerate or decelerate progress.
0,The Australian Academy of Science—because questions need answers.
