label,text
0,UK Climate Change Risk Assessment 2017 - Urgent priorities for the UK
2,climate change is a global problem 
2,the world is already around a degree warmer than it was due to extra greenhouse gases in the atmosphere from human activity
2,scientists have warned for some time that a temperature rise of two degrees or more risk severe and potentially irreversible changes to our planet
2,scientists have warned for some time that a temperature rise of two degrees or more risk severe and potentially irreversible changes to our planet
2,2016 is said to be the warmest year ever recorded 
2,if so it will be the third record warmest year in a row 
1,last year's historic Paris agreement was an important step towards tackling this 
2,but the effects of climate change are already being felt in the UK 
2,average temperatures are increasing and there is a trend towards milder winters and hotter summers 
2,we can also expect more frequent floods like those we've seen in recent years
2,and there are plenty of other challenges on the horizon
0,which is why the Committee on climate change has carried out a comprehensive scientific assessment of the risks and opportunities for the UK
0,which is why the Committee on climate change has carried out a comprehensive scientific assessment of the risks and opportunities for the UK
0,the climate change risk assessment is a result of more than three years of work involving hundreds of leading scientists and experts from both the public and private sectors
0,the climate change risk assessment is a result of more than three years of work involving hundreds of leading scientists and experts from both the public and private sectors
2,it shows that the greatest threat to the UK come from periods of too much or too little water increasing average and extreme seasonal temperatures and rising sea levels
2,it shows that the greatest threat to the UK come from periods of too much or too little water increasing average and extreme seasonal temperatures and rising sea levels
1,action is needed to tackle six key risks
2,the increasing chance of more severe and widespread flooding 
2,risks to public health from higher temperatures including in overheating homes 
2,a risk of shortages in public water supplies and scarce water for farming 
2,a threat to nature including loss of native species 
2,food price spikes a potential disruption to UK and global food production 
2,and risks from new and emerging pests and diseases affecting people animals and plants 
2,the longer action is delayed to reduce greenhouse gas emissions and adapt to the changes the higher the costs and risks will be 
2,the longer action is delayed to reduce greenhouse gas emissions and adapt to the changes the higher the costs and risks will be 
2,climate change is happening now 
1,this new UK risk assessment identifies where more effort is necessary and urgent to address these risks it's time to act
0, 
0, 
