label,text
2,Voices from Vanuatu: Climate Change Impacts and Human Mobility
0,[music]
0,Vanuatu is a small island developing state within the Pacific region
2,we're one of the most vulnerable countries in the world especially when it comes to climate and disaster risks
2,we're one of the most vulnerable countries in the world especially when it comes to climate and disaster risks
2,we're situated in the Pacific rim of fire as well as within the Pacific cyclonic belt which makes us one of the most disaster prone countries in the world
2,we're situated in the Pacific rim of fire as well as within the Pacific cyclonic belt which makes us one of the most disaster prone countries in the world
2,we're situated in the Pacific rim of fire as well as within the Pacific cyclonic belt which makes us one of the most disaster prone countries in the world
2,in Vanuatu we can see mostly in terms of severity of tropical Cyclone events
2,we have more and more tropical Cyclone events that are Category 5 which is a not so regular in the past but now we can see them more often
2,we have more and more tropical Cyclone events that are Category 5 which is a not so regular in the past but now we can see them more often
2,we have more and more tropical Cyclone events that are Category 5 which is a not so regular in the past but now we can see them more often
2,people from all Islands in Vanuatu still retain very close relationships to the land first and foremost because the cultural way of life and their cultural heritage relies a lot upon the resources that are available not only on the land but also in the sea
2,people from all Islands in Vanuatu still retain very close relationships to the land first and foremost because the cultural way of life and their cultural heritage relies a lot upon the resources that are available not only on the land but also in the sea
2,people from all Islands in Vanuatu still retain very close relationships to the land first and foremost because the cultural way of life and their cultural heritage relies a lot upon the resources that are available not only on the land but also in the sea
0,in most places it's the only way of income 
0,the country usually experience cyclones and then we have volcanic eruptions
0,the country usually experience cyclones and then we have volcanic eruptions
2,so we have flooding in various low-lying areas so communities that are based in low-lying areas when there's a heavy rainfall sometimes these communities have to shift away from where they're living to move into higher ground
2,so we have flooding in various low-lying areas so communities that are based in low-lying areas when there's a heavy rainfall sometimes these communities have to shift away from where they're living to move into higher ground
2,so we have flooding in various low-lying areas so communities that are based in low-lying areas when there's a heavy rainfall sometimes these communities have to shift away from where they're living to move into higher ground
0,you're looking at issues related to food security water Security even cultural security which are very much impacted by those particular climate impacts
2,you're looking at issues related to food security water Security even cultural security which are very much impacted by those particular climate impacts
2,you're looking at issues related to food security water Security even cultural security which are very much impacted by those particular climate impacts
0,we have to consider the difference in gender and the vulnerability of people people with disabilities in times of human Mobility
0,we have to consider the difference in gender and the vulnerability of people people with disabilities in times of human Mobility
0,we have to consider the difference in gender and the vulnerability of people people with disabilities in times of human Mobility
2,For vanuatu human mobility or human displacement is bound to happen yet in the future considering the magnitude of very aggressive weather patterns that we have now in in Vanuatu and the Pacific
2,For vanuatu human mobility or human displacement is bound to happen yet in the future considering the magnitude of very aggressive weather patterns that we have now in in Vanuatu and the Pacific
2,For vanuatu human mobility or human displacement is bound to happen yet in the future considering the magnitude of very aggressive weather patterns that we have now in in Vanuatu and the Pacific
2,For vanuatu human mobility or human displacement is bound to happen yet in the future considering the magnitude of very aggressive weather patterns that we have now in in Vanuatu and the Pacific
2,the IOM mission in Vanuatu supported the ministry of climate change to develop its first ever National displacement policy then supported the government to realize that displacement is is an issue
0,the IOM mission in Vanuatu supported the ministry of climate change to develop its first ever National displacement policy then supported the government to realize that displacement is is an issue
0,the IOM mission in Vanuatu supported the ministry of climate change to develop its first ever National displacement policy then supported the government to realize that displacement is is an issue
