zuo,label,text
2,2, Wildfires and Climate Change Attribution: It's Complicated!
0,0, anytime you hear the word wild you can bet it's referring to something uncontrollable and unrestrained
0,2, anytime you hear the word wild you can bet it's referring to something uncontrollable and unrestrained
2,2, Wild things wild animal wild phas wildfires are no exception ask any firefighter
2,2, Wild things wild animal wild phas wildfires are no exception ask any firefighter
2,0, summertime is Wildfire season in the North American West 
2,1, you may think of barbecues beaches and bare feet but blazes are more and more likely to be in the mix too
2,2, in recent Summers hot and dry conditions have converged to produce large wildfires in Canada Alaska California and elsewhere    
0,0, you'd have to be an ostrich not to have noticed
0,0, and the question that is on many people's minds is is climate change to blame
0,2, most climatologists say that we're asking the wrong question
2,2, instead we should ask given a drought how was the drying enhanced by human induced climate change
0,0, were the impacts greater because of it 
0,2, fire Behavior expert Janice Cohen from the national Center for atmospheric research acknowledges it's complicated perhaps even more than most of us realize 
0,2, fire Behavior expert Janice Cohen from the national Center for atmospheric research acknowledges it's complicated perhaps even more than most of us realize 
2,2, the necessary ingredients for a wildfire are oxygen heat and fuel and sadly the necessary spark for wildfires often comes from us intentional or not
2,2, the necessary ingredients for a wildfire are oxygen heat and fuel and sadly the necessary spark for wildfires often comes from us intentional or not
2,2, now consider the terrain weather and fuels that make up the fire environment with these elements scientists can explain a fire's behavior from start to finish
2,2, now consider the terrain weather and fuels that make up the fire environment with these elements scientists can explain a fire's behavior from start to finish
2,2, climate change's influence is a tougher nut to crack but as astronomer sir Martin Reese wisely said the absence of evidence is not the same as evidence of absence 
2,2, climate change's influence is a tougher nut to crack but as astronomer sir Martin Reese wisely said the absence of evidence is not the same as evidence of absence 
2,0, here's what we know for certain
1,0, a direct connection between climate change and a specific Wildfire event has yet to be proven
1,1, but sit tight attribution research may crack the nut and science researchers in this emerging field are on the case
1,0, but sit tight attribution research may crack the nut and science researchers in this emerging field are on the case
