label,text
0,Why focus on human security when working on climate change adaptation?
0,[Music]
0,So there are two main reasons why I think human security is helpful
1,one is for developing a mutual approach 
2,right now the international institutions just don't have the trust and therefore the instruments to tackle common issues 
1,and if we can then think about human security rather than state level security that can open doors for conversations because our populations the peoples they are suffering from the same challenges
1,and if we can then think about human security rather than state level security that can open doors for conversations because our populations the peoples they are suffering from the same challenges
1,and if we can then think about human security rather than state level security that can open doors for conversations because our populations the peoples they are suffering from the same challenges 
1,and that may then help different governments to be able to speak to each other and try and solve common problems
0,so that would be a sort of one way of opening doors speaking about things that are we can relate to all of us
0,so that would be a sort of one way of opening doors speaking about things that are we can relate to all of us
1,the other reason is more practical and that is in terms of climate adaptation we are now in a process where we are strengthening defense capabilities societal resilience for example and and this is very much related to climate adaptation as well
1,the other reason is more practical and that is in terms of climate adaptation we are now in a process where we are strengthening defense capabilities societal resilience for example and and this is very much related to climate adaptation as well
1,the other reason is more practical and that is in terms of climate adaptation we are now in a process where we are strengthening defense capabilities societal resilience for example and and this is very much related to climate adaptation as well
1,the other reason is more practical and that is in terms of climate adaptation we are now in a process where we are strengthening defense capabilities societal resilience for example and and this is very much related to climate adaptation as well
0,so if we don't just think about external military threat but rather all the challenges that we as humans are facing in terms of human security and we can find that dual use purposes because much of societal resilience when it comes to war and conflict is also highly relevant for other challenges
0,so if we don't just think about external military threat but rather all the challenges that we as humans are facing in terms of human security and we can find that dual use purposes because much of societal resilience when it comes to war and conflict is also highly relevant for other challenges
0,so if we don't just think about external military threat but rather all the challenges that we as humans are facing in terms of human security and we can find that dual use purposes because much of societal resilience when it comes to war and conflict is also highly relevant for other challenges
0,so if we don't just think about external military threat but rather all the challenges that we as humans are facing in terms of human security and we can find that dual use purposes because much of societal resilience when it comes to war and conflict is also highly relevant for other challenges
2,for example climate related disasters but also pandemics and and other types of challenges that we are facing currently
2,for example climate related disasters but also pandemics and and other types of challenges that we are facing currently
