label,text
0,What is climate change? | Earth Hazards | meriSTEM
0,Let's now go back and revisit what is climate change.
1,The first thing that we realize that's significantly different is that we've got almost a watt per square metre of extra energy
1,The first thing that we realize that's significantly different is that we've got almost a watt per square metre of extra energy
0,and when we think about how that extra energy is distributed around the surface of the Earth it's not going to be uniform 
0,we're going to have areas where it's higher and areas where it's lower
0,and so we've got an intensification in a local scale. 
2,Now you can see why we're getting these intense thunderstorms very high winds big hail storms tornadoes.
2,The intensification of the gradients which cause local weather are manifesting themselves in these extreme events.
2,The intensification of the gradients which cause local weather are manifesting themselves in these extreme events.
2,The rate of urbanization and the rate at which we are emitting carbon dioxide is very rapid and has not levelled off 
2,The rate of urbanization and the rate at which we are emitting carbon dioxide is very rapid and has not levelled off 
2,The rate of urbanization and the rate at which we are emitting carbon dioxide is very rapid and has not levelled off 
0,and so this means that the atmosphere is in a continuous flux 
0,and that has consequences for what to expect in the future   
1,because we're not going to get oscillations and then a new equilibrium because we keep changing the ballpark  
0,and so these oscillations are going to continue until such time as we can level off the carbon dioxide emissions or at least the carbon dioxide concentrations in the atmosphere and the amount of urbanization that we are inflicting upon the landscape
0,and so these oscillations are going to continue until such time as we can level off the carbon dioxide emissions or at least the carbon dioxide concentrations in the atmosphere and the amount of urbanization that we are inflicting upon the landscape
0,and so these oscillations are going to continue until such time as we can level off the carbon dioxide emissions or at least the carbon dioxide concentrations in the atmosphere and the amount of urbanization that we are inflicting upon the landscape
2,What that means in terms of extreme events 
0,it's a little bit difficult to answer. 
0,We certainly expect the intensity and the frequency of occurrence to continue increasing for some time.  
2,But danger is and something that people especially in the insurance will I suspect are very worried about is that these events are going to become much larger in scale.
2,But danger is and something that people especially in the insurance will I suspect are very worried about is that these events are going to become much larger in scale.
2,So we're going to be getting very large disaster areas and we've seen evidence of this
2,the fires for example earlier in 2020 that took out a lot of Southern New South Wales
2,the fires for example earlier in 2020 that took out a lot of Southern New South Wales
2,the Millennium Drought that covered huge areas of Southern New South Wales there's a pattern here.  
2,Flooding over large areas heat waves these are all things that we expect to continue to occur with increased frequency and intensity.
2,Flooding over large areas heat waves these are all things that we expect to continue to occur with increased frequency and intensity.
2,Flooding over large areas heat waves these are all things that we expect to continue to occur with increased frequency and intensity.
0, 
