label,text
0,Yale Professor Tony Leiserowitz Discusses American Perceptions of Climate Change
1,this is the largest climate action ever in Albany
0,[Applause]
0,[Applause]
0,we know that you can talk to talk but now it’s time to
2,I live about four blocks from here and I have reason to believe that people in my family died from cancer from exposure to this plant 
2,I live about four blocks from here and I have reason to believe that people in my family died from cancer from exposure to this plant 
1,[sound]
1,We need New York to move off of dirty working infrastructure
1,We need New York to move off of dirty working infrastructure
1,we need our state to move to 100% renewable energy 
1,and we need to make polluters pay for the damage that their product does to all of us
1,we young people are no are no longer allowing politicians to say they believe in climate science and attract us in the back
1,we young people are no are no longer allowing politicians to say they believe in climate science and attract us in the back
1,I'm asking you governor cuomo please stop fracking my future 
0,we can create tens of thousands of jobs right here in New York
1,no more endangering our lives for the sake of profit that doesn't even come to us
0,[Music]
0,[Applause]
0,[Applause]
0,[Applause]
0,[Applause]
1,Call governor cuomo tell him to stop fracking infrastructure 
1,tell them to move to 100 percent renewables and make polluters pay 
1,so make sure that Governor Cuomo hears us and recognizes the urgency of the situation and the responsibility that he has to respond to it
0,this is something that we can do to our governor's all across the nation
0,so if you are listening to this video right now you can call up your governor and ask them to do the same thing 
1,wherever you are you have a voice in this fight you have a voice in our politics 
1,so please please please join us [Music]
