label,text
0,Yale Professor Tony Leiserowitz Discusses American Perceptions of Climate Change
0,[Music]
0,so in the past few years we've seen a remarkable shift actually in Americans engagement with this issue
0,so in the past few years we've seen a remarkable shift actually in Americans engagement with this issue
2,so as of December of 2018 we find that Americans at an all-time record high in accepting that climate change is actually happening at about 73%
2,so as of December of 2018 we find that Americans at an all-time record high in accepting that climate change is actually happening at about 73%
2,an all-time high in their understanding that it's mostly human-caused at 68 percent of Americans
2,and then perhaps most importantly we see an all-time record high of worry about climate change
2,29% of Americans now are very worried about issue about climate change and I believe it's about 64 percent overall say that they're at least somewhat worried
2,29% of Americans now are very worried about issue about climate change and I believe it's about 64 percent overall say that they're at least somewhat worried
2,that really kind of tracks with what we've been seeing in the past few years is a real uptick in overall public concern about climate change 
2,that really kind of tracks with what we've been seeing in the past few years is a real uptick in overall public concern about climate change 
0,and that really falls out into two main interesting groups 
2,one among Democrats Democrats actually had already believed that climate change was happening in human-caused and worried about it
0,but for them they've also really increased their sense that this is a high national priority for the President and for Congress 
0,but back on those core beliefs of that is happening in human cause the real change there has not been among Democrats and it hasn't been among independents
0,but back on those core beliefs of that is happening in human cause the real change there has not been among Democrats and it hasn't been among independents
0,it's been among Republicans and in particular among conservative Republicans
0,so just in the past couple of years we've seen about a 19 percentage point increase among conservative Republicans and accepting that climate change is real
0,so just in the past couple of years we've seen about a 19 percentage point increase among conservative Republicans and accepting that climate change is real
0,[Music] 
1,so I think part of it is that the larger society is increasingly engaged with this issue so there's the social effects of being part of families and communities where your people are increasingly engaging the issue
1,so I think part of it is that the larger society is increasingly engaged with this issue so there's the social effects of being part of families and communities where your people are increasingly engaging the issue
1,so I think part of it is that the larger society is increasingly engaged with this issue so there's the social effects of being part of families and communities where your people are increasingly engaging the issue 
0,it's certainly more evident in the media  
2,and we've also seen increasing unfortunately real tragedies affecting communities all across this country and showing up on our television screens of course 
2,and it's you cannot but help but feel for the people whose lives have been ripped apart by the fires the record-setting fires that occurred in California last year
2,and it's you cannot but help but feel for the people whose lives have been ripped apart by the fires the record-setting fires that occurred in California last year
2,or the devastation that happened to Florida because of Hurricane Michael 
2,or what's going on right now in the Midwest with massive flooding  
2,these are record-setting event after record-setting event after a record-setting event
0,and what we’re seeing is that Americans are starting to increasingly starting to connect the dots
0,and at least ask the question what's going on with all this extreme weather
0,could this have something to do with climate change 
0,so we do a national radio program called Yale climate connections that plays on about 470 stations across the country every day with a minute and a half story which are very short brand-new one Monday Tuesday Wednesday Thursday Friday
0,so we do a national radio program called Yale climate connections that plays on about 470 stations across the country every day with a minute and a half story which are very short brand-new one Monday Tuesday Wednesday Thursday Friday
0,so we do a national radio program called Yale climate connections that plays on about 470 stations across the country every day with a minute and a half story which are very short brand-new one Monday Tuesday Wednesday Thursday Friday
0,and what we do is we feature the voices of everyday Americans from every part of the country from every walk of life talking about how climate change is already affecting their lives right here right now
0,and what we do is we feature the voices of everyday Americans from every part of the country from every walk of life talking about how climate change is already affecting their lives right here right now
1,what are they doing to actually address this issue and it turns out they're doing amazing things all over America
1,what are they doing to actually address this issue and it turns out they're doing amazing things all over America
1,it's about our faith and morality okay
2,we're seeing religious voices 
1,every single major religious organization in the world now has come to the fore and said climate change is not just a scientific issue
1,it's an issue of faith and morality it calls the deepest questions about who we are as human beings  
0,how we treat one another and how we treat this planet that we live on 
0,and for those who believe what's the proper relation between us and the divine 
0,however that's defined by different religions 
0,it's not just the pocketbook issues that people are talking about it at the kitchen table  
0,think about the fact what our grandparents did 
0,our grandparents and their parents were in a generation that took the entire world's City and building stock and installed plumbing and electricity
0,our grandparents and their parents were in a generation that took the entire world's City and building stock and installed plumbing and electricity
1,so that's a profound accomplishment
1,I think that's the kind of thing that we've done in the past fought and won World War two or put a man on the moon have solved some of the world's worst diseases
1,I think that's the kind of thing that we've done in the past fought and won World War two or put a man on the moon have solved some of the world's worst diseases
1,of course we can do this of course we can do this 
1,but it's up to us to decide that we're gonna do it  
0,the business community itself is another one of those voices that is louder than ever before
0,the business community itself is another one of those voices that is louder than ever before
2,many of these businesses understand that their business model is at risk because of these these events
1,but the other side of it is that this is an enormous absolutely gargantuan economic opportunity 
1,[Music]
1,so unfortunately the United States like so many other things like we did with televisions and VCRs we invented the technology but other countries got to get all the jobs and all the economic benefit
0,so unfortunately the United States like so many other things like we did with televisions and VCRs we invented the technology but other countries got to get all the jobs and all the economic benefit
0,because they figured out how to do them at mass scale and sell them back to us  
1,China is looking at this enormous economic opportunity and saying we want to own as much of that market as possible
1,China is looking at this enormous economic opportunity and saying we want to own as much of that market as possible  
0,so I think we're actually whether we know it or not we are in a one of the biggest economic races in human history and other countries know exactly where they are in that race
0,so I think we're actually whether we know it or not we are in a one of the biggest economic races in human history and other countries know exactly where they are in that race
0,we don't many of us don't even know that we're in it 
0,[Music]
0,if you could ask an expert on climate change one question what would you ask 
0,what we find is that the doubtful and dismissive their fundamental question is how do you know that global warming is real how do you know that it's happening
0,and on a deeper level why should I trust you
0,but the middle groups the cautious and the disengaged their primary question isn't that their acquirement question is like okay it's happening maybe it's human cause but so what
0,but the middle groups the cautious and the disengaged their primary question isn't that their acquirement question is like okay it's happening maybe it's human cause but so what
0,why should I care 
0,the alarm to concern however like ok I got it it's happening it's human cause it's serious but what do we do 
0,what can I do as an individual what can we do collectively as neighborhoods as communities as cities as states as the country or the world
0,what can I do as an individual what can we do collectively as neighborhoods as communities as cities as states as the country or the world
0,what can we do
0, 
